Refcode,Year,MOF Density (g/cm3),Helium Void Fraction (-),Surface Area (m2/g),Free Volume (cm3/g),Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3),Helium void fraction (-),Surface area (m2/g),Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),LCD/PLD (-)
ADODOO,All Years,1.287,0.410897,488.51,0.229,4.7,5.74,1.221276596,1D,[1.2-1.3),[0.4-0.5),[400-500),[0.2-0.3),[4.5-5.0),[5.6-6.0),[1.2-1.3)
FEXCES,All Years,1.109,0.514786,705.4,0.356,4.7,5.67,1.206382979,1D,[1.1-1.2),[0.5-0.6),[600-800),[0.3-0.4),[4.5-5.0),[5.6-6.0),[1.2-1.3)
ADODII,All Years,1.216,0.418848,481.21,0.245,4.71,5.74,1.218683652,1D,[1.2-1.3),[0.4-0.5),[400-500),[0.2-0.3),[4.5-5.0),[5.6-6.0),[1.2-1.3)
LIFWII,All Years,0.902,0.534256,1086.48,0.466,4.72,5.83,1.235169492,1D,[0.8-1.0),[0.5-0.6),[1000-1250),[0.4-0.5),[4.5-5.0),[5.6-6.0),[1.2-1.3)
LEYPAI,All Years,1.766,0.408755,472.63,0.233,4.74,5.6,1.181434599,1D,[1.6-1.8),[0.4-0.5),[400-500),[0.2-0.3),[4.5-5.0),[5.6-6.0),[1.1-1.2)
ADODUU,All Years,1.315,0.410216,482.41,0.223,4.75,5.73,1.206315789,1D,[1.3-1.4),[0.4-0.5),[400-500),[0.2-0.3),[4.5-5.0),[5.6-6.0),[1.2-1.3)
KINDOC,All Years,1.205,0.454164,779.59,0.307,4.75,5.73,1.206315789,1D,[1.2-1.3),[0.4-0.5),[600-800),[0.3-0.4),[4.5-5.0),[5.6-6.0),[1.2-1.3)
BAKJII,All Years,0.959,0.637875,1124.09,0.542,4.76,6.02,1.264705882,1D,[0.8-1.0),[0.6-0.7),[1000-1250),[0.5-0.6),[4.5-5.0),[6.0-6.5),[1.2-1.3)
XIHCOI,All Years,1.269,0.440761,578.05,0.299,4.76,5.62,1.180672269,1D,[1.2-1.3),[0.4-0.5),[500-600),[0.2-0.3),[4.5-5.0),[5.6-6.0),[1.1-1.2)
CEWDAL,All Years,0.903,0.484097,876.45,0.43,4.76,5.87,1.233193277,1D,[0.8-1.0),[0.4-0.5),[800-1000),[0.4-0.5),[4.5-5.0),[5.6-6.0),[1.2-1.3)
BEYLAU,All Years,1.826,0.476479,590.98,0.245,4.77,5.82,1.220125786,1D,[1.8-2.0),[0.4-0.5),[500-600),[0.2-0.3),[4.5-5.0),[5.6-6.0),[1.2-1.3)
DITYIQ,All Years,1.201,0.417892,771.42,0.319,4.78,7.5,1.569037657,3D,[1.2-1.3),[0.4-0.5),[600-800),[0.3-0.4),[4.5-5.0),[7.0-8.0),[1.5-1.6)
CIDDUQ,All Years,0.865,0.522086,1608.31,0.538,4.82,6.43,1.334024896,1D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.5-0.6),[4.5-5.0),[6.0-6.5),[1.3-1.4)
BEQBOQ,All Years,0.726,0.626608,2127.95,0.747,4.82,6.81,1.412863071,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.6-0.8),[4.5-5.0),[6.5-7.0),[1.4-1.5)
GELXUS,All Years,1.265,0.324368,564.21,0.216,4.82,5.75,1.192946058,1D,[1.2-1.3),[0.3-0.4),[500-600),[0.2-0.3),[4.5-5.0),[5.6-6.0),[1.1-1.2)
BINTEZ,All Years,1.055,0.495094,948.32,0.439,4.82,5.95,1.234439834,1D,[1.0-1.1),[0.4-0.5),[800-1000),[0.4-0.5),[4.5-5.0),[5.6-6.0),[1.2-1.3)
BIJDUV,All Years,0.934,0.503742,1075.52,0.449,4.83,7.44,1.540372671,1D,[0.8-1.0),[0.5-0.6),[1000-1250),[0.4-0.5),[4.5-5.0),[7.0-8.0),[1.5-1.6)
RIVDEH,All Years,0.722,0.686102,1942.28,0.818,4.83,12.39,2.565217391,3D,[0.6-0.8),[0.6-0.7),[1500-2000),[0.8-1.0),[4.5-5.0),[8.0-72.0],[2.5-3.0)
RIGWIP,All Years,2.252,0.31783,201.82,0.11,4.83,5.25,1.086956522,1D,[2.0-7.0],[0.3-0.4),[200-300),[0.1-0.2),[4.5-5.0),[5.0-5.3),[1.0-1.1)
BZLITE01,All Years,0.602,0.586037,2765.34,0.839,4.83,6.11,1.265010352,1D,[0.6-0.8),[0.5-0.6),[2000-3000),[0.8-1.0),[4.5-5.0),[6.0-6.5),[1.2-1.3)
CISXEJ,All Years,1.173,0.29511,353.86,0.199,4.83,8.23,1.703933747,1D,[1.1-1.2),[0.2-0.3),[300-400),[0.1-0.2),[4.5-5.0),[8.0-10.0),[1.6-1.8)
GIKREZ,All Years,0.568,0.739506,3486.13,1.153,4.83,6.83,1.414078675,2D,[0.0-0.6),[0.7-0.8),[3000-10250],[1.0-1.5),[4.5-5.0),[6.5-7.0),[1.4-1.5)
KENZEK,All Years,1.49,0.399512,541.38,0.219,4.84,5.17,1.068181818,1D,[1.4-1.5),[0.3-0.4),[500-600),[0.2-0.3),[4.5-5.0),[5.0-5.3),[1.0-1.1)
PEMROQ,All Years,1.033,0.489022,735.04,0.406,4.84,5.59,1.154958678,1D,[1.0-1.1),[0.4-0.5),[600-800),[0.4-0.5),[4.5-5.0),[5.3-5.6),[1.1-1.2)
KEQMUQ,All Years,0.901,0.595027,1739.88,0.601,4.87,6.89,1.414784394,1D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.6-0.8),[4.5-5.0),[6.5-7.0),[1.4-1.5)
VIGGAV,All Years,0.757,0.641697,2319.31,0.755,4.87,7.24,1.486652977,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.6-0.8),[4.5-5.0),[7.0-8.0),[1.4-1.5)
WICCOC,All Years,1.066,0.625668,1278.74,0.6,4.88,6.33,1.297131148,1D,[1.0-1.1),[0.6-0.7),[1250-1500),[0.6-0.8),[4.5-5.0),[6.0-6.5),[1.2-1.3)
GEXCOD,All Years,1.003,0.399956,636.1,0.31,4.88,6.91,1.415983607,1D,[1.0-1.1),[0.3-0.4),[600-800),[0.3-0.4),[4.5-5.0),[6.5-7.0),[1.4-1.5)
KESGAS,All Years,1.169,0.388326,576.72,0.254,4.9,5.44,1.110204082,1D,[1.1-1.2),[0.3-0.4),[500-600),[0.2-0.3),[4.5-5.0),[5.3-5.6),[1.1-1.2)
XEPRER,All Years,0.931,0.468548,1445.22,0.461,4.91,6.14,1.250509165,1D,[0.8-1.0),[0.4-0.5),[1250-1500),[0.4-0.5),[4.5-5.0),[6.0-6.5),[1.2-1.3)
KIPJOK,All Years,1.689,0.290896,360.57,0.155,4.93,6.76,1.371196755,1D,[1.6-1.8),[0.2-0.3),[300-400),[0.1-0.2),[4.5-5.0),[6.5-7.0),[1.3-1.4)
CEYZOX,All Years,2.146,0.502122,807.42,0.265,4.94,5.59,1.131578947,1D,[2.0-7.0],[0.5-0.6),[800-1000),[0.2-0.3),[4.5-5.0),[5.3-5.6),[1.1-1.2)
SEWXEZ,All Years,1.307,0.269894,312.51,0.169,4.95,5.84,1.17979798,1D,[1.3-1.4),[0.2-0.3),[300-400),[0.1-0.2),[4.5-5.0),[5.6-6.0),[1.1-1.2)
XESPOC,All Years,0.698,0.598611,2019.46,0.766,4.97,6.2,1.247484909,1D,[0.6-0.8),[0.5-0.6),[2000-3000),[0.6-0.8),[4.5-5.0),[6.0-6.5),[1.2-1.3)
GEWGOG,All Years,0.781,0.670134,2230.94,0.795,4.98,8.8,1.767068273,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.6-0.8),[4.5-5.0),[8.0-10.0),[1.6-1.8)
FIRTIL,All Years,1.633,0.256907,129.49,0.132,5.04,6.38,1.265873016,1D,[1.6-1.8),[0.2-0.3),[100-150),[0.1-0.2),[5.0-6.0),[6.0-6.5),[1.2-1.3)
FIMZAE,All Years,1.172,0.519135,970.56,0.393,5.04,8.59,1.704365079,3D,[1.1-1.2),[0.5-0.6),[800-1000),[0.3-0.4),[5.0-6.0),[8.0-10.0),[1.6-1.8)
FIMYUX,All Years,1.141,0.562061,1179.22,0.443,5.05,8.52,1.687128713,3D,[1.1-1.2),[0.5-0.6),[1000-1250),[0.4-0.5),[5.0-6.0),[8.0-10.0),[1.6-1.8)
WIPPES,All Years,1.065,0.560206,1128.84,0.44,5.06,6.24,1.233201581,1D,[1.0-1.1),[0.5-0.6),[1000-1250),[0.4-0.5),[5.0-6.0),[6.0-6.5),[1.2-1.3)
YEYCUC,All Years,0.554,0.768245,2862.66,1.282,5.06,17.25,3.409090909,3D,[0.0-0.6),[0.7-0.8),[2000-3000),[1.0-1.5),[5.0-6.0),[8.0-72.0],[3.0-4.0)
HEBQAI,All Years,0.789,0.610666,2064.11,0.681,5.07,6.76,1.333333333,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.6-0.8),[5.0-6.0),[6.5-7.0),[1.3-1.4)
QEZLAK,All Years,1.238,0.345594,310.5,0.222,5.07,5.43,1.071005917,1D,[1.2-1.3),[0.3-0.4),[300-400),[0.2-0.3),[5.0-6.0),[5.3-5.6),[1.0-1.1)
WIFBAQ,All Years,1.272,0.350654,352.56,0.224,5.07,5.85,1.153846154,1D,[1.2-1.3),[0.3-0.4),[300-400),[0.2-0.3),[5.0-6.0),[5.6-6.0),[1.1-1.2)
BIPLIX,All Years,1.108,0.470942,977.48,0.379,5.09,6.79,1.333988212,2D,[1.1-1.2),[0.4-0.5),[800-1000),[0.3-0.4),[5.0-6.0),[6.5-7.0),[1.3-1.4)
CEZDES,All Years,0.867,0.698233,2244.05,0.712,5.11,6.82,1.334637965,2D,[0.8-1.0),[0.6-0.7),[2000-3000),[0.6-0.8),[5.0-6.0),[6.5-7.0),[1.3-1.4)
HEDCAW,All Years,1.149,0.389508,642.37,0.273,5.11,6.54,1.279843444,1D,[1.1-1.2),[0.3-0.4),[600-800),[0.2-0.3),[5.0-6.0),[6.5-7.0),[1.2-1.3)
CIMTEZ,All Years,1.094,0.37217,778.33,0.277,5.13,7.75,1.510721248,1D,[1.0-1.1),[0.3-0.4),[600-800),[0.2-0.3),[5.0-6.0),[7.0-8.0),[1.5-1.6)
WEKPOT,All Years,0.924,0.596427,1576.11,0.581,5.14,8.22,1.59922179,1D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.5-0.6),[5.0-6.0),[8.0-10.0),[1.5-1.6)
SEVZUQ,All Years,0.617,0.663586,2834.97,0.97,5.14,8.07,1.570038911,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[5.0-6.0),[8.0-10.0),[1.5-1.6)
TEYBUW,All Years,1.305,0.464203,761.77,0.287,5.14,7.64,1.486381323,1D,[1.3-1.4),[0.4-0.5),[600-800),[0.2-0.3),[5.0-6.0),[7.0-8.0),[1.4-1.5)
ZEPWUO,All Years,1.098,0.244969,421.09,0.163,5.16,6.38,1.236434109,1D,[1.0-1.1),[0.2-0.3),[400-500),[0.1-0.2),[5.0-6.0),[6.0-6.5),[1.2-1.3)
CICREN,All Years,0.849,0.538603,1284.21,0.55,5.17,7.2,1.392649903,1D,[0.8-1.0),[0.5-0.6),[1250-1500),[0.5-0.6),[5.0-6.0),[7.0-8.0),[1.3-1.4)
CIVMEB,All Years,1.067,0.421981,721.89,0.318,5.19,6.34,1.221579961,1D,[1.0-1.1),[0.4-0.5),[600-800),[0.3-0.4),[5.0-6.0),[6.0-6.5),[1.2-1.3)
CILRAS,All Years,0.948,0.517207,1896.66,0.522,5.2,6.2,1.192307692,1D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.5-0.6),[5.0-6.0),[6.0-6.5),[1.1-1.2)
FENVOL,All Years,1.14,0.66982,1227.14,0.493,5.23,6.46,1.235181644,1D,[1.1-1.2),[0.6-0.7),[1000-1250),[0.4-0.5),[5.0-6.0),[6.0-6.5),[1.2-1.3)
MIGQIE,All Years,1.522,0.629136,1574.82,0.415,5.23,6.38,1.219885277,2D,[1.5-1.6),[0.6-0.7),[1500-2000),[0.4-0.5),[5.0-6.0),[6.0-6.5),[1.2-1.3)
NEVVIU01,All Years,1.463,0.458995,602.76,0.262,5.23,6.17,1.179732314,1D,[1.4-1.5),[0.4-0.5),[600-800),[0.2-0.3),[5.0-6.0),[6.0-6.5),[1.1-1.2)
HEXQOS,All Years,1.317,0.553255,1605.77,0.442,5.25,6.99,1.331428571,1D,[1.3-1.4),[0.5-0.6),[1500-2000),[0.4-0.5),[5.0-6.0),[6.5-7.0),[1.3-1.4)
WEGKOK,All Years,0.889,0.560099,1600.52,0.559,5.26,7.81,1.484790875,1D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.5-0.6),[5.0-6.0),[7.0-8.0),[1.4-1.5)
DIVCOC,All Years,0.721,0.571797,2277.76,0.748,5.28,6.44,1.21969697,1D,[0.6-0.8),[0.5-0.6),[2000-3000),[0.6-0.8),[5.0-6.0),[6.0-6.5),[1.2-1.3)
NEVVIU02,All Years,1.457,0.465243,621.42,0.268,5.29,6.24,1.179584121,1D,[1.4-1.5),[0.4-0.5),[600-800),[0.2-0.3),[5.0-6.0),[6.0-6.5),[1.1-1.2)
CEMQES,All Years,1.576,0.410117,880.2,0.254,5.31,6.56,1.235404896,1D,[1.5-1.6),[0.4-0.5),[800-1000),[0.2-0.3),[5.0-6.0),[6.5-7.0),[1.2-1.3)
AGEQEK,All Years,0.771,0.646152,2193.74,0.754,5.33,6.92,1.298311445,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.6-0.8),[5.0-6.0),[6.5-7.0),[1.2-1.3)
YEKMOS01,All Years,1.231,0.431905,862.36,0.338,5.33,6.09,1.142589118,1D,[1.2-1.3),[0.4-0.5),[800-1000),[0.3-0.4),[5.0-6.0),[6.0-6.5),[1.1-1.2)
ADUBAE,All Years,1.067,0.301125,603.78,0.266,5.34,6.37,1.192883895,1D,[1.0-1.1),[0.3-0.4),[600-800),[0.2-0.3),[5.0-6.0),[6.0-6.5),[1.1-1.2)
NEVVAM01,All Years,1.423,0.491807,696.55,0.286,5.34,6.84,1.280898876,1D,[1.4-1.5),[0.4-0.5),[600-800),[0.2-0.3),[5.0-6.0),[6.5-7.0),[1.2-1.3)
RIWGEL,All Years,1.247,0.594758,1192.63,0.473,5.37,6.71,1.249534451,1D,[1.2-1.3),[0.5-0.6),[1000-1250),[0.4-0.5),[5.0-6.0),[6.5-7.0),[1.2-1.3)
IGADAX,All Years,1.384,0.215396,311.65,0.135,5.37,5.96,1.109869646,1D,[1.3-1.4),[0.2-0.3),[300-400),[0.1-0.2),[5.0-6.0),[5.6-6.0),[1.1-1.2)
SEDPAU,All Years,0.988,0.551402,1320.02,0.493,5.39,6.81,1.263450835,2D,[0.8-1.0),[0.5-0.6),[1250-1500),[0.4-0.5),[5.0-6.0),[6.5-7.0),[1.2-1.3)
ZEYCOX,All Years,0.747,0.624333,2213.57,0.773,5.39,7.09,1.315398887,2D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.6-0.8),[5.0-6.0),[7.0-8.0),[1.3-1.4)
OGECOU,All Years,1.357,0.397231,459.36,0.203,5.4,5.88,1.088888889,1D,[1.3-1.4),[0.3-0.4),[400-500),[0.2-0.3),[5.0-6.0),[5.6-6.0),[1.0-1.1)
ZEQMAL,All Years,0.882,0.680194,3051.85,0.778,5.42,6.7,1.236162362,1D,[0.8-1.0),[0.6-0.7),[3000-10250],[0.6-0.8),[5.0-6.0),[6.5-7.0),[1.2-1.3)
KESHUN,All Years,1.624,0.291922,335.83,0.143,5.43,5.96,1.097605893,1D,[1.6-1.8),[0.2-0.3),[300-400),[0.1-0.2),[5.0-6.0),[5.6-6.0),[1.0-1.1)
FEWBUG,All Years,0.589,0.671176,4030.34,1.068,5.44,6.97,1.28125,1D,[0.0-0.6),[0.6-0.7),[3000-10250],[1.0-1.5),[5.0-6.0),[6.5-7.0),[1.2-1.3)
REHPIF,All Years,0.609,0.674216,3214.23,1.039,5.44,6.88,1.264705882,1D,[0.6-0.8),[0.6-0.7),[3000-10250],[1.0-1.5),[5.0-6.0),[6.5-7.0),[1.2-1.3)
ACIPAF,All Years,0.703,0.577248,2376.35,0.765,5.45,6.89,1.264220183,2D,[0.6-0.8),[0.5-0.6),[2000-3000),[0.6-0.8),[5.0-6.0),[6.5-7.0),[1.2-1.3)
YEGWAK,All Years,0.794,0.63713,2022.45,0.696,5.46,7.72,1.413919414,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.6-0.8),[5.0-6.0),[7.0-8.0),[1.4-1.5)
DEYMAX,All Years,1.386,0.522531,777.54,0.315,5.46,8.41,1.54029304,1D,[1.3-1.4),[0.5-0.6),[600-800),[0.3-0.4),[5.0-6.0),[8.0-10.0),[1.5-1.6)
NEVVAM02,All Years,1.423,0.486737,691.76,0.284,5.47,6.75,1.234003656,1D,[1.4-1.5),[0.4-0.5),[600-800),[0.2-0.3),[5.0-6.0),[6.5-7.0),[1.2-1.3)
PEJRIH,All Years,0.833,0.618898,1544.37,0.619,5.49,6.86,1.249544627,1D,[0.8-1.0),[0.6-0.7),[1500-2000),[0.6-0.8),[5.0-6.0),[6.5-7.0),[1.2-1.3)
CIPBOU,All Years,1.129,0.482184,1020.17,0.384,5.5,8.39,1.525454545,1D,[1.1-1.2),[0.4-0.5),[1000-1250),[0.3-0.4),[5.0-6.0),[8.0-10.0),[1.5-1.6)
IDIGUZ,All Years,0.932,0.664213,1646.73,0.666,5.51,7.68,1.393829401,1D,[0.8-1.0),[0.6-0.7),[1500-2000),[0.6-0.8),[5.0-6.0),[7.0-8.0),[1.3-1.4)
DIDBID,All Years,0.925,0.585108,1199.62,0.493,5.53,9.03,1.632911392,1D,[0.8-1.0),[0.5-0.6),[1000-1250),[0.4-0.5),[5.0-6.0),[8.0-10.0),[1.6-1.8)
UFIRIM,All Years,0.961,0.678536,1683.72,0.594,5.53,8.68,1.569620253,1D,[0.8-1.0),[0.6-0.7),[1500-2000),[0.5-0.6),[5.0-6.0),[8.0-10.0),[1.5-1.6)
ZILBIH,All Years,0.927,0.573918,1167.99,0.482,5.54,8.95,1.615523466,1D,[0.8-1.0),[0.5-0.6),[1000-1250),[0.4-0.5),[5.0-6.0),[8.0-10.0),[1.6-1.8)
CINYOP,All Years,1.358,0.479554,1110.59,0.377,5.55,6.55,1.18018018,1D,[1.3-1.4),[0.4-0.5),[1000-1250),[0.3-0.4),[5.0-6.0),[6.5-7.0),[1.1-1.2)
IFAGON,All Years,0.928,0.583686,1323.73,0.511,5.56,7.03,1.264388489,1D,[0.8-1.0),[0.5-0.6),[1250-1500),[0.5-0.6),[5.0-6.0),[7.0-8.0),[1.2-1.3)
SEHHUK,All Years,1.008,0.452236,566.9,0.384,5.57,6.57,1.179533214,1D,[1.0-1.1),[0.4-0.5),[500-600),[0.3-0.4),[5.0-6.0),[6.5-7.0),[1.1-1.2)
BIFWIY,All Years,1.106,0.355388,697.2,0.247,5.59,6.26,1.119856887,1D,[1.1-1.2),[0.3-0.4),[600-800),[0.2-0.3),[5.0-6.0),[6.0-6.5),[1.1-1.2)
DIDBEZ,All Years,0.928,0.582921,1184.99,0.487,5.6,8.96,1.6,1D,[0.8-1.0),[0.5-0.6),[1000-1250),[0.4-0.5),[5.0-6.0),[8.0-10.0),[1.6-1.8)
REHRIH,All Years,0.614,0.686094,3266.8,1.052,5.62,7.02,1.24911032,1D,[0.6-0.8),[0.6-0.7),[3000-10250],[1.0-1.5),[5.0-6.0),[7.0-8.0),[1.2-1.3)
WIPCEF,All Years,1.192,0.591629,875.71,0.439,5.62,6.49,1.15480427,1D,[1.1-1.2),[0.5-0.6),[800-1000),[0.4-0.5),[5.0-6.0),[6.0-6.5),[1.1-1.2)
ACAJOF,All Years,1.218,0.36134,601.05,0.24,5.63,6.37,1.131438721,1D,[1.2-1.3),[0.3-0.4),[600-800),[0.2-0.3),[5.0-6.0),[6.0-6.5),[1.1-1.2)
FIFLUD,All Years,0.564,0.704187,3346.45,1.103,5.64,8.45,1.49822695,1D,[0.0-0.6),[0.7-0.8),[3000-10250],[1.0-1.5),[5.0-6.0),[8.0-10.0),[1.4-1.5)
UDIBAM,All Years,0.823,0.613521,2359.81,0.665,5.66,7.88,1.392226148,1D,[0.8-1.0),[0.6-0.7),[2000-3000),[0.6-0.8),[5.0-6.0),[7.0-8.0),[1.3-1.4)
YINSUL,All Years,1.111,0.462072,647.76,0.321,5.66,7.08,1.250883392,1D,[1.1-1.2),[0.4-0.5),[600-800),[0.3-0.4),[5.0-6.0),[7.0-8.0),[1.2-1.3)
VEYPEW,All Years,1.493,0.663418,1473.86,0.433,5.68,7.47,1.315140845,1D,[1.4-1.5),[0.6-0.7),[1250-1500),[0.4-0.5),[5.0-6.0),[7.0-8.0),[1.3-1.4)
PEZJOV,All Years,0.624,0.73004,2762.94,1.009,5.69,7.58,1.332161687,1D,[0.6-0.8),[0.7-0.8),[2000-3000),[1.0-1.5),[5.0-6.0),[7.0-8.0),[1.3-1.4)
PEZJIP,All Years,0.637,0.691784,2433.56,0.959,5.7,7.04,1.235087719,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[5.0-6.0),[7.0-8.0),[1.2-1.3)
FIHRIZ,All Years,1.059,0.561491,983.17,0.435,5.7,6.39,1.121052632,1D,[1.0-1.1),[0.5-0.6),[800-1000),[0.4-0.5),[5.0-6.0),[6.0-6.5),[1.1-1.2)
CEMPER,All Years,0.607,0.693679,2982.25,1.074,5.71,7.05,1.234676007,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[1.0-1.5),[5.0-6.0),[7.0-8.0),[1.2-1.3)
XEWDAG,All Years,0.71,0.643622,2488.37,0.807,5.77,8.36,1.448873484,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[5.0-6.0),[8.0-10.0),[1.4-1.5)
VIRCOQ,All Years,0.829,0.667806,2239.67,0.73,5.78,7.05,1.219723183,1D,[0.8-1.0),[0.6-0.7),[2000-3000),[0.6-0.8),[5.0-6.0),[7.0-8.0),[1.2-1.3)
CELGEH,All Years,0.733,0.766197,2766.76,0.911,5.79,7.83,1.352331606,1D,[0.6-0.8),[0.7-0.8),[2000-3000),[0.8-1.0),[5.0-6.0),[7.0-8.0),[1.3-1.4)
LIFRAV,All Years,0.969,0.52341,1665.44,0.46,5.83,6.4,1.097770154,1D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.4-0.5),[5.0-6.0),[6.0-6.5),[1.0-1.1)
SEFXAE,All Years,0.744,0.696038,2257.73,0.883,5.83,7.78,1.334476844,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[5.0-6.0),[7.0-8.0),[1.3-1.4)
KEYGIG,All Years,0.682,0.710766,2478.98,0.918,5.85,7.7,1.316239316,1D,[0.6-0.8),[0.7-0.8),[2000-3000),[0.8-1.0),[5.0-6.0),[7.0-8.0),[1.3-1.4)
HEDCIE,All Years,1.028,0.514555,1055.52,0.419,5.87,6.51,1.109028961,1D,[1.0-1.1),[0.5-0.6),[1000-1250),[0.4-0.5),[5.0-6.0),[6.5-7.0),[1.1-1.2)
BIFYOG,All Years,1.149,0.358188,680.22,0.242,5.9,6.36,1.077966102,1D,[1.1-1.2),[0.3-0.4),[600-800),[0.2-0.3),[5.0-6.0),[6.0-6.5),[1.0-1.1)
BIFXUL,All Years,1.145,0.359984,687.05,0.24,5.91,6.49,1.098138748,1D,[1.1-1.2),[0.3-0.4),[600-800),[0.2-0.3),[5.0-6.0),[6.0-6.5),[1.0-1.1)
FIFMAK,All Years,0.566,0.703466,3352.85,1.098,5.94,8.54,1.437710438,1D,[0.0-0.6),[0.7-0.8),[3000-10250],[1.0-1.5),[5.0-6.0),[8.0-10.0),[1.4-1.5)
KIBDEG,All Years,1.175,0.415069,755.38,0.32,5.96,9.45,1.58557047,1D,[1.1-1.2),[0.4-0.5),[600-800),[0.3-0.4),[5.0-6.0),[8.0-10.0),[1.5-1.6)
XIDBUJ,All Years,1.095,0.479879,712.87,0.345,5.96,7.27,1.219798658,1D,[1.0-1.1),[0.4-0.5),[600-800),[0.3-0.4),[5.0-6.0),[7.0-8.0),[1.2-1.3)
FELMOA,All Years,1.325,0.576697,1220.54,0.39,5.97,6.82,1.142378559,1D,[1.3-1.4),[0.5-0.6),[1000-1250),[0.3-0.4),[5.0-6.0),[6.5-7.0),[1.1-1.2)
SEFXEI,All Years,0.884,0.701708,1926.82,0.747,5.98,7.87,1.316053512,1D,[0.8-1.0),[0.7-0.8),[1500-2000),[0.6-0.8),[5.0-6.0),[7.0-8.0),[1.3-1.4)
VIJPAH,All Years,0.688,0.686226,2350.56,0.918,5.98,7.97,1.33277592,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[5.0-6.0),[7.0-8.0),[1.3-1.4)
NIKQEF,All Years,0.464,0.790909,5869.29,1.592,5.98,8.04,1.344481605,1D,[0.0-0.6),[0.7-0.8),[3000-10250],[1.5-2.0),[5.0-6.0),[8.0-10.0),[1.3-1.4)
KEQDER,All Years,0.569,0.789089,3835.01,1.281,6.01,12.96,2.15640599,2D,[0.0-0.6),[0.7-0.8),[3000-10250],[1.0-1.5),[6.0-8.0),[8.0-72.0],[2.0-2.5)
DIFZOJ,All Years,0.733,0.634436,2444.03,0.743,6.06,6.66,1.099009901,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.6-0.8),[6.0-8.0),[6.5-7.0),[1.0-1.1)
WIDLEC,All Years,0.834,0.58298,1416.15,0.619,6.07,8.09,1.332784185,1D,[0.8-1.0),[0.5-0.6),[1250-1500),[0.6-0.8),[6.0-8.0),[8.0-10.0),[1.3-1.4)
WIKLOT,All Years,1.834,0.4774,604.83,0.224,6.09,6.76,1.11001642,1D,[1.8-2.0),[0.4-0.5),[600-800),[0.2-0.3),[6.0-8.0),[6.5-7.0),[1.1-1.2)
UDOVUG,All Years,1.165,0.559831,878.81,0.409,6.09,6.69,1.098522167,1D,[1.1-1.2),[0.5-0.6),[800-1000),[0.4-0.5),[6.0-8.0),[6.5-7.0),[1.0-1.1)
GIJCAF,All Years,1.005,0.443958,966.08,0.395,6.1,7.72,1.26557377,1D,[1.0-1.1),[0.4-0.5),[800-1000),[0.3-0.4),[6.0-8.0),[7.0-8.0),[1.2-1.3)
REWYUP,All Years,0.85,0.568434,2154.16,0.613,6.11,6.91,1.130932897,2D,[0.8-1.0),[0.5-0.6),[2000-3000),[0.6-0.8),[6.0-8.0),[6.5-7.0),[1.1-1.2)
MIMMEC,All Years,0.997,0.441235,944.48,0.388,6.11,6.99,1.144026187,1D,[0.8-1.0),[0.4-0.5),[800-1000),[0.3-0.4),[6.0-8.0),[6.5-7.0),[1.1-1.2)
KEQNOL,All Years,1.505,0.216405,325.95,0.126,6.13,6.8,1.109298532,1D,[1.5-1.6),[0.2-0.3),[300-400),[0.1-0.2),[6.0-8.0),[6.5-7.0),[1.1-1.2)
GIDWEX,All Years,0.709,0.663389,2213.97,0.844,6.16,7.35,1.193181818,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[6.0-8.0),[7.0-8.0),[1.1-1.2)
PEPRIN,All Years,0.715,0.722939,3262.32,1.029,6.17,8.41,1.363047002,2D,[0.6-0.8),[0.7-0.8),[3000-10250],[1.0-1.5),[6.0-8.0),[8.0-10.0),[1.3-1.4)
YIJROA,All Years,0.668,0.643469,3138.65,0.989,6.22,7.77,1.249196141,1D,[0.6-0.8),[0.6-0.7),[3000-10250],[0.8-1.0),[6.0-8.0),[7.0-8.0),[1.2-1.3)
