Refcode,Year,MOF Density (g/cm3),Helium Void Fraction (-),Surface Area (m2/g),Free Volume (cm3/g),Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3),Helium void fraction (-),Surface area (m2/g),Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),LCD/PLD (-),0
PYDSCU10,1977,0.681,0.687,2969.21,0.921,6.31,7.61,1.206,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[6.0-8.0),[7.0-8.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PYDSCU10
ETDSCU,1978,1.03,0.464,1207.12,0.455,4.64,5.72,1.233,1D,[1.0-1.1),[0.4-0.5),[1000-1250),[0.4-0.5),[4.5-5.0),[5.6-6.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ETDSCU
BCETPN,1978,0.931,0.477,1188.05,0.498,6.64,7.16,1.078,1D,[0.8-1.0),[0.4-0.5),[1000-1250),[0.4-0.5),[6.0-8.0),[7.0-8.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BCETPN
MTACHH,1979,1.13,0.533,1523.42,0.487,7.02,8.11,1.155,1D,[1.1-1.2),[0.5-0.6),[1500-2000),[0.4-0.5),[6.0-8.0),[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MTACHH
TCPPHG01,1980,0.908,0.601,1695.89,0.635,7.86,9.71,1.235,1D,[0.8-1.0),[0.6-0.7),[1500-2000),[0.6-0.8),[6.0-8.0),[8.0-10.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TCPPHG01
ETCSBC,1981,1.708,0.146,50.82,0.066,1.56,5.1,3.269,1D,[1.6-1.8),[0.1-0.2),[50-100),[0.0-0.1),[1.4-1.6),[5.0-5.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ETCSBC
ETCSBA,1981,1.537,0.309,151.54,0.152,2.07,4.77,2.304,1D,[1.5-1.6),[0.3-0.4),[150-200),[0.1-0.2),[1.6-2.2),[4.6-4.8),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ETCSBA
SACNID,1981,0.794,0.413,1022.3,0.567,4.21,6.48,1.539,1D,[0.6-0.8),[0.4-0.5),[1000-1250),[0.5-0.6),[4.0-4.5),[6.0-6.5),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SACNID
BADLOH,1982,1.653,0.256,83.57,0.119,1.58,5.17,3.272,1D,[1.6-1.8),[0.2-0.3),[50-100),[0.1-0.2),[1.4-1.6),[5.0-5.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BADLOH
ALTRMN,1982,1.02,0.296,10.06,0.271,3.07,4.21,1.371,1D,[1.0-1.1),[0.2-0.3),[0-50),[0.2-0.3),[3.0-3.3),[4.2-4.3),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ALTRMN
BELJIL,1982,1.287,0.297,445.78,0.188,4.81,7.03,1.462,1D,[1.2-1.3),[0.2-0.3),[400-500),[0.1-0.2),[4.5-5.0),[7.0-8.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BELJIL
BUBGAG,1983,1.08,0.469,241.49,0.358,2.93,4.59,1.567,1D,[1.0-1.1),[0.4-0.5),[200-300),[0.3-0.4),[2.6-3.0),[4.5-4.6),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BUBGAG
BOJSUO,1983,1.001,0.72,3071.4,0.75,6.49,7.34,1.131,1D,[1.0-1.1),[0.7-0.8),[3000-10250],[0.6-0.8),[6.0-8.0),[7.0-8.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BOJSUO
BUGSOL,1983,0.905,0.583,1672.69,0.597,8.17,8.74,1.07,1D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.5-0.6),[10.0-72.0],[8.0-10.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BUGSOL
