ddec-code,VF,Metal_density(g/cm^3),density_g_cm3,PLD,LCD,vsa_m2_cm3,gsa_m2_g,PoreVolum_cm3_g,Qst_CO,Qst_N2,Delta_Qst,CO_des,N2_des,CO_40bar,N2_40bar,CO_200K,N2_200K,CO_PTSA,N2_PTSA,S_PSA,S_TSA,S_TSA+,Delta_PSA,Delta_TSA-,Delta_TSA+,Regenerability_PSA,Regenerability_TSA-,Regenerability_TSA+,Recovery_PSA,Recovery_TSA-,Recovery_TSA+,Purity_PSA,Purity_TSA-,Purity_TSA+,Cyclic_working_cap_PSA,Cyclic_working_cap_TSA-,Cyclic_work_cap_TSA+,URL
MEFJUE,0.72,0.099486217,0.97,4.51,13.66,1813.72,1870.93,0.74,16.71,14.29,2.42,0.47,0.22,4.56,2.01,4.83,1.49,8.91,2.54,2.26,3.24,2.16,4.09,4.36,0.38,89.71,90.28,81.11,0.61,0.67,0.52,0.57692138,0.705494094,0.605219152,4.886625911,4.276477425,0.351095665,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MEFJUE
MIZPUI,0.72,0.160334486,0.75,5.55,11.48,1996.58,2657.61,0.96,17.93,15.27,2.66,0.61,0.26,6.37,2.47,6.22,1.65,13,2.88,2.58,3.77,2.33,5.76,5.61,0.5,90.4,90.16,81.24,0.59,0.69,0.46,0.60978723,0.728961351,0.590574126,6.594887083,5.187328999,0.352892423,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MIZPUI
MORTUJ,0.73,0.1289203,0.65,8.18,9.34,2118.18,3265.25,1.13,12.7,10.28,2.43,0.25,0.13,5.03,2.38,3,0.97,13.2,4.02,2.12,3.09,2,4.78,2.74,0.19,94.94,91.5,75.03,0.58,0.65,0.45,0.602990954,0.69437194,0.582093894,6.125291254,2.670505114,0.171350965,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MORTUJ
MOYYEF,0.57,0.198793679,0.95,7.36,7.67,1755.78,1847.72,0.6,15.88,13.68,2.19,0.46,0.2,4.7,1.61,5.36,1.32,8.72,1.53,2.92,4.05,2.26,4.24,4.9,0.37,90.21,91.41,80.38,0.7,0.84,0.48,0.69839096,0.667712544,0.608006675,5.613039862,4.902792426,0.287919752,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MOYYEF
MOYYIJ,0.68,0.15284339,0.73,9.38,12.42,2062.16,2822.56,0.94,16.24,13.96,2.28,0.41,0.19,5.06,2.2,4.47,1.34,11.4,3.08,2.3,3.33,2.1,4.66,4.06,0.33,91.98,90.91,81.41,0.56,0.66,0.5,0.579685164,0.686836163,0.600880693,5.429860551,3.759380122,0.2800759,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MOYYIJ
MUDTEL,0.83,0.128908994,0.56,6.6,19.11,2068.76,3698.96,1.49,13.9,10.93,2.97,0.39,0.18,6.28,2.78,4.16,1.15,16.25,4.83,2.26,3.62,2.2,5.89,3.78,0.3,93.84,90.71,77.2,0.57,0.66,0.46,0.582902647,0.678135786,0.609130032,7.410712236,3.933118675,0.247678821,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MUDTEL
NAYZOE,0.83,0.101262153,0.5,6.53,15.82,2312.78,4635.59,1.66,10.72,8.99,1.72,0.23,0.13,5.78,3.03,2.25,0.91,17.45,6.07,1.91,2.47,1.76,5.55,2.02,0.17,96,89.73,71.58,0.59,0.74,0.39,0.574356103,0.777871663,0.547146249,8.232859799,3.573426643,0.142149703,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NAYZOE
NIBHOW,0.91,0.049937273,0.28,14.87,27.52,1432.89,5124.89,3.25,8.19,6.8,1.38,0.16,0.1,4.8,2.87,1.15,0.56,19.34,8.96,1.67,2.06,1.58,4.64,1,0.11,96.7,86.27,67.62,0.56,0.55,0.34,0.559873882,0.615167973,0.529108265,9.221156432,1.164307795,0.115048084,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NIBHOW
NIBHUC,0.85,0.068454739,0.45,11.87,18.87,1911.81,4238.47,1.89,10.71,8.82,1.89,0.21,0.12,4.93,2.83,1.93,0.79,16.37,7.05,1.75,2.43,1.7,4.73,1.72,0.15,95.8,89.24,71.79,0.56,0.59,0.39,0.566610473,0.639091443,0.548408178,7.291732804,1.72123672,0.135554895,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NIBHUC
NIBJAK,0.93,0.034035582,0.22,17.55,32.01,1213.03,5429.06,4.18,7.42,6.15,1.27,0.15,0.1,4.55,2.85,1,0.51,18.68,9.36,1.6,1.96,1.5,4.4,0.85,0.1,96.76,85.18,67.37,0.54,0.5,0.31,0.541985924,0.582420818,0.525633224,9.982040142,0.975678346,0.113877505,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NIBJAK
