Refcode,Density (g/cm3),"Helium Void Fraction F(He,T) (-)","Surface Area S(AC,T) (m2/g)","Pore Volume V(PO,T) (cm3/g)",Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity
FOKVEI,1.321,0.185278,6.34,0.101,2.33,4.17,1.789699571,3D
FOKYEL,1.394,0.303698,410.26,0.17,4.1,6.7,1.634146341,1D
FONKEA,1.826,0.209876,28.57,0.087,3.6,4.34,1.205555556,1D
FONSIL,1.629,0.131976,24.77,0.071,1.12,4.5,4.017857143,3D
FONSOR,1.68,0.118434,12.56,0.059,1.08,4.32,4,3D
FONZUF,1.491,0.357732,86.31,0.192,2.97,4.86,1.636363636,1D
FOPBET,1.754,0.169593,4.26,0.064,1.3,4.23,3.253846154,2D
FOPPEG,0.972,0.560491,1629.68,0.537,7.54,8.1,1.074270557,1D
FOPPIK,1.235,0.434021,27.38,0.292,3.07,4.35,1.416938111,1D
FOQLAZ,0.818,0.612017,1786.87,0.669,7.49,8.43,1.125500668,1D
FORPIM01,1.26,0.416649,683.34,0.331,2.91,9.12,3.134020619,2D
FORQAF,1.268,0.40763,620.86,0.305,2.89,8.75,3.027681661,2D
FORTIR,0.926,0.539188,1370.41,0.506,4.7,7.11,1.512765957,1D
FORWAL,1.14,0.390518,359.66,0.295,3.46,5.65,1.632947977,3D
FOSJIH,1.326,0.226952,21.89,0.133,2.4,4.29,1.7875,1D
FOSYAP,1.307,0.221378,17.01,0.095,2.28,4.3,1.885964912,2D
FOTLAD,1.152,0.486537,553.4,0.401,3.83,4.97,1.297650131,1D
FOTNIN,0.27,0.899442,2901.05,3.284,28.18,33.41,1.185592619,2D
FOTPEL,1.865,0.189704,8.23,0.071,3.12,4.56,1.461538462,1D
FOTVUG,0.949,0.423537,159.28,0.4,3.39,4.4,1.297935103,1D
FOTWUI,3.307,0.052478,4.77,0.015,0.78,4.44,5.692307692,NON-POROUS
FOVJIK,0.275,0.890478,5685.19,3.283,15.62,16.17,1.035211268,1D
FOVKOR,0.281,0.886067,5222.24,3.192,15.93,16.88,1.059635907,1D
FOVPEN,1.149,0.373516,523.76,0.263,2.97,6.59,2.218855219,1D
FOVZOG,1.137,0.340077,166.7,0.245,3.33,4.71,1.414414414,1D
FOWCIE,0.735,0.60465,2203.89,0.783,7.25,8.05,1.110344828,1D
FOWZAU,1.184,0.56791,1117.34,0.449,10.1,10.9,1.079207921,1D
FOXMIQ,1.439,0.474994,935.46,0.307,5.08,7.54,1.484251969,1D
FOXNIQ,2.008,0.176196,24.28,0.067,2.64,4.5,1.704545455,1D
FOXQOZ,1.493,0.21662,10.82,0.108,1.99,4.26,2.140703518,1D
FOXQUF,1.386,0.231875,27.77,0.121,1.87,4.32,2.310160428,1D
FOXRAM,1.397,0.231589,19.81,0.121,1.85,4.28,2.313513514,1D
FOXZEZ,1.052,0.125389,0.24,0.086,1.24,4.05,3.266129032,2D
FOZCAA,1.189,0.307745,163.03,0.223,3.38,5.31,1.571005917,1D
FOZPEQ,1.43,0.288579,445.46,0.175,5.89,8.08,1.371816638,1D
FUBFEP,1.459,0.218417,66.97,0.11,1.39,4.54,3.26618705,1D
FUDPOK,1.474,0.220718,3.48,0.127,2.06,4.13,2.004854369,1D
FUDPUQ,1.575,0.149607,7.12,0.079,1.08,4.34,4.018518519,2D
FUDQIF,1.573,0.358822,10.36,0.169,3.81,4.31,1.131233596,1D
FUDZEL,1.026,0.423317,324.2,0.3,3.35,5.25,1.567164179,1D
FUFBEP,0.85,0.581847,2145.3,0.607,5.6,6.4,1.142857143,1D
FUFPON,1.462,0.186576,60.55,0.093,1.2,4.81,4.008333333,3D
FUFQIH,1.329,0.126573,0.69,0.065,1.42,4.01,2.823943662,2D
FUFTIL,1.626,0.109711,21.85,0.041,1.14,4.58,4.01754386,1D
FUFVEJ,0.593,0.781681,3545.27,1.138,5.11,6.54,1.279843444,1D
FUFWIO,1.691,0.222879,63.37,0.099,2.95,5.03,1.705084746,1D
FUFWOU,1.716,0.239774,75.02,0.106,2.96,5.05,1.706081081,1D
FUFYUB,1.465,0.31584,2.82,0.177,2.17,4.09,1.884792627,1D
FUHNIH,1.36,0.248918,37.65,0.141,3,4.24,1.413333333,1D
FUHVUB,2.019,0.184748,24.73,0.076,1.08,4.34,4.018518519,1D
FUHZEO,1.537,0.165244,38.72,0.087,1.15,4.61,4.008695652,2D
FUJBAO,1.287,0.372234,165.68,0.235,2.95,4.63,1.569491525,1D
FUJKAX,1.292,0.255718,93.46,0.142,2.14,4.95,2.313084112,1D
FUJKIF,1.191,0.443678,446.55,0.301,3.74,5.12,1.368983957,2D
FUJLOM,1.367,0.244629,54.96,0.12,2.27,4.53,1.995594714,2D
FUJMON,1.03,0.330533,296.27,0.234,2.28,4.87,2.135964912,1D
FULNEH,1.08,0.295864,79.83,0.197,1.87,4.74,2.534759358,2D
FULXUH,1.02,0.464042,68.17,0.334,3.32,4.43,1.334337349,2D
FUMGOL,0.754,0.671248,1719.49,0.759,4.49,7.05,1.570155902,1D
FUMHOM,1.7,0.247844,17.71,0.11,2.5,4.26,1.704,1D
FUMJAA,1.193,0.58853,966.2,0.432,4.94,5.96,1.206477733,1D
FUMYES,1.444,0.109897,5.79,0.055,1.91,4.07,2.130890052,1D
FUMYOC,1.588,0.129045,54.26,0.064,1.85,4.68,2.52972973,1D
FUNBAS,1.11,0.454856,604.26,0.298,4.19,5.92,1.412887828,1D
FUNKUW,1.232,0.282047,0.43,0.151,1.27,4.16,3.275590551,3D
FUNLEH,1.154,0.313823,49.48,0.186,1.34,4.38,3.268656716,3D
FUQJUX,0.718,0.748682,2383.13,0.951,8.22,12.31,1.49756691,3D
FURCIG,1.254,0.295544,351.26,0.187,3,7.23,2.41,1D
FURCOM,1.796,0.356864,310.67,0.173,3.18,6.37,2.003144654,2D
FURCUS,1.274,0.287729,336.69,0.182,2.8,7.08,2.528571429,1D
FURFEF,1.641,0.058878,2.3,0.017,1.34,4.36,3.253731343,2D
FURFOP,1.22,0.336523,219.65,0.223,3.07,4.81,1.566775244,1D
FURQAL,1.44,0.210201,5.29,0.094,1.04,4.17,4.009615385,1D
FURQEP,1.391,0.226977,35.35,0.114,1.08,4.32,4,1D
FUSGOR,1.637,0.278435,6.17,0.132,2.48,4.24,1.709677419,1D
FUSMAI,1.414,0.217311,7.67,0.107,1.07,4.28,4,1D
FUSQUH,1.051,0.400473,529.86,0.299,3.86,6.58,1.704663212,1D
FUSWEW,1.135,0.500019,354.89,0.389,3.29,5.74,1.744680851,2D
FUSYUO,1.113,0.435337,596.22,0.317,14.06,14.22,1.011379801,1D
FUTMIR,1.253,0.17674,115.22,0.108,1.32,5.28,4,2D
FUTZAX,0.956,0.645921,1447.62,0.601,5.83,6.47,1.109777015,1D
FUTZEB,1.078,0.580288,811.04,0.467,3.94,5.12,1.299492386,1D
FUTZOK,1.768,0.300186,90.24,0.151,3.26,4.6,1.411042945,1D
FUTZOL,0.891,0.622766,1341.72,0.643,6.06,9.16,1.511551155,1D
FUVBAB,1.021,0.610183,1196.18,0.52,4.28,5.28,1.23364486,1D
FUVCII,0.987,0.372647,10.46,0.338,3.61,4.17,1.155124654,1D
FUWGEL,1.717,0.197295,123.87,0.086,1.3,6.03,4.638461538,1D
FUWGIP,1.725,0.186092,99.53,0.081,1.23,5.69,4.62601626,1D
FUWGOV,1.716,0.20245,130.03,0.097,1.49,5.95,3.993288591,1D
FUWQAR01,1.665,0.298028,248.75,0.145,1.54,7.1,4.61038961,3D
FUWQAR,1.612,0.297811,267.07,0.153,1.55,7.17,4.625806452,3D
FUWXIF,1.818,0.315771,295.76,0.15,1.07,8.49,7.934579439,3D
FUWXOL,1.492,0.461225,259.76,0.237,3.95,4.56,1.15443038,1D
FUXCAE,1.451,0.328974,9.7,0.197,3.76,4.25,1.130319149,1D
FUXCEI,0.518,0.824572,4872.63,1.53,6.62,8.89,1.342900302,2D
FUXWEC,1.71,0.301865,38.54,0.168,3.07,4.35,1.416938111,1D
FUXWOM,1.595,0.265828,4.72,0.173,2.21,4.16,1.882352941,1D
FUYCIN,0.437,0.882895,4235.8,1.846,10.7,11.28,1.054205607,3D
FUYTAV,1.312,0.175126,18.59,0.108,1.32,4.31,3.265151515,1D
FUYYAA,1.963,0.085439,0.92,0.04,1.43,4.03,2.818181818,1D
FUZDEK,0.717,0.683708,2359.79,0.816,4.61,7.87,1.707158351,1D
FUZKAN,1.249,0.289006,88.71,0.173,2.1,4.86,2.314285714,1D
FUZPUN,1.019,0.450841,112,0.367,3.17,4.48,1.413249211,1D
FUZVED,1.41,0.103239,0.15,0.044,1.62,4.09,2.524691358,1D
FUZVUT01,1.317,0.18097,32.22,0.091,2.9,4.39,1.513793103,1D
FUZVUT02,0.928,0.513547,1498.38,0.468,5.18,7.69,1.484555985,1D
GABFEX,0.77,0.621431,1850.74,0.757,5.31,6.14,1.156308851,1D
GACHEX,1.572,0.245677,2.64,0.131,1.81,4.18,2.309392265,1D
GACNOQ,1.966,0.282145,203.66,0.144,2.89,5.45,1.885813149,1D
GACPUX,1.164,0.421829,388.25,0.282,2.73,5.45,1.996336996,2D
GACQOR,1.69,0.232442,112.48,0.116,3.92,5.38,1.37244898,1D
GADCIZ,1.18,0.308588,105.58,0.199,3.14,4.45,1.417197452,1D
GADDOH,1.559,0.207647,41.78,0.118,1.96,4.53,2.31122449,2D
GADFUM,1.543,0.377536,394.21,0.253,3.93,5.84,1.486005089,1D
GADPOS,0.863,0.54648,2047.27,0.614,5.94,6.93,1.166666667,1D
GADPUY,0.874,0.58178,2026.33,0.631,6.99,7.91,1.131616595,1D
GADSAH,1.241,0.251251,12.87,0.137,1.82,4.2,2.307692308,1D
GAFFID,1.015,0.382093,26.22,0.269,2.58,4.21,1.631782946,1D
GAFFUP,1.302,0.2324,122.66,0.132,1.47,4.79,3.258503401,2D
GAFVOA,1.262,0.292032,301.91,0.183,4.26,4.82,1.131455399,1D
GAGMIL,1.307,0.212373,131.99,0.137,2.39,4.78,2,1D
GAGSUF,1.587,0.591583,835.55,0.341,9.97,10.81,1.084252758,1D
GAGTEQ,1.849,0.264489,41.73,0.121,1.68,4.74,2.821428571,1D
GAGTIU,1.799,0.16508,138.67,0.077,4.24,5.66,1.33490566,1D
GAGXAQ,1.362,0.215053,14.01,0.108,1.06,4.23,3.990566038,3D
GAGXIW,0.791,0.646431,1844.4,0.738,8.81,10.69,1.213393871,1D
GAHWOD,0.971,0.418738,261.34,0.349,2.98,5.08,1.704697987,1D
GAHXOE,1.205,0.248176,62.3,0.153,2.53,4.32,1.707509881,1D
GAHYOG,1.124,0.182824,81.9,0.112,1.54,5.03,3.266233766,1D
GAHYUL,1.023,0.36982,457.47,0.29,3.7,5.23,1.413513514,1D
GAHZEX,1.18,0.28059,131.96,0.166,2.28,4.87,2.135964912,2D
GAHZUM,1.067,0.292346,61.69,0.216,2.86,4.32,1.51048951,1D
GAJBEA,1.04,0.335278,222.48,0.256,3.09,5.05,1.634304207,1D
GAJBIE,0.874,0.575958,1120.7,0.585,4.09,5.3,1.295843521,1D
GAJBOK,0.977,0.472957,992.8,0.413,4.42,5.59,1.264705882,1D
GAJBUQ,0.89,0.509532,352.64,0.437,3.21,4.68,1.457943925,1D
GAJJUZ,1.22,0.251902,34.08,0.138,1.59,4.51,2.836477987,1D
GAJKOT,1.497,0.208226,108.35,0.1,1.77,5,2.824858757,2D
GAJTOC,1.726,0.144354,2.33,0.06,1.47,4.15,2.823129252,2D
GAJTUI,1.717,0.158319,2.17,0.071,2.2,4.15,1.886363636,2D
GAJVAQ,1.757,0.151911,0.69,0.067,2.07,4.14,2,2D
GAJVIY,0.954,0.537468,867.37,0.47,4.59,6.39,1.392156863,1D
GAJWIZ01,1.298,0.24996,106.85,0.142,1.75,4.95,2.828571429,3D
GAJXEW,1.341,0.172236,5.84,0.086,1.94,4.15,2.139175258,2D
GAKBAX,1.757,0.246637,0.12,0.082,2.86,4.05,1.416083916,1D
GAKNUD,0.876,0.496577,260.96,0.466,3.18,4.5,1.41509434,1D
GAKXIB,1.107,0.470032,836.26,0.343,4.74,6.32,1.333333333,1D
GALCAZ,1.173,0.452078,755.65,0.301,6.59,7.17,1.08801214,1D
GALCUT,0.848,0.636044,2150.18,0.669,5.19,6.41,1.235067437,1D
GALFEF,1.396,0.311305,91.65,0.183,3.68,4.66,1.266304348,1D
GALHAE,0.674,0.607725,866.96,0.824,3.6,4.8,1.333333333,1D
GALHEI,0.679,0.621102,977.13,0.829,3.7,5.07,1.37027027,2D
GALHIM,0.688,0.622983,945.01,0.816,3.73,4.98,1.335120643,1D
GALHOS,0.416,0.88669,6071.39,1.941,9.39,11.48,1.22257721,1D
GALHUY,0.424,0.886784,5936.7,1.899,9.23,11.83,1.281690141,1D
GALJAG,0.825,0.707048,2308.61,0.701,6.63,7.02,1.058823529,1D
GAMKUD,1.122,0.451296,819.99,0.334,4.16,7.84,1.884615385,3D
GAMQAN,1.253,0.221368,0.47,0.11,1.92,4.11,2.140625,1D
GAMSET,1.188,0.363601,355.7,0.258,3.79,5.36,1.414248021,1D
GAMSIX,1.468,0.268847,37.6,0.134,2.1,4.48,2.133333333,1D
GAMSOD,1.468,0.314925,37.04,0.161,2.76,4.34,1.572463768,1D
GAMTAQ,1.533,0.253907,11,0.128,2.45,4.18,1.706122449,1D
GAMTEU,1.54,0.253622,22.09,0.124,2.44,4.37,1.790983607,1D
GAMVAU,1.307,0.3559,388.21,0.202,4.08,5.43,1.330882353,1D
GAMXUO,1.219,0.180883,1.96,0.101,1.45,4.09,2.820689655,1D
GAPBIK,0.581,0.659753,2514.49,1.098,4.29,6.37,1.484848485,2D
GAPKOA,1.223,0.321385,383.14,0.219,4.39,5.94,1.353075171,1D
GAPLOB,1.148,0.192389,47.24,0.11,1.74,4.41,2.534482759,1D
GAPMOC,1.975,0.187088,1.02,0.069,1.76,4.06,2.306818182,1D
GAPNAP,1.401,0.577774,1124.21,0.388,5.15,6.29,1.221359223,1D
GAPVAX,1.027,0.495776,1531.24,0.451,5.04,6.54,1.297619048,1D
GAQNIY,2.117,0.379351,366.26,0.146,5.58,6.25,1.120071685,1D
GAQVUP,1.672,0.250639,20.63,0.148,3.12,4.41,1.413461538,1D
GARLOD,1.358,0.297379,164.47,0.154,3.52,4.83,1.372159091,1D
GARMAQ,1.379,0.295544,153.02,0.153,3.51,4.81,1.37037037,1D
GARNOD01,0.627,0.663301,2247.28,0.956,9.97,10.43,1.046138415,1D
GARNOD,0.597,0.661819,2218.65,1.021,11.08,11.49,1.03700361,1D
GARNUJ,0.94,0.57595,1552.74,0.557,4.82,6.81,1.412863071,1D
GARQEW,0.601,0.671079,2576.84,1.044,9.13,10.83,1.186199343,1D
GARQEY,1.147,0.215518,93.49,0.119,3.94,6.31,1.601522843,1D
GARQUO,0.579,0.855234,3391.8,1.338,8.03,16.11,2.00622665,3D
GARTAV,1.286,0.100008,7.83,0.054,1.06,4.22,3.981132075,3D
GASHUG,1.184,0.308914,135.98,0.269,3.61,4.46,1.235457064,1D
GASROK,1.15,0.33795,631.77,0.25,8.24,8.55,1.037621359,1D
GASRUQ,0.758,0.57517,2219.49,0.713,6.53,7.79,1.19295559,1D
GASSUR,1.064,0.618886,1181.37,0.473,6.18,6.99,1.131067961,1D
GATLIY,0.761,0.509085,76.19,0.545,3.66,4.32,1.180327869,1D
GATTAX,1.23,0.229012,19.17,0.136,2.47,4.22,1.708502024,1D
GAVTAZ,0.983,0.463059,447.36,0.428,3.49,5.1,1.461318052,2D
GAWCUF,1.201,0.396921,73.05,0.262,3.32,4.84,1.457831325,1D
GAWJAR,1.625,0.315015,45.49,0.14,3.23,4.43,1.371517028,1D
GAWJEV,1.635,0.191123,9.75,0.092,2.18,4.36,2,2D
GAWKEW,4.035,0.087384,6.86,0.017,1.63,4.61,2.828220859,1D
GAWSUU,1.774,0.141286,16.44,0.059,1.09,4.36,4,3D
GAXGAP,1.409,0.130614,26.04,0.051,1.57,4.44,2.828025478,2D
GAXGET01,1.352,0.238065,33.45,0.1,2.41,4.54,1.883817427,1D
GAXGET,1.343,0.235965,36.18,0.101,2.42,4.57,1.888429752,1D
GAXGIX,1.312,0.204283,47.15,0.101,2.64,4.72,1.787878788,1D
GAXGOD,1.307,0.248552,63.45,0.114,2.53,4.77,1.885375494,1D
GAXGUJ,1.45,0.12705,18.24,0.047,1.36,4.45,3.272058824,2D
GAXHIY,1.236,0.353589,316.93,0.215,3.48,4.93,1.416666667,1D
GAXHOE01,1.876,0.106038,8.3,0.04,1.34,4.36,3.253731343,2D
GAXHOE,1.838,0.126145,16.39,0.043,1.13,4.52,4,3D
GAXNOK,0.611,0.749126,3139.69,1.135,6.75,7.72,1.143703704,1D
GAZDAP,1.494,0.318679,159.34,0.144,2.76,5.2,1.884057971,1D
GAZSUX,0.982,0.608302,1241.25,0.556,4.33,5.62,1.297921478,1D
GAZTAE,1.54,0.310969,106.75,0.156,3.45,4.48,1.298550725,1D
GEBCEX,0.677,0.548897,2829.5,0.744,4.93,5.95,1.206896552,1D
GEBCIB,0.894,0.512756,1677.33,0.53,4.37,5.75,1.315789474,1D
GEBFAX,1.036,0.452545,252.32,0.349,3.39,5.13,1.513274336,2D
GEBZAQ,1.207,0.298836,36.34,0.188,3.05,4.32,1.416393443,1D
GEBZEU,1.149,0.334527,92.94,0.222,2.79,4.76,1.70609319,1D
GECCIC,1.296,0.1949,24.34,0.084,3.09,4.52,1.462783172,1D
GECFUR,1.42,0.294422,188.63,0.168,3.33,5.44,1.633633634,1D
GECGAY,1.254,0.430831,145.58,0.294,3.25,4.46,1.372307692,2D
GECROY,1.716,0.20716,4.32,0.099,2.59,4.23,1.633204633,3D
GECXUH01,1.295,0.44575,551.13,0.281,4.23,4.99,1.179669031,1D
GECXUH02,1.328,0.443207,493.41,0.267,4.35,5.02,1.154022989,1D
GECXUH03,1.302,0.459303,587.07,0.284,4.43,5.11,1.153498871,1D
GEDLIM,1.136,0.380857,446.38,0.269,2.95,6.82,2.311864407,1D
GEDWIX,1.206,0.31087,161.24,0.186,1.96,4.96,2.530612245,2D
GEFDEB,0.538,0.757885,2559.41,1.324,10.76,11.63,1.080855019,1D
GEFYIC,1.245,0.312746,213.88,0.202,3.1,5.07,1.635483871,1D
GEFZAU,0.99,0.384523,754.5,0.324,5.19,6.12,1.179190751,1D
GEGBOL,1.239,0.319692,33.77,0.19,2.4,4.81,2.004166667,1D
GEGGEG01,1.629,0.275487,0.29,0.123,1.63,4.13,2.533742331,1D
GEGGEG,1.616,0.27098,1.62,0.126,1.94,4.15,2.139175258,1D
GEGHAD,1.636,0.271922,0.3,0.123,1.79,4.13,2.30726257,1D
GEGPIU04,1.889,0.252444,0.36,0.108,2.59,4.06,1.567567568,1D
GEGPIU05,1.887,0.254875,0.92,0.109,2.61,4.09,1.567049808,1D
GEGPIU06,1.886,0.25421,0.85,0.11,2.6,4.08,1.569230769,1D
GEGPIU07,1.882,0.258508,1.11,0.109,2.61,4.1,1.570881226,2D
GEGQER,1.891,0.252517,0.36,0.106,2.59,4.06,1.567567568,1D
GEGVOE,1.247,0.169731,60.47,0.086,1.69,4.77,2.822485207,1D
GEGWAS,1.552,0.193617,46.73,0.106,1.93,4.47,2.316062176,1D
GEHQOZ,1.11,0.175442,54.85,0.117,1.38,4.52,3.275362319,2D
GEJQEU,1.588,0.210044,38.78,0.106,0.86,4.85,5.639534884,NON-POROUS
GEKFIO,1.382,0.250213,39.37,0.095,2.59,4.64,1.791505792,2D
GEKFOU,1.687,0.157792,0.56,0.062,2.75,4.02,1.461818182,1D
GEKWUP,1.31,0.225141,1.08,0.137,1.47,4.16,2.829931973,1D
GEKXAY,1.061,0.403165,769.49,0.341,9.13,10.28,1.125958379,2D
GELDEJ,1.969,0.265622,43.21,0.104,2.96,4.47,1.510135135,1D
GELDUZ,2.296,0.237085,114.1,0.08,4.37,4.76,1.089244851,1D
GELFIO,0.772,0.614353,2101.01,0.715,6.51,9.13,1.402457757,1D
GELJEN,1.145,0.407845,223.53,0.268,3.35,5.71,1.704477612,1D
GELJIR,1.587,0.179345,89.97,0.095,1.62,5.29,3.265432099,1D
GELMEQ,1.064,0.204507,442.24,0.159,5.54,6.92,1.249097473,1D
GELQUM,1.288,0.281294,368,0.153,6.38,6.82,1.068965517,1D
GELXUS,1.265,0.324368,564.21,0.216,4.82,5.75,1.192946058,1D
GEMKOA,1,0.384665,115.27,0.295,2.77,4.52,1.631768953,1D
GEMLES,0.976,0.35281,416.55,0.299,1.9,5.36,2.821052632,1D
GENFEM,2.036,0.175377,5.15,0.065,1.05,4.22,4.019047619,3D
GENLAP,1.344,0.31442,401.78,0.203,5.35,7.56,1.413084112,1D
GENMEU,1.373,0.342203,537,0.249,6.11,8.15,1.333878887,1D
GENMIY,1.4,0.350992,496.2,0.215,6.35,7.26,1.143307087,1D
GENQAT,0.966,0.399809,271.03,0.339,3.36,5.08,1.511904762,1D
GENZUU,1.18,0.188495,28.43,0.122,1.33,4.33,3.255639098,2D
GEPBOU,1.283,0.262668,208.85,0.14,2.21,5.59,2.529411765,3D
GEPVUT,1.49,0.094291,1.82,0.041,1.03,4.11,3.990291262,3D
GEPWAA,1.489,0.132128,21.25,0.062,1.14,4.56,4,2D
GEPXIJ,1.257,0.292219,215.73,0.184,1.8,5.08,2.822222222,1D
GEPZOS,2.129,0.242669,1.74,0.117,2.3,4.11,1.786956522,2D
GEPZUY,1.557,0.305318,13.48,0.17,2.17,4.35,2.004608295,3D
GEQBAG,1.656,0.261804,89.39,0.178,2.61,4.67,1.789272031,1D
GEQBAH,1.759,0.295731,35.61,0.162,2.39,4.28,1.790794979,2D
GEQBEL,1.388,0.373258,403.83,0.271,2.78,5.25,1.888489209,1D
GEQTON,1.247,0.314482,46.59,0.199,1.09,4.35,3.990825688,3D
GERMAT,1.346,0.227766,148.54,0.126,3.89,5.18,1.331619537,1D
GERNOI,1.059,0.439429,556.78,0.317,3.41,6.83,2.002932551,1D
GERWIL,1.061,0.546794,361.71,0.436,3.61,4.95,1.371191136,3D
GESCOZ,1.422,0.178385,6.08,0.088,1.05,4.21,4.00952381,1D
GESDIT,1.103,0.342963,397.83,0.22,1.9,6.21,3.268421053,2D
GESDIU,0.943,0.484949,739.78,0.428,3.92,6.69,1.706632653,1D
GESDUF,1.116,0.290085,547.7,0.222,6.78,7.31,1.078171091,1D
GESFAN,1.117,0.288495,531.94,0.214,6.6,6.82,1.033333333,1D
GESGAP,0.8,0.574375,1511.72,0.659,9.47,10.82,1.142555438,1D
GESSAB,1.103,0.427728,579.83,0.285,4.61,5.9,1.279826464,1D
GESTOO,1.369,0.153169,68.25,0.089,3.42,4.69,1.371345029,1D
GETCUG,0.628,0.645684,1583.73,0.926,3.76,5.16,1.372340426,2D
GETSOO,1.213,0.370481,1106.42,0.323,6.17,6.92,1.121555916,1D
GETZOV,0.375,0.869663,4959.64,2.165,11.7,13.51,1.154700855,1D
GEVSAD,1.116,0.223336,12.04,0.144,2.13,4.26,2,2D
GEVTEJ,1.651,0.178591,30.57,0.067,2.62,4.69,1.790076336,1D
GEWGOG,0.781,0.670134,2230.94,0.795,4.98,8.8,1.767068273,1D
GEWMAY01,1.181,0.208358,32.89,0.124,1.74,4.39,2.522988506,1D
GEWMAY02,1.153,0.215156,58.36,0.135,1.63,4.6,2.82208589,1D
GEWMAY,1.211,0.20516,16.59,0.116,1.71,4.33,2.532163743,1D
GEWMIE,0.418,0.733191,2734.23,1.631,13.85,14.42,1.041155235,1D
GEWMOM01,0.365,0.816967,5143.3,2.132,13,13.72,1.055384615,1D
GEWMOM,0.376,0.815233,5064.25,2.072,12.83,13.54,1.055339049,1D
GEWNAZ01,1.168,0.207152,26.98,0.124,1.3,4.26,3.276923077,2D
GEWNAZ,1.22,0.197688,14.96,0.109,1.3,4.23,3.253846154,2D
GEXCOD,1.003,0.399956,636.1,0.31,4.88,6.91,1.415983607,1D
GEXFIA,1.159,0.422521,480.57,0.293,3.38,4.78,1.414201183,1D
GEXNUV,1.295,0.283867,152.92,0.162,3.05,5.2,1.704918033,1D
GEXTUB,1.141,0.395715,851.92,0.314,7.83,8.65,1.104725415,1D
GEXVAJ,0.886,0.467996,145.13,0.431,2.94,5.02,1.707482993,1D
GEYJEB,1.228,0.135288,38.61,0.067,1.89,4.78,2.529100529,1D
GEYSOV,1.03,0.26036,178.73,0.188,2.66,5.02,1.887218045,1D
GEYTEL,0.692,0.669196,2401.32,0.824,6.5,8.23,1.266153846,1D
GEZKED,1.035,0.637287,1773.7,0.581,4.46,6.22,1.394618834,1D
GEZVUE,1.417,0.230854,57.73,0.132,1.61,4.57,2.838509317,1D
GEZYOZ,1.31,0.14444,9.63,0.092,1.31,4.28,3.267175573,3D
GIBGUV,1.398,0.306818,97.17,0.172,2.53,4.78,1.889328063,1D
GIBHOQ,1.396,0.304944,80.73,0.173,2.34,4.68,2,1D
GIBJAE,0.966,0.594666,1491.67,0.553,4.3,6.08,1.413953488,3D
GIBRUF,1.234,0.270027,16,0.165,2.32,4.37,1.88362069,1D
GIBSAM,0.654,0.650866,1680.78,0.933,11.98,12.96,1.081803005,1D
GICCUS,1.478,0.494401,520.95,0.319,3.91,5.08,1.299232737,2D
GICDAZ,1.507,0.502397,483.18,0.316,3.91,5.08,1.299232737,2D
GICDED,1.55,0.500725,515.99,0.308,3.99,5.18,1.298245614,2D
GICDIH,1.522,0.51615,530.02,0.318,3.87,5.31,1.372093023,2D
GICJUY,1.351,0.220389,165.16,0.129,2.69,5.39,2.003717472,2D
GICKAF,0.639,0.656769,2881.76,0.973,7.84,8.42,1.073979592,1D
GICNOX,1.141,0.363823,298.92,0.245,2.76,5.53,2.003623188,2D
GICRIU,1.001,0.620533,1191.63,0.524,5.68,6.56,1.154929577,1D
GICXIB01,1.491,0.252339,15.1,0.195,2.14,4.27,1.995327103,1D
GICXIB02,1.483,0.250491,6.37,0.196,2.09,4.18,2,2D
GICXIB,1.488,0.258016,21.37,0.198,2.14,4.29,2.004672897,1D
GIDLOV,0.606,0.747739,3055.66,1.081,5.71,7.83,1.371278459,1D
GIDRET,2.439,0.276702,255.69,0.105,4.59,5.81,1.265795207,1D
GIDVEW,0.706,0.628575,1229.5,0.813,3.69,5.79,1.569105691,3D
GIDWEX,0.709,0.663389,2213.97,0.844,6.16,7.35,1.193181818,1D
GIFKUC01,1.302,0.507221,592.03,0.297,4.52,5.58,1.234513274,1D
GIFKUC,1.29,0.50747,585.99,0.3,4.6,5.55,1.206521739,1D
GIFSEW,1.122,0.353382,93.18,0.257,2.9,4.55,1.568965517,1D
GIFTEX01,1.26,0.399236,41.61,0.279,2.94,4.61,1.568027211,1D
GIFTEX,1.255,0.399725,48.95,0.284,2.91,4.56,1.567010309,2D
GIGKOZ,1.598,0.103532,0.09,0.042,1.04,4.16,4,3D
GIHBEF,1.134,0.396284,613.71,0.265,4.28,5.41,1.264018692,1D
GIHVOI,1.528,0.301591,24.77,0.156,2.04,4.36,2.137254902,1D
GIHYIG,0.807,0.613341,1735.25,0.663,5.16,9,1.744186047,1D
GIHYOM,0.811,0.615158,1740.49,0.668,5.16,9.01,1.746124031,1D
GIJBUZ,1.607,0.480093,370.15,0.262,3.9,6.51,1.669230769,1D
GIJCAF,1.005,0.443958,966.08,0.395,6.1,7.72,1.26557377,1D
GIJDEI,1.585,0.239046,66.46,0.117,1.74,4.41,2.534482759,1D
GIJDIM,2.15,0.118892,20.93,0.042,1.69,4.77,2.822485207,3D
GIJJOZ,1.93,0.14196,0.05,0.061,2.66,4.02,1.511278195,1D
GIKJER,0.606,0.743719,2188.45,1.154,11.1,11.56,1.041441441,1D
GIKRAV,1.216,0.247878,25.63,0.144,3.32,4.31,1.298192771,1D
