Refcode,Density (g/cm3),"Helium Void Fraction F(He,T) (-)","Surface Area S(AC,T) (m2/g)","Pore Volume V(PO,T) (cm3/g)",Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity
BIMDEJ,1.124,0.33582,429.83,0.227,4.03,5.53,1.372208437,1D
BIMDOR,1.615,0.356524,413.64,0.195,8.22,9.39,1.142335766,1D
BIMVUR,1.357,0.361379,496.71,0.277,3.46,5.9,1.705202312,1D
BIMWAY,1.761,0.18214,211.19,0.092,5.09,6.14,1.206286837,1D
BINPAR,1.572,0.346072,174.9,0.201,3.8,5.07,1.334210526,1D
BINPEV,1.989,0.198304,194.14,0.111,4.12,5.49,1.332524272,2D
BINTEZ,1.055,0.495094,948.32,0.439,4.82,5.95,1.234439834,1D
BIPLIX,1.108,0.470942,977.48,0.379,5.09,6.79,1.333988212,2D
BIPMUL,2.389,0.092783,6.47,0.033,2.02,4.32,2.138613861,1D
BIPNAS,2.782,0.144816,50.46,0.047,3.51,4.68,1.333333333,1D
BIQFAL01,1.192,0.272143,26.62,0.273,2.23,4.21,1.887892377,1D
BIQFAL,1.176,0.285441,59.18,0.279,2.25,4.25,1.888888889,1D
BIQHEQ,1.17,0.337629,51.98,0.251,2.45,4.62,1.885714286,1D
BIQHIU,1.607,0.15198,1.45,0.093,1.65,4.17,2.527272727,2D
BIQHUH01,1.114,0.33364,49.55,0.293,2.5,4.27,1.708,1D
BIQHUH,1.095,0.345862,71.26,0.308,2.55,4.35,1.705882353,1D
BIQRIE,2.099,0.352691,6.56,0.094,2.34,4.18,1.786324786,2D
BIRLOF01,1.171,0.309176,11.33,0.191,1.97,4.21,2.137055838,3D
BIRLOF02,1.174,0.310581,9.93,0.19,1.98,4.23,2.136363636,3D
BIRLOF03,1.18,0.30761,8.34,0.189,1.96,4.19,2.137755102,3D
BIRLOF,1.178,0.30745,8.02,0.186,1.96,4.19,2.137755102,3D
BIRMUM,1.287,0.136944,94.22,0.084,3.16,5.16,1.632911392,1D
BISPAX,0.869,0.603472,1771.86,0.589,3.99,5.47,1.370927318,3D
BITDOZ,2.005,0.375704,337.13,0.194,4.02,5.97,1.485074627,1D
BIVTIK,0.497,0.796574,5379.47,1.455,6.46,8.27,1.280185759,1D
BIVVEI,0.755,0.574312,1655.18,0.697,8.94,9.32,1.042505593,1D
BIVXAG,1.673,0.061655,0.11,0.027,1,3.99,3.99,NON-POROUS
BIWDET,1.536,0.240287,38.25,0.116,1.77,4.48,2.531073446,3D
BIWRUX,1.357,0.2608,15.95,0.151,1.85,4.26,2.302702703,1D
BIWSAE,1.665,0.269893,184.41,0.122,3.16,5.38,1.702531646,2D
BIWWOW,1.713,0.22328,114.14,0.098,1.22,4.88,4,2D
BIXHAT,1.124,0.36152,122.48,0.31,3.3,4.82,1.460606061,1D
BIXHEX,1.09,0.361948,138.49,0.329,3.22,4.87,1.51242236,1D
BIXXUD,3.582,0.116411,42.38,0.024,2.09,6.83,3.267942584,3D
BIXYAK,3.549,0.118086,44.41,0.025,2.13,6.96,3.267605634,3D
BIYGUM,0.749,0.623827,2038.12,0.771,8.14,9.03,1.109336609,1D
BIYKEA,1.593,0.145524,11.31,0.069,1.33,4.34,3.263157895,1D
BIYTEJ,1.386,0.399869,512.39,0.227,5.95,6.25,1.050420168,1D
BIZQUX,1.588,0.170783,18.16,0.082,1.32,4.29,3.25,1D
BOBDII,1.498,0.497627,721.75,0.307,10.87,11.78,1.083716651,1D
BOBFUW,1.774,0.373916,335.56,0.184,3.54,5.66,1.598870056,1D
BOBGIJ,1.436,0.095775,0.4,0.033,1.03,4.11,3.990291262,2D
BOBTOC,1.166,0.372865,505.96,0.266,1.26,5.83,4.626984127,2D
BOCTET,0.873,0.574915,1638.55,0.563,4.6,8.13,1.767391304,1D
BODJEK,1.067,0.275552,4.56,0.181,2.62,4.11,1.56870229,1D
BODJUA,1.113,0.336887,410.1,0.243,3.09,5.99,1.938511327,2D
BODKAH01,1.149,0.220235,67.82,0.118,1.78,4.51,2.533707865,1D
BODYID,1.058,0.515577,635.5,0.409,4.3,5.19,1.206976744,1D
BOFCEG,1.35,0.430243,120.27,0.265,2.8,4.58,1.635714286,2D
BOFGAF,2.238,0.189408,0.68,0.07,1.02,4.08,4,2D
BOFGIP,1.353,0.113803,1.2,0.053,1.76,4.06,2.306818182,1D
BOFGUZ,1.807,0.126117,3.73,0.052,1.04,4.17,4.009615385,2D
BOFTIC,1.357,0.224855,42.73,0.114,1.14,4.54,3.98245614,3D
BOGXIF02,1.169,0.320317,438.59,0.239,1.48,6.82,4.608108108,1D
BOGXIF,1.176,0.319952,431.17,0.237,1.18,6.69,5.669491525,3D
BOGXOL,1.197,0.312096,409.81,0.225,1.16,6.56,5.655172414,1D
BOHJAK,1.35,0.207049,99,0.115,0.88,4.96,5.636363636,NON-POROUS
BOHMIV,0.51,0.778616,4928.32,1.561,8.78,9.65,1.099088838,1D
BOHNES,1.316,0.525251,903.71,0.379,8.6,9.15,1.063953488,1D
BOHNIW,1.356,0.307663,5.52,0.154,2.61,4.26,1.632183908,1D
BOJCOT,1.121,0.363938,359.18,0.276,3.5,4.95,1.414285714,1D
BOJDEK,0.708,0.781642,2627.18,1.012,9.3,10.47,1.125806452,1D
BOJHOA,1.55,0.143185,1.62,0.056,1.93,4.14,2.14507772,1D
