,Density of the material (g/cm3),Helium Void Fraction,Gravimetric Void Fraction,Surface Area volumetric (m2/cm3),Surface Area gravimetric (m2/g),PLD (_),LCD (_),Pore Volume (cm3/g),ch4_100bar_cccc,ch4_100bar_density_kgm3,ch4_100bar_gg,ch4_100bar_heatcap_JmolK,ch4_100bar_qst_kJmol,ch4_100_7_delcap_gg,ch4_50bar_cccc,ch4_50bar_density_kgm3,ch4_50bar_gg,ch4_50bar_heatcap_JmolK,ch4_50bar_qst_kJmol,ch4_50_7_delcap_gg,ch4_7bar_cccc,ch4_7bar_density_kgm3,ch4_7bar_gg,ch4_7bar_heatcap_JmolK,ch4_7bar_qst_kJmol
CIWZEP,1.165,0.229266,0.391874,244.75,210.17,4.59,5.8,0.19679485,75.88105427,54.31075,0.046638058,2861.91922,17.09169,0.024713965,66.84616711,47.84416,0.04108503,2789.26517,16.81446,0.019160938,35.67093775,25.53095,0.021924093,2647.10368,16.61468
CIWZIT,1.253,0.232931,0.396554,247.24,197.37,4.87,6.01,0.185898643,76.46134404,54.72608,0.043686722,3075.94929,16.53477,0.02560346,66.53939523,47.6246,0.038017748,2520.89554,16.79041,0.019934486,31.64967417,22.65279,0.018083262,2767.22127,16.76055
CIXCAO,1.206,0.589348,0.629254,1191.51,987.98,7.15,7.79,0.488679934,193.9776796,138.83668,0.115121918,10572.04858,17.03517,0.071385456,170.1634924,121.79202,0.100988669,12590.95179,17.55281,0.057252206,73.694894,52.74604,0.043736463,10902.07847,16.17393
CIXTIN,1.648,0.523755,0.571341,507.7,307.98,4.2,5.06,0.3178125,167.2845874,119.73149,0.072633178,10951.35377,17.79131,0.03299592,151.2334331,108.24311,0.065663939,11478.75851,19.6288,0.026026681,91.29026892,65.33967,0.039637258,20114.43413,20.2011
CIYZUH,1.195,0.323052,0.436939,156.58,131.02,4.18,5.16,0.270336402,128.1452357,91.71807,0.076746963,16964.2348,19.95757,0.04600787,110.8480129,79.33784,0.066387551,15364.94325,19.01847,0.035648458,51.32539626,36.7354,0.030739093,12548.26679,17.77871
CIZBAQ,1.198,0.323591,0.436442,154.25,128.73,4.12,5.08,0.270109349,129.60109,92.76008,0.077415306,10495.29193,18.23163,0.045901926,114.9419106,82.26799,0.068658861,16791.96804,19.27133,0.037145481,52.75660074,37.75976,0.03151338,14085.75386,18.02816
CIZBEU,1.17,0.327856,0.440954,171.16,146.31,4.11,5.48,0.280218803,130.861286,93.66205,0.080064615,14134.10297,18.81194,0.048461522,113.765806,81.42621,0.06960512,16658.24204,18.8827,0.038002027,51.65354748,36.97027,0.031603093,15819.29093,17.74861
CIZBIY,1.17,0.325418,0.44157,149.14,127.47,4.17,5.28,0.278135043,134.3288722,96.14392,0.082174893,12992.22739,19.63282,0.051742012,116.4628619,83.35658,0.071245467,16767.90345,18.69331,0.040812585,49.74773337,35.60621,0.030432882,16374.52185,17.76694
CIZNOQ,2.609,0.550682,0.683901,1967.27,754.18,5.83,7.46,0.211070142,134.4223774,96.21084,0.036883478,10585.52594,11.74128,0.032628408,89.8776228,64.32859,0.024661067,6447.11544,10.52514,0.020405997,15.50766509,11.09938,0.00425507,1042.15508,9.16063
COCDOP,0.665,0.553843,0.69843,1099.49,1654.56,5.21,6.85,0.832846617,206.0873441,147.50399,0.22115283,24305.86489,15.21168,0.177202489,162.9302223,116.61492,0.174840818,19375.97066,14.4035,0.130890477,40.95633337,29.31389,0.043950341,9551.61143,13.82484
COCMOY,0.616,0.767341,0.700962,1666.9,2706.74,5.34,12.59,1.245683442,251.1119498,179.72969,0.291849632,30152.79502,16.8136,0.18535309,217.8627859,155.93209,0.253206484,32085.73184,16.05446,0.146709943,91.6312759,65.58374,0.106496541,23856.55159,15.01816
COCMUE,0.718,0.725203,0.644593,1684.48,2344.86,4.43,6.94,1.010032033,249.7210982,178.73421,0.248806491,13604.03113,17.87914,0.113801547,227.8485579,163.07926,0.227014059,21849.49941,18.87247,0.092009115,135.501219,96.98301,0.135004944,32839.95381,18.54146
COCNEP,0.757,0.735959,0.642403,1736.51,2293.51,4.42,6.79,0.972204756,253.0131877,181.09048,0.239178024,14162.4084,19.38995,0.101824211,235.0615417,168.24185,0.222208002,22335.64573,19.62517,0.084854189,145.2989932,103.99562,0.137353813,33550.65101,19.31196
CODWUP,1.301,0.325532,0.464206,602.04,462.66,3.88,7.12,0.250216756,110.2660637,78.92132,0.060649871,6892.57623,17.52924,0.039432837,94.65671469,67.74915,0.052064228,6836.20015,16.91632,0.030847194,38.57417662,27.6089,0.021217034,5911.3981,15.86556
COFSUN,1.186,0.279251,0.397351,263.55,222.14,3.98,5.3,0.235456155,78.4424164,56.14401,0.047324281,2337.68107,17.69889,0.01656624,71.87359317,51.44247,0.043361312,2713.67358,17.91587,0.012603272,50.9830257,36.49035,0.03075804,3810.62934,19.23733
COGCOS,0.934,0.398358,0.497941,684,732.15,6.26,7.55,0.426507495,144.5512172,103.46041,0.110744077,5653.80268,18.1063,0.069646928,127.6731554,91.38019,0.097813398,6999.63941,19.1034,0.056716249,53.64298495,38.39418,0.041097149,8151.95628,17.09171
COGNAO,1.188,0.471098,0.487142,601.74,506.63,3.95,5.13,0.396547138,153.3019776,109.72364,0.092381965,9960.20977,19.52728,0.027047074,144.3117375,103.28901,0.086964318,18345.06892,21.21356,0.021629426,108.4190841,77.59937,0.065334891,26257.04814,20.32415
COGWEB,0.922,0.504931,0.553269,906.86,983.5,4.64,6.02,0.547647505,169.4322766,121.26867,0.131518936,5077.04757,17.47922,0.057098646,156.3767073,111.92433,0.121384772,7727.72068,18.36812,0.046964482,95.87364015,68.62015,0.07442029,11555.49453,18.75017
COHDOU,1.253,0.344927,0.443919,161.22,128.7,3.79,4.58,0.275280926,134.0864521,95.97041,0.076612987,8819.86544,20.0591,0.031241096,122.2902638,87.52746,0.069872998,11455.07011,21.4366,0.024501106,79.40893812,56.83578,0.045371891,8989.08922,20.3364
COHDUA,1.11,0.347275,0.443701,137.86,124.17,3.81,4.6,0.31286036,133.453894,95.51767,0.086031693,6514.64756,19.76463,0.033914821,123.3109513,88.258,0.079492996,8002.74725,19.70536,0.027376124,80.84462002,57.86335,0.052116872,11655.17196,20.77134
COHGUC,1.044,0.387069,0.456056,520.84,498.74,3.78,5.93,0.370755747,132.5078456,94.84055,0.090817823,11721.82769,19.53001,0.033327092,120.0622632,85.9328,0.082287908,7713.28733,20.12093,0.024797176,83.88191546,60.03725,0.057490731,17115.08512,21.13451
COJHIT,0.722,0.637383,0.661902,1409.58,1952.61,9.09,9.85,0.882801939,213.9035086,153.0983,0.212080127,6400.56894,16.91324,0.140067218,185.8178552,132.9964,0.184233885,6448.52599,16.33605,0.112220976,72.63204731,51.98532,0.072012909,5927.84829,14.58351
COJLIX,1.282,0.353847,0.407733,112.79,87.95,4.1,4.94,0.2760117,120.8542791,86.49968,0.067448918,2617.27974,23.48528,0.010179411,118.7777236,85.01341,0.06628999,3919.25734,22.22531,0.009020483,102.6149143,73.44512,0.057269507,11571.35298,25.10901
COJMOF,0.865,0.577003,0.586528,1206.92,1394.97,7.28,7.92,0.667055491,200.7698827,143.6981,0.166090482,17757.82561,19.84917,0.095822345,177.4622534,127.016,0.146808828,16729.92832,18.11808,0.076540691,84.93999987,60.79456,0.070268136,18744.66447,16.64864
COJMOF01,0.865,0.577144,0.586411,1190.74,1376.27,7.31,7.95,0.667218497,198.6129316,142.15429,0.164306105,16722.71429,19.37166,0.094833242,178.8305429,127.99534,0.14794077,15366.45309,18.14989,0.078467907,83.97867501,60.1065,0.069472863,16802.26664,16.56614
COKDUB,0.85,0.503987,0.673512,1762.47,2073.19,6.44,7.21,0.592925882,142.6123371,102.07269,0.120068669,6366.3775,12.62812,0.10485681,99.40771192,71.14961,0.083693683,5658.01625,11.63327,0.068481823,18.06798456,12.93189,0.01521186,790.79642,9.21438
COKMEW,1.136,0.641866,0.623162,1327.59,1168.24,10.74,11.33,0.565022887,239.513543,171.4283,0.150852753,19876.2952,17.23877,0.081537996,215.2381133,154.05352,0.135563365,32172.20852,17.97439,0.066248609,110.053165,78.76894,0.069314756,30753.89774,16.73592
COKMIA,1.172,0.636348,0.646795,1362.83,1162.33,10.61,11.43,0.542959044,238.8315217,170.94016,0.145793047,21498.94599,17.38132,0.089672882,213.8188459,153.0377,0.130524233,27312.14307,17.70082,0.074404068,91.93349543,65.80005,0.056120165,32577.87076,15.81268
COKMOG,1.324,0.595628,0.609588,1341.77,1013.5,10.39,11.16,0.449870091,229.0144327,163.91372,0.123813103,28143.43175,18.41522,0.070810142,203.7513027,145.832,0.110154983,27426.63912,17.61276,0.057152023,98.03843637,70.16957,0.053002961,36800.94851,16.38539
COKMUM,1.074,0.640386,0.660647,1373.87,1278.62,10.79,11.62,0.59626257,233.3656697,167.02805,0.155448666,18916.18605,16.40644,0.103363801,204.0182089,146.02304,0.135899845,26752.94311,16.6931,0.08381498,78.19185411,55.96467,0.052084865,22700.10246,14.70159
COKNAT,1.228,0.642416,0.621732,1330.44,1083.31,10.53,11.31,0.523140065,242.7040707,173.71188,0.14144448,19735.7675,17.51065,0.074261241,217.2736323,155.51041,0.126623982,24275.8944,17.64618,0.059440743,115.2794768,82.50959,0.067183239,36665.20206,17.15264
COKNIA,0.919,0.768294,0.83309,2342.99,2550.26,9.42,11.5,0.836010881,145.8274045,104.37382,0.113606884,5260.95185,8.64379,0.104127329,81.1665516,58.09377,0.063232827,2514.03264,7.65017,0.053753271,12.16809115,8.70913,0.009479555,241.83889,6.38459
COKNIB,1.323,0.592863,0.60826,1323.98,1000.63,10.37,11.14,0.448120181,229.4365191,164.21582,0.124110842,27201.35731,18.33029,0.071830308,204.6887132,146.50294,0.110723823,30323.59985,17.73909,0.058443289,96.64799332,69.17438,0.052280534,35621.63661,16.11298
COKNIB01,1.32,0.589952,0.606672,1317.08,997.5,10.36,11.18,0.446933333,226.6218291,162.20125,0.122845659,21812.47229,17.92221,0.071020474,202.2685867,144.77077,0.109644415,30296.56007,17.51074,0.05781923,95.60548027,68.42822,0.051825185,37736.68648,16.46247
COKNIB02,1.321,0.59193,0.609596,1324.96,1002.75,10.28,11.09,0.448092354,228.8690883,163.80969,0.123974598,28634.75272,17.81337,0.071713487,203.8682359,145.9157,0.11043205,27259.53241,17.11455,0.058170939,96.47906052,69.05347,0.052261111,28824.07879,16.01877
COKNOH,1.131,0.643799,0.624757,1337.33,1182.62,10.82,11.44,0.569229885,242.1792412,173.33624,0.153284431,24317.91195,18.15415,0.084393747,216.200362,154.74224,0.136841412,22468.2881,17.78172,0.067950729,108.8427143,77.90258,0.068890684,30657.91182,16.87894
COKNOH01,1.127,0.636335,0.622922,1339.27,1188.63,10.67,11.43,0.564627329,237.4028515,169.91761,0.150805391,28685.01236,18.90327,0.083052854,213.1984369,152.59365,0.135430023,34268.13314,18.0542,0.067677486,106.6582921,76.33911,0.067752537,25795.52046,16.3767
COKNUN,1.073,0.642316,0.662648,1360.35,1267.36,10.8,11.59,0.598616962,235.1075548,168.27478,0.156773373,20825.51442,16.89099,0.104225437,205.0469543,146.75935,0.136728497,30084.01555,16.5128,0.084180562,78.80430416,56.40302,0.052547935,20985.31914,14.82278
COKNUN01,1.076,0.642113,0.660434,1399.51,1300.88,10.87,11.68,0.596759294,235.0678471,168.24636,0.156389649,24351.34785,17.02026,0.103406498,204.3158087,146.23604,0.135930447,29447.12219,16.42565,0.082947296,79.63848903,57.00008,0.052983152,21970.21381,14.80557
COKNUN02,1.076,0.64742,0.663461,1423.05,1322.64,10.95,11.76,0.60169145,238.6293633,170.79547,0.158744949,22635.38942,16.57815,0.104808719,207.5252924,148.53318,0.138053387,32645.11969,17.26777,0.084117158,81.07828461,58.03059,0.05393623,23594.51113,14.78196
COKPEZ,0.911,0.651335,0.647679,1362.74,1496.26,10.52,11.35,0.714967069,250.7028132,179.43686,0.197019566,20946.90863,18.06371,0.110534859,225.1010466,161.11277,0.176899931,34308.67392,18.3575,0.090415225,110.049777,78.76651,0.086484707,42898.73766,16.99721
COKPID,1.138,0.639262,0.620576,1326.33,1165.78,10.66,11.25,0.561741652,239.5360123,171.44439,0.150691722,21213.70706,17.48105,0.082282674,214.152013,153.27616,0.134722688,23509.20352,17.42737,0.06631364,108.7414116,77.83007,0.068409048,29240.4214,16.50951
COKPOJ,1.174,0.642562,0.649563,1364.46,1161.99,10.65,11.44,0.547327087,242.4474685,173.52822,0.147780013,27905.67484,18.39271,0.089891791,215.3214459,154.11317,0.131245776,30813.55851,17.8544,0.073357554,94.9712516,67.97428,0.057888222,28052.20493,15.64192
COKPUP,1.233,0.644945,0.622635,1371.23,1112.45,10.57,11.25,0.523069749,243.3365665,174.16458,0.141296358,22619.86823,18.1933,0.073759955,217.952483,155.99629,0.126556779,21822.67322,17.63096,0.059020376,116.3092703,83.24665,0.067536402,37049.83872,17.09578
COKQAW,1.308,0.592374,0.627364,1359.11,1039.07,10.39,11.06,0.452885321,221.3362802,158.41819,0.121114847,27169.22251,17.59578,0.074192417,195.5753117,139.98016,0.107018488,26358.09368,16.65805,0.060096057,85.75031487,61.37453,0.046922431,25963.81949,15.43575
COKQEA,1.17,0.639387,0.650263,1380.35,1180.28,10.72,11.51,0.546484615,241.2964555,172.7044,0.147673415,24904.51408,17.87774,0.091095255,212.6689328,152.21467,0.130153373,29456.26952,17.67522,0.073575213,92.44798368,66.16829,0.05657816,26527.2726,15.65682
COKQIE,1.128,0.640118,0.622509,1342.29,1190.19,10.88,11.36,0.567480496,241.3828446,172.76623,0.1531908,21573.77014,18.04477,0.084696136,216.2522888,154.7794,0.137241986,22552.16163,17.61288,0.068747322,107.9270874,77.24723,0.068494664,33233.59218,16.76056
COKQOK,1.227,0.644727,0.622442,1324.11,1079.44,10.64,11.25,0.525449878,243.3403743,174.1673,0.141986225,20433.60122,17.96565,0.074310272,219.1040602,156.82052,0.127844623,26307.99077,18.0158,0.06016867,115.9851367,83.01466,0.067675953,32006.18249,16.97991
COKRUR,0.227,0.902275,0.887634,1399.36,6151.78,13.25,15.63,3.974779736,186.7332192,133.65156,0.587559734,20683.76183,9.21385,0.537023678,111.1764362,79.5729,0.349818835,11321.96529,8.0851,0.299282779,16.06093805,11.49538,0.050536056,1560.227,7.40055
COLBUB,0.959,0.380682,0.584105,417.95,435.81,4.21,4.96,0.396957247,166.5908656,119.23497,0.124327876,8536.97233,17.18679,0.066793024,148.3615768,106.18762,0.110723236,9761.97024,18.33943,0.053188384,77.09277396,55.17802,0.057534852,13634.92754,18.07531
COLMUM,0.847,0.323308,0.534381,1601.16,1890.67,5.51,5.74,0.381709563,138.3279035,99.00617,0.116908911,6230.40948,15.7605,0.085269156,116.1181404,83.10986,0.098138156,6454.01862,15.36439,0.066498401,37.4365045,26.79463,0.031639755,4124.19142,13.50033
COLVEE,1.36,0.173311,0.343382,225.6,165.9,4.42,4.64,0.127434559,64.38076106,46.07958,0.033884838,1873.97078,21.65266,0.00786339,62.29293113,44.58525,0.032785973,1255.9865,20.66226,0.006764525,49.4404195,35.38625,0.026021448,3477.38847,21.99747
COMDOY,1.222,0.455587,0.54127,961.04,786.44,5.86,6.05,0.372820786,167.1494368,119.63476,0.097900154,4816.12532,20.94933,0.031441904,156.7019189,112.1571,0.091780998,5582.71533,20.89124,0.025322748,113.4672271,81.2125,0.06645825,10637.19354,21.4806
COMSAZ,0.729,0.585358,0.68207,1535.79,2107.65,8.25,10,0.802960219,153.189375,109.64305,0.150470387,14981.70324,11.94065,0.13144449,105.250842,75.33175,0.103382725,10791.64029,10.87281,0.084356828,19.36969336,13.86357,0.019025897,1917.31252,9.44303
COMXUZ,0.77,0.468356,0.607696,1107.64,1438.66,4.65,6.12,0.608254545,201.1584692,143.97622,0.187005456,10702.04815,17.03404,0.116550515,177.0019175,126.68653,0.164548499,13733.288,16.99827,0.094093559,75.78713642,54.24353,0.070454941,14000.37821,16.09299
CONBEO,1.598,0.267088,0.406367,234.67,146.84,4,5.34,0.167138924,96.09295805,68.77712,0.043035896,2779.37027,21.33105,0.009946622,92.78321168,66.40822,0.041553603,4246.68793,21.5149,0.008464329,73.88358282,52.88109,0.033089273,9700.683,21.80837
CONKIB,0.557,0.76599,0.758113,1476.6,2652.16,15.38,17.58,1.375206463,204.8997582,146.654,0.263410412,49954.7052,12.11817,0.21270669,150.4403103,107.67544,0.193399662,37056.27464,11.52708,0.142695941,39.44103912,28.22934,0.050703722,12672.69918,11.28067
CONVOR,0.934,0.459284,0.61719,1757.91,1882.14,5.87,7.51,0.491738758,143.9604639,103.03759,0.110319636,8219.06609,13.61665,0.089634413,107.4778978,76.92573,0.082362353,6668.37052,12.41006,0.06167713,26.99296771,19.31982,0.020685224,2158.43332,11.7782
CONVUX,0.961,0.447691,0.615542,1667.31,1735.17,5.95,7.35,0.465859521,138.3638944,99.03193,0.103062997,7466.78716,13.35793,0.08385491,106.6390332,76.32532,0.079432127,7176.86384,12.55417,0.06022404,25.78719622,18.45681,0.019208087,2519.94073,11.57167
COPBOZ,0.667,0.711686,0.816403,2188.57,3282.44,6.89,9.25,1.066995502,191.4154937,137.00283,0.205479233,11210.81077,12.3836,0.180941308,132.4568499,94.80405,0.142188761,10385.53865,11.48636,0.117650836,22.85846088,16.36061,0.024537925,1282.04229,9.00203
COPVIO,1.956,0.690827,0.772836,2554.57,1306.14,7.15,8.99,0.353183538,158.4820947,113.43123,0.057996895,20419.93714,10.68513,0.052583559,99.43590977,71.16979,0.036388805,12726.69401,9.45739,0.030975468,14.79246334,10.58749,0.005413337,1339.86834,7.78429
COPVOU,3.37,0.657877,0.757782,2866.17,850.42,5.51,6.98,0.195215727,177.5262834,127.06183,0.037700526,11044.50327,12.22759,0.032903929,126.9261336,90.84552,0.026954781,8509.45243,11.08115,0.022158183,22.58647725,16.16594,0.004796597,1983.1249,9.93317
COPVUA,2.946,0.613611,0.724497,2543.17,863.31,5.44,7.57,0.208286151,160.1938675,114.65641,0.038921508,11303.66115,11.9451,0.034569196,110.4256214,79.03552,0.026829565,9451.47638,11.1441,0.022477252,17.91332883,12.8212,0.004352313,1023.69145,8.92407
COQHUN,1.019,0.349142,0.456361,465.11,456.47,4.05,5.82,0.342631992,117.6878531,84.23335,0.082669659,3215.56097,17.70898,0.029960444,108.216183,77.45414,0.076016298,5117.97765,18.73827,0.023307083,75.03640898,53.70621,0.052709215,6935.22929,19.83313
COQTEJ,0.88,0.477987,0.547089,825.96,938.14,6.37,7.21,0.543167045,174.464394,124.87033,0.141830776,9885.37975,17.97531,0.069763184,158.2740322,113.28232,0.128668826,12544.1543,19.31914,0.056601234,88.6495102,63.44959,0.072067592,14000.12876,18.15618
CORMIF,0.881,0.519562,0.592293,1303.14,1479.14,5.39,7.08,0.589741203,192.0310219,137.44339,0.15600758,6026.4756,16.17736,0.094902236,165.8386875,118.69661,0.134728712,7522.37007,15.78699,0.073623368,75.21507377,53.83409,0.061105344,10837.74824,17.25223
CORMIF10,0.881,0.520398,0.592513,1270.43,1442.01,5.37,7.06,0.590690125,192.0477624,137.45537,0.15602118,6756.11949,16.48477,0.092780617,166.3365355,119.05293,0.135133168,8527.95866,15.64978,0.071892605,77.84333252,55.71522,0.063240563,8191.85019,16.762
CORZOA,0.745,0.772896,0.725025,2312.62,3105.29,5.93,10.12,1.037444295,259.5236697,185.75026,0.24941934,7411.50374,16.68075,0.165620137,228.8211856,163.77541,0.21991223,9589.91172,16.57714,0.136113028,87.19402678,62.40785,0.083799203,8917.8699,15.12928
COSMII,1.253,0.354431,0.459701,831.5,663.48,6.55,7.89,0.282865922,116.7259026,83.54485,0.066663396,3676.84571,17.83181,0.032424833,104.730337,74.9592,0.059812602,4312.05963,17.79683,0.025574039,59.95084907,42.90894,0.034238563,5327.51334,16.6236
COSQAC,0.318,0.807154,0.838251,1536.77,4832.6,12.05,13.7,2.538220126,155.4492265,111.2605,0.349877222,10469.08507,8.61136,0.321058474,87.80040021,62.84185,0.19761668,5526.25578,7.77998,0.168797932,12.80406914,9.16432,0.028818748,621.49069,6.88868
COTYIV,0.968,0.63168,0.649818,1475.08,1523.46,7.53,9.3,0.652561983,211.5503049,151.41403,0.156380204,19718.28124,15.64798,0.111618103,178.1426665,127.503,0.131684928,30677.95049,16.08066,0.086922827,60.55393113,43.34059,0.044762101,14661.45375,13.94959
COVFIE,1.074,0.666549,0.793882,2519.01,2344.47,6.69,9.18,0.620622905,127.5324447,91.27948,0.084954881,8222.78577,9.13554,0.077127718,75.31571764,53.90612,0.050171059,4427.6952,8.14461,0.042343896,11.74996944,8.40987,0.007827163,399.95339,6.77736
COVREM,2.163,0.290692,0.519566,483.11,223.39,3.95,5.87,0.134392973,70.65343808,50.56916,0.023383073,7929.65208,14.13731,0.018337782,55.29611823,39.57739,0.018300499,7354.62223,13.83131,0.013255208,15.24466626,10.91115,0.005045291,3033.42646,12.44232
COWBEX,1.754,0.149293,0.343967,216.39,123.36,4.43,5.23,0.085115735,44.48143569,31.83693,0.018150089,526.99835,18.69262,0.003929235,42.6172806,30.50269,0.017389444,976.02155,19.85081,0.00316859,34.85183935,24.94469,0.014220853,2283.2362,21.72456
COWPOU,1.242,0.259543,0.381571,520.57,419.13,4.7,5.03,0.20897182,105.0219496,75.16792,0.060521297,5668.18601,20.78632,0.017127593,98.91996808,70.80052,0.057004891,7976.1544,21.39962,0.013611187,75.30062332,53.89532,0.043393704,11570.85273,22.74657
COWQOW,0.491,0.676394,0.745831,1293.91,2637.35,11.74,14.08,1.377584521,154.239959,110.39499,0.225017386,13058.54936,9.79232,0.192622321,101.508796,72.65343,0.148089017,8615.80569,9.29002,0.115693952,22.20545498,15.89323,0.032395065,2563.88025,10.10427
COWSEN,1.754,0.368852,0.539753,1055.96,602.01,5.15,5.95,0.210291904,113.9123639,81.5311,0.046298134,4475.68482,16.22611,0.029197842,100.6716449,72.05425,0.040916623,4317.75661,15.98506,0.023816331,42.07371923,30.11365,0.017100292,3725.77995,14.85626
COXCEZ,0.926,0.887077,0.867621,1913.65,2066,9.72,11.89,0.957966523,228.8809668,163.81819,0.176860021,13586.45588,11.52069,0.161220075,146.9800766,105.19883,0.11357388,9511.65207,10.04163,0.097933934,20.24022042,14.48664,0.015639945,685.06153,7.42729
COYCAV,1.044,0.523342,0.628037,1618.83,1551.33,4.94,7.34,0.501285441,175.3989649,125.53924,0.120305633,8484.04004,16.57867,0.087815747,149.1977661,106.78611,0.102334308,8013.83776,15.64383,0.069844422,47.36845828,33.90328,0.032489886,6384.88641,13.79623
COYCID,0.95,0.579338,0.630998,1432.11,1507.62,6.73,9.44,0.609829474,183.6081949,131.41487,0.138344809,13725.72623,15.76518,0.099573938,156.5218147,112.02819,0.117935807,16328.22852,16.06186,0.079164936,51.45584944,36.82877,0.038770871,9696.56719,13.85789
COYMUA,0.982,0.360139,0.49861,780.39,794.32,4.42,5.74,0.366740326,134.9507677,96.58903,0.098314344,6432.07955,18.46218,0.050365467,122.2471224,87.49658,0.089059483,6940.0423,19.20829,0.041110607,65.81682203,47.10742,0.047948876,7405.52276,17.9639
COZHIK,1.83,0.706617,0.814971,2431.29,1328.71,6.46,9.21,0.386129508,168.6500355,120.70879,0.065695747,11681.02143,12.19889,0.05811049,114.8039788,82.16926,0.044720614,8364.5516,10.85694,0.037135357,19.47239986,13.93708,0.007585257,947.41971,8.77149
COZJAE,1.798,0.711552,0.814747,2455.28,1365.94,6.5,9.19,0.395746385,172.5727785,123.51643,0.068462896,9855.54531,12.00968,0.060726349,115.1605956,82.42451,0.045686394,7603.60446,10.78031,0.037949847,19.50132843,13.95779,0.007736547,981.2385,8.70967
COZMUA,0.677,0.665665,0.678548,1669.95,2467.14,5.03,8.3,0.983257016,207.9872388,148.86381,0.21993001,15540.34237,15.36706,0.147647109,177.7291112,127.207,0.18793444,18078.79568,14.63003,0.115651539,68.35775129,48.92606,0.072282901,12896.15873,14.13253
CPYZCO04,0.878,0.465481,0.600738,1459.8,1661.91,5.33,6.03,0.530160592,147.5471333,105.6047,0.120226569,5960.79528,15.7939,0.081505432,129.6296227,92.7805,0.105626754,6810.24226,15.63333,0.066905617,47.52021778,34.0119,0.038721137,5170.08806,13.82214
CUBBEI,0.664,0.676033,0.674382,1636.39,2464.61,7.41,10.57,1.018121988,225.5091895,161.40489,0.243098948,24218.4199,16.24176,0.185645299,188.2901908,134.76594,0.202976861,25501.81962,15.51534,0.145523212,53.29651082,38.1462,0.057453649,11102.90245,12.80627
CUCFOX,0.663,0.608725,0.6431,1605.45,2421.91,4.8,7.39,0.918137255,195.6062145,140.00228,0.211202683,27386.71829,16.18512,0.144411033,166.0101469,118.81933,0.179246802,19559.0852,15.61176,0.112455153,61.85935485,44.27493,0.066791649,17325.07897,14.29202
CUFBEL,0.592,0.781997,0.810239,1846.68,3118.15,12.08,13.77,1.320940878,190.6838671,136.47918,0.230447276,11238.81211,10.7694,0.209108094,117.2920018,83.95003,0.141750966,6568.0629,9.34915,0.120411784,17.65713111,12.63783,0.021339182,626.1259,7.52191
CUFDOX,0.918,0.786057,0.678507,1981.32,2158.42,5.3,6.18,0.856271242,240.6838462,172.26593,0.187665193,18718.98694,18.75112,0.080800862,222.2420415,159.06648,0.173285812,26274.29389,19.56884,0.06642148,137.0553482,98.09535,0.106864332,34202.62402,18.20018
CUFDUD,0.94,0.786781,0.671232,1943.74,2068.33,5.11,6.55,0.837001064,250.8423852,179.53676,0.191045507,25807.30893,18.6657,0.07721428,232.0488033,166.08553,0.176732019,30829.58923,19.22559,0.062900792,149.4601832,106.97393,0.113831227,49701.97009,19.10079
CUFFAL,0.957,0.828909,0.648048,1889.31,1975.2,4.81,6.6,0.866153605,270.8122205,193.82987,0.202643636,25713.9378,20.74507,0.061499364,255.4271123,182.81821,0.191131252,46027.7166,22.19126,0.04998698,188.624694,135.00536,0.141144273,63153.51635,22.12742
CUFFEP,0.909,0.781538,0.678811,1995.68,2195.21,5.34,6.17,0.859777778,240.4584021,172.10457,0.189312459,18980.96639,18.63349,0.08399901,220.5733877,157.87217,0.173657024,23843.96219,18.69064,0.068343575,133.7656472,95.7408,0.105313449,33575.11252,17.82394
CUFFIT,0.914,0.786586,0.679942,2039.87,2233.01,5.31,6.19,0.860597374,241.6254487,172.93987,0.189315237,23544.87239,19.14471,0.083828898,221.8828812,158.80942,0.173846797,20885.60707,18.48065,0.068360458,134.6335581,96.36199,0.105486339,31469.51706,18.01232
CUFFOZ,0.917,0.783582,0.678057,2009.71,2190.92,5.33,6.16,0.854505998,239.5751527,171.4724,0.186935379,20167.50368,19.01433,0.082092516,219.7763727,157.30171,0.171486813,17634.02946,18.38897,0.066643951,134.3659236,96.17044,0.104842863,34628.15451,18.05694
CUFFUF,0.919,0.784544,0.677725,1997.55,2172.84,5.29,6.18,0.853693145,241.6052417,172.92541,0.188101159,23969.9547,19.87957,0.082202362,221.2477569,158.35484,0.17225189,21095.44766,18.82893,0.066353093,136.0209819,97.35502,0.105898797,33959.54185,18.05195
CUFNEX,0.547,0.582273,0.69815,1646.37,3010.19,7.53,7.98,1.064484461,173.562714,124.22497,0.227132533,7603.36113,12.81106,0.200667321,120.2945149,86.09903,0.1574232,6020.85942,11.10332,0.130957988,20.22332053,14.47454,0.026465212,734.93203,8.76
CUFODO10,0.996,0.503158,0.668309,2048.48,2056.97,5.99,6.99,0.505178715,158.0765681,113.14098,0.113610292,8812.11213,13.61598,0.092478711,124.0405996,88.78024,0.089148499,10153.41803,12.79084,0.068016918,29.40233487,21.04429,0.021131581,2463.19301,10.49648
CUFQOJ,0.928,0.389692,0.477338,321.41,346.46,3.96,5.13,0.419926724,155.4216019,111.24073,0.119912116,3767.5622,22.27937,0.029904327,148.6659134,106.40545,0.114699914,4455.09502,22.1379,0.024692124,116.661729,83.49892,0.09000779,10887.1147,22.32585
