,Density of the material (g/cm3),Helium Void Fraction,Gravimetric Void Fraction,Surface Area volumetric (m2/cm3),Surface Area gravimetric (m2/g),PLD (_),LCD (_),Pore Volume (cm3/g),ch4_100bar_cccc,ch4_100bar_density_kgm3,ch4_100bar_gg,ch4_100bar_heatcap_JmolK,ch4_100bar_qst_kJmol,ch4_100_7_delcap_gg,ch4_50bar_cccc,ch4_50bar_density_kgm3,ch4_50bar_gg,ch4_50bar_heatcap_JmolK,ch4_50bar_qst_kJmol,ch4_50_7_delcap_gg,ch4_7bar_cccc,ch4_7bar_density_kgm3,ch4_7bar_gg,ch4_7bar_heatcap_JmolK,ch4_7bar_qst_kJmol
AFULAP,0.953,0.584627,0.703841,1765.7,1853.73,4.75,5.94,0.613459601,228.5780288,163.60137,0.171758747,14463.69795,17.27288,0.120354667,201.3308735,144.09962,0.151284613,16042.19605,16.74755,0.099880533,68.40899507,48.96273,0.05140408,11527.2306,14.37222
AGAFEU,0.997,0.31972,0.453763,627.1,628.98,4.68,5.3,0.320682046,109.0814678,78.07346,0.078307716,5972.78968,16.44128,0.049826609,95.6253055,68.44241,0.068647767,6577.96946,16.71005,0.040166661,39.67375172,28.39591,0.028481106,5783.60514,15.25541
AGAFIY,0.969,0.333214,0.467167,725.69,748.92,4.24,5.12,0.343874097,107.9270967,77.24724,0.079720988,5688.36296,16.29193,0.052537756,94.11801741,67.36359,0.06952083,8472.38835,16.44963,0.042337598,36.8009401,26.33973,0.027183232,5510.33666,14.86943
AGASOR,0.627,0.638634,0.653908,1568.46,2503.48,4.63,6.55,1.018555024,240.1515427,171.88494,0.274355568,7502.0158,17.40595,0.171785238,209.8203493,150.17584,0.239704398,9945.31423,17.05717,0.137134068,89.78284341,64.26075,0.10257033,10789.47657,16.34392
AGASOR01,0.659,0.61886,0.645553,1056.37,1603.84,4.12,7.02,0.93908953,224.5495766,160.71806,0.244014387,11488.13509,16.8665,0.159614972,195.9702656,140.26284,0.212957713,13095.39804,17.20705,0.128558298,77.66694888,55.58898,0.084399415,10447.41861,15.48196
AGAWOU,1.02,0.529317,0.648963,1231.93,1207.79,4.43,5.6,0.518938235,210.5049897,150.66586,0.147714917,9230.86833,18.61542,0.072566274,189.9835344,135.97793,0.133314664,10768.60876,18.15478,0.058166022,107.0925304,76.64991,0.075148642,16768.27485,17.86505
AGAYAI,0.643,0.71883,0.717848,2147.81,3340.61,7.47,9.33,1.117931571,223.5265366,159.98584,0.248838335,17301.38107,14.3763,0.195162566,183.2682504,131.17156,0.204021263,18653.15957,14.28708,0.150345494,48.21587767,34.50981,0.053675769,7342.70316,12.05782
AGEQEK,0.77,0.573656,0.642387,1482.52,1926.21,5.62,6.85,0.745007792,191.773687,137.2592,0.177874688,25611.58877,16.03009,0.122277522,164.4612887,117.71075,0.152541785,32225.0891,15.94597,0.096944618,59.94148832,42.90224,0.055597166,25787.3703,14.4234
AGILEH,0.373,0.684508,0.724416,2344.73,6288.81,8.05,8.56,1.835142091,189.3371648,135.5153,0.363471132,9991.54423,12.46603,0.322875802,129.8047136,92.90582,0.249186504,8781.32598,11.14802,0.208591174,21.14667169,15.13542,0.04059533,864.89152,8.52886
AGOFAF,0.773,0.645068,0.65134,1048.55,1356.48,4.64,7.27,0.834499353,236.2992766,169.12774,0.218797571,22684.06807,19.41954,0.12645652,213.7296568,152.97387,0.197899589,30785.60861,19.07781,0.105558538,99.72744892,71.37846,0.092341051,36942.70416,17.37623
AGOFEJ,0.584,0.710785,0.712886,1749.48,2997.36,8.58,11.95,1.217097603,210.6947276,150.80166,0.25836923,16337.98895,13.12339,0.206662197,163.6840089,117.15443,0.20072126,19319.48254,12.94826,0.149014228,42.16600839,30.1797,0.051707032,7508.9205,12.52916
AGONAM,1.438,0.392647,0.530849,929.53,646.54,4.61,5.56,0.273050765,141.5338191,101.30075,0.070461131,4426.11292,19.04773,0.021000667,133.0081804,95.19865,0.066216731,5496.31503,20.44179,0.016756267,99.350213,71.10846,0.049460464,13010.67839,20.81604
AGONEQ,1.083,0.618154,0.651475,1622.12,1498.44,5.62,6.01,0.570779317,199.3116791,142.65441,0.131777891,6774.52856,17.79286,0.062133569,184.801935,132.26927,0.122184558,8362.20567,18.15757,0.052540236,105.3357783,75.39254,0.069644322,12555.88263,17.20728
AGOPUI,1.948,0.137208,0.363052,113.93,58.48,4.02,4.64,0.070435318,43.60042017,31.20636,0.016018656,4495.10288,15.578,0.010943521,36.60150441,26.19699,0.013447277,4270.15754,16.91688,0.008372142,13.81376927,9.887,0.005075135,3141.86102,16.48545
AGOVID,0.642,0.758966,0.723153,1755.69,2733.82,7.64,12.29,1.182190031,245.2631781,175.54352,0.273345253,9074.14358,15.34592,0.202797805,204.4579107,146.33775,0.227867876,11524.13261,14.80504,0.157320428,63.29976863,45.30588,0.070547448,6339.85447,13.33265
AGOWAW,0.746,0.706401,0.689717,1455.3,1950.52,7.55,12.53,0.946918231,242.406129,173.49863,0.23254048,7067.22456,15.59405,0.163966025,204.8000409,146.58262,0.196464916,9599.73091,15.75506,0.127890461,71.48376136,51.16345,0.068574455,6618.87342,14.89988
AGOWEA,1.19,0.575421,0.565588,638.03,536,3.88,8.15,0.483547059,226.8819888,162.38745,0.136419184,30304.38908,22.17658,0.062763398,203.3717889,145.56037,0.122283014,43035.51353,22.15547,0.048627228,122.498689,87.67664,0.073655786,49403.83221,20.36176
AGUHAM,1.191,0.237153,0.420365,551.49,463.16,4.66,5.27,0.199120907,81.40876732,58.26713,0.048935358,4591.46948,15.13629,0.035731762,69.09187267,49.45149,0.04153159,3747.4242,14.59044,0.028327993,21.96547815,15.72147,0.013203597,2204.99206,13.5467
AHAYUF,1.225,0.301451,0.434229,577.26,471.17,4.12,5.73,0.246082449,103.3006481,73.93592,0.060348696,4552.93626,17.19346,0.030338227,94.93209666,67.94626,0.055459751,7767.12095,17.8186,0.025449282,51.36980718,36.76719,0.030010469,11364.00214,18.02886
