Refcode,Density (g/cm3),HVF,Surface area (m2/g),Free volume (cm3/g),PLD (A),LCD (A),LCD/PLD,Porosity,Density [binned] (g/cm3),HVF [binned],Surface area [binned] (m2/g),Free volume [binned] (cm3/g),PLD [binned] (A),LCD [binned] (A),LCD/PLD [binned]
CEJSIU,1.05,0.232,92.34,0.158,1.49,4.87,3.268,1D,1,0.2,50,0.1,1.4,4.8,3
CEKHAD,1.394,0.161,81.89,0.078,4.11,4.75,1.156,1D,1.3,0.1,50,0,4,4.6,1.1
CEKHEG,0.939,0.723,1069.1,0.778,12.34,12.58,1.019,1D,0.8,0.7,1000,0.6,10,10,1
CEKHEH,1.403,0.160,84.17,0.076,4.2,4.75,1.131,1D,1.4,0.1,50,0,4,4.6,1.1
CEKWEW,1.574,0.080,7.11,0.024,1.44,4.72,3.278,1D,1.5,0.0,0,0,1.4,4.6,3
CELGEH,0.733,0.766,2766.76,0.911,5.79,7.83,1.352,1D,0.6,0.7,2000,0.8,5,7,1.3
CELHEJ,1.227,0.295,265.28,0.201,3.29,5.16,1.568,1D,1.2,0.2,200,0.2,3,5,1.5
CELMAJ,1.617,0.197,5.06,0.091,2.27,4.28,1.885,1D,1.6,0.1,0,0,2.2,4.2,1.8
CELSAO,1.378,0.250,62.07,0.135,2.44,4.6,1.885,1D,1.3,0.2,50,0.1,2.2,4.6,1.8
CELVAS,0.742,0.604,2070.56,0.729,6.96,9.03,1.297,1D,0.6,0.6,2000,0.6,6,8,1.2
CELVIB,1.505,0.245,39.03,0.128,2.87,4.5,1.568,1D,1.5,0.2,0,0.1,2.6,4.5,1.5
CELWUO,2.576,0.171,7.29,0.077,1.32,4.3,3.258,2D,2,0.1,0,0,1,4.3,3
CELYEA,1.797,0.369,89.69,0.207,3.91,4.51,1.153,1D,1.6,0.3,50,0.2,3.8,4.5,1.1
CELYIE,1.429,0.366,117.85,0.261,3.97,4.49,1.131,1D,1.4,0.3,100,0.2,3.8,4.4,1.1
CEMCED01,1.177,0.177,8.17,0.091,2.44,4.16,1.705,1D,1.1,0.1,0,0,2.2,4,1.6
CEMCON,1.181,0.174,9.9,0.103,2.11,4.22,2.000,1D,1.1,0.1,0,0.1,1.8,4.2,2
CEMGAD,1.174,0.177,15.04,0.093,2.45,4.38,1.788,1D,1.1,0.1,0,0,2.2,4.3,1.6
CEMPER,0.607,0.694,2982.25,1.074,5.71,7.05,1.235,1D,0.6,0.6,2000,1,5,7,1.2
CEMPOB,2.385,0.248,53.37,0.096,2.71,5.11,1.886,2D,2,0.2,50,0,2.6,5,1.8
CEMPUH,2.444,0.273,18.85,0.117,2.81,4.41,1.569,1D,2,0.2,0,0.1,2.6,4.4,1.5
CEMQES,1.576,0.410,880.2,0.254,5.31,6.56,1.235,1D,1.5,0.4,800,0.2,5,6.5,1.2
CEMTOE,1.665,0.095,5.64,0.043,1.06,4.24,4.000,3D,1.6,0.0,0,0,1,4.2,4
CEMTUK,1.103,0.467,24.85,0.357,3.13,4.3,1.374,2D,1.1,0.4,0,0.3,3,4.3,1.3
CEMVEX,1.788,0.324,210.15,0.169,3.59,5.07,1.412,3D,1.6,0.3,200,0.1,3.3,5,1.4
CENLUE,1.857,0.279,39.4,0.104,3.31,4.69,1.417,1D,1.8,0.2,0,0.1,3.3,4.6,1.4
CENVOH,1.344,0.253,103.16,0.139,1.24,4.94,3.984,2D,1.3,0.2,100,0.1,1,4.8,3
CEPJEO,1.294,0.163,6.58,0.082,2.1,4.2,2.000,1D,1.2,0.1,0,0,1.8,4.2,2
CEPKIU,1.196,0.597,1181.19,0.448,5.67,7.78,1.372,1D,1.1,0.5,1000,0.4,5,7,1.3
CEQDOU,1.229,0.170,3.34,0.091,1.48,4.18,2.824,2D,1.2,0.1,0,0,1.4,4,2.5
CERFOV01,1.304,0.220,152.45,0.125,1.53,5,3.268,1D,1.3,0.2,150,0.1,1.4,5,3
CERFUB,1.374,0.183,3.61,0.094,1.77,4.08,2.305,2D,1.3,0.1,0,0,1.4,4,2
CESKAO,1.165,0.391,462.78,0.268,3.44,6.67,1.939,1D,1.1,0.3,400,0.2,3.3,6.5,1.8
CESMIZ,1.141,0.281,382.03,0.194,4.14,5.37,1.297,1D,1.1,0.2,300,0.1,4,5.3,1.2
CESNOD,1.227,0.210,9.77,0.099,1.81,4.17,2.304,1D,1.2,0.2,0,0,1.8,4,2
CESNUJ,1.203,0.268,135.08,0.159,3.71,5.08,1.369,1D,1.2,0.2,100,0.1,3.6,5,1.3
CESQUP,1.124,0.484,580.53,0.332,3.27,6.16,1.884,1D,1.1,0.4,500,0.3,3,6,1.8
CETFEO,1.312,0.150,10.65,0.077,1.33,4.34,3.263,1D,1.3,0.1,0,0,1,4.3,3
CETFOX,1.421,0.411,547.14,0.251,4.41,5.57,1.263,1D,1.4,0.4,500,0.2,4,5.3,1.2
CETFUD,1.492,0.286,31.16,0.147,3.12,4.28,1.372,1D,1.4,0.2,0,0.1,3,4.2,1.3
CETHEQ,1.364,0.338,478.38,0.234,4.14,7.6,1.836,1D,1.3,0.3,400,0.2,4,7,1.8
CETKUK,1.034,0.598,1437.16,0.519,8.44,9.14,1.083,1D,1,0.5,1250,0.5,8,8,1
CETMAS,2.448,0.185,82.63,0.062,2.17,5.79,2.668,1D,2,0.1,50,0,1.8,5.6,2.5
CETVAA,1.287,0.215,7.09,0.113,3,4.25,1.417,1D,1.2,0.2,0,0.1,3,4.2,1.4
CEVCAK,1.323,0.145,41.2,0.074,1.2,4.78,3.983,3D,1.3,0.1,0,0,1,4.6,3
CEVFAN,1.178,0.297,313.63,0.192,4.13,5.51,1.334,1D,1.1,0.2,300,0.1,4,5.3,1.3
CEVGIW,1.122,0.438,320.69,0.285,3.89,5.34,1.373,1D,1.1,0.4,300,0.2,3.8,5.3,1.3
CEVYUA,1.471,0.057,1.36,0.022,2.07,4.13,1.995,1D,1.4,0.0,0,0,1.8,4,1.8
CEWCOY,0.623,0.677,1701.85,1.016,11.96,13.39,1.120,1D,0.6,0.6,1500,1,10,10,1.1
CEWDAL,0.903,0.484,876.45,0.43,4.76,5.87,1.233,1D,0.8,0.4,800,0.4,4.5,5.6,1.2
CEWDEP,1.032,0.321,61.63,0.223,2.33,4.39,1.884,1D,1,0.3,50,0.2,2.2,4.3,1.8
CEWHAO,1.416,0.232,127.17,0.129,3.23,6.09,1.885,2D,1.4,0.2,100,0.1,3,6,1.8
CEWLAS,1.286,0.510,880.17,0.383,4.35,5.37,1.234,1D,1.2,0.5,800,0.3,4,5.3,1.2
CEXKUO,1.115,0.410,36.45,0.318,3.48,4.4,1.264,1D,1.1,0.4,0,0.3,3.3,4.4,1.2
CEXLEZ,1.099,0.445,186.81,0.343,3.87,4.47,1.155,1D,1,0.4,150,0.3,3.8,4.4,1.1
CEXZEN,1.313,0.295,184.87,0.145,2.6,5.2,2.000,1D,1.3,0.2,150,0.1,2.6,5,2
CEYDUG,1.097,0.365,405.54,0.281,4.05,5.4,1.333,1D,1,0.3,400,0.2,4,5.3,1.3
CEYLEY,0.927,0.497,1020.4,0.474,4.75,5.49,1.156,1D,0.8,0.4,1000,0.4,4.5,5.3,1.1
CEYMIE,2.246,0.233,48.65,0.083,2.71,4.63,1.708,1D,2,0.2,0,0,2.6,4.6,1.6
CEYPUT01,1.227,0.434,241.45,0.271,3.61,5.11,1.416,1D,1.2,0.4,200,0.2,3.6,5,1.4
CEYPUT02,1.208,0.442,268.96,0.287,3.67,5.19,1.414,1D,1.2,0.4,200,0.2,3.6,5,1.4
CEYPUT,1.206,0.442,268.15,0.287,3.79,5.2,1.372,1D,1.2,0.4,200,0.2,3.6,5,1.3
CEYQIG,1.475,0.199,69.29,0.114,3.79,4.68,1.235,1D,1.4,0.1,50,0.1,3.6,4.6,1.2
CEYYUC,1.582,0.496,657.89,0.314,4.39,6.3,1.435,1D,1.5,0.4,600,0.3,4,6,1.4
CEYZIQ,1.692,0.219,0.34,0.089,2.58,4.05,1.570,1D,1.6,0.2,0,0,2.2,4,1.5
CEYZIR,1.752,0.502,569.46,0.327,3.52,5.32,1.511,1D,1.6,0.5,500,0.3,3.3,5.3,1.5
CEYZOX,2.146,0.502,807.42,0.265,4.94,5.59,1.132,1D,2,0.5,800,0.2,4.5,5.3,1.1
CEZDES,0.867,0.698,2244.05,0.712,5.11,6.82,1.335,2D,0.8,0.6,2000,0.6,5,6.5,1.3
CEZFEV,0.889,0.414,103.86,0.415,3.41,4.55,1.334,2D,0.8,0.4,100,0.4,3.3,4.5,1.3
CEZFIY,1.189,0.338,195.44,0.221,3.41,4.98,1.460,2D,1.1,0.3,150,0.2,3.3,4.8,1.4
CEZJUO,1.114,0.368,155.98,0.244,2.03,4.68,2.305,3D,1.1,0.3,150,0.2,1.8,4.6,2
CEZKAV,1.063,0.377,179.56,0.258,2.06,4.4,2.136,2D,1,0.3,150,0.2,1.8,4.4,2
CEZMUR,2.33,0.154,32.71,0.061,2.51,4.73,1.884,1D,2,0.1,0,0,2.2,4.6,1.8
CEZNAY,2.325,0.155,31.61,0.06,2.49,4.69,1.884,1D,2,0.1,0,0,2.2,4.6,1.8
CEZPOO,1.324,0.325,54.54,0.184,3.05,4.6,1.508,1D,1.3,0.3,50,0.1,3,4.6,1.5
CEZPUU,0.716,0.698,2427.04,0.885,7.48,9.78,1.307,1D,0.6,0.6,2000,0.8,6,8,1.3
CEZTUX,1.081,0.390,288.21,0.263,2.89,4.93,1.706,2D,1,0.3,200,0.2,2.6,4.8,1.6
CEZZIR,1.906,0.255,7.63,0.104,3.37,4.16,1.234,1D,1.8,0.2,0,0.1,3.3,4,1.2
CIBHON,1.206,0.447,403.7,0.328,3.12,5.09,1.631,1D,1.2,0.4,400,0.3,3,5,1.6
CIBJEE,1.966,0.165,103.63,0.068,1.19,4.75,3.992,3D,1.8,0.1,100,0,1,4.6,3
CIBREL,1.213,0.166,5.89,0.08,2.11,4.23,2.005,1D,1.2,0.1,0,0,1.8,4.2,2
CIBROV,1.345,0.374,35.78,0.217,3.42,4.44,1.298,1D,1.3,0.3,0,0.2,3.3,4.4,1.2
CIBROX,1.059,0.251,8.11,0.161,2.28,4.3,1.886,1D,1,0.2,0,0.1,2.2,4.3,1.8
CIBSOV,1.915,0.129,4.24,0.051,1.78,4.12,2.315,1D,1.8,0.1,0,0,1.4,4,2
CICCEY,1.638,0.258,87.71,0.129,2.42,4.84,2.000,1D,1.6,0.2,50,0.1,2.2,4.8,2
CICJAA,1.314,0.133,4.74,0.077,1.05,4.18,3.981,3D,1.3,0.1,0,0,1,4,3
CICLEH,1.205,0.286,133.15,0.18,1.23,4.91,3.992,3D,1.2,0.2,100,0.1,1,4.8,3
CICLIL,0.993,0.447,459.75,0.352,3.61,5.28,1.463,1D,0.8,0.4,400,0.3,3.6,5,1.4
CICRAJ,0.996,0.441,87.96,0.353,3.62,4.58,1.265,1D,0.8,0.4,50,0.3,3.6,4.5,1.2
CICREN,0.849,0.539,1284.21,0.55,5.17,7.2,1.393,1D,0.8,0.5,1250,0.5,5,7,1.3
CICRIR,0.899,0.512,691.31,0.487,4.05,5.12,1.264,1D,0.8,0.5,600,0.4,4,5,1.2
CICSOW01,1.291,0.329,66.49,0.194,2.5,4.72,1.888,2D,1.2,0.3,50,0.1,2.2,4.6,1.8
CICSOW02,1.249,0.336,81.45,0.215,2.37,4.74,2.000,2D,1.2,0.3,50,0.2,2.2,4.6,2
CICYUJ,1.329,0.291,321.78,0.163,5.06,5.23,1.034,1D,1.3,0.2,300,0.1,5,5,1
CIDCAW,1.534,0.320,374.54,0.184,3.1,6.4,2.065,1D,1.5,0.3,300,0.1,3,6,2
CIDDUQ,0.865,0.522,1608.31,0.538,4.82,6.43,1.334,1D,0.8,0.5,1500,0.5,4.5,6,1.3
CIDGEC,1.129,0.312,302.32,0.205,3.3,6.41,1.942,1D,1.1,0.3,300,0.2,3.3,6,1.8
CIDGOO,1.14,0.336,267.62,0.241,3.23,5.06,1.567,1D,1.1,0.3,200,0.2,3,5,1.5
CIDLEI,1.589,0.241,0.75,0.124,1.78,4.11,2.309,1D,1.5,0.2,0,0.1,1.4,4,2
CIDMOU,1.251,0.336,408.85,0.206,2.78,6.7,2.410,1D,1.2,0.3,400,0.2,2.6,6.5,2
CIDPEM,1.155,0.164,16.72,0.084,1.5,4.24,2.827,1D,1.1,0.1,0,0,1.4,4.2,2.5
CIDWUJ,1.23,0.364,144.68,0.25,3.65,4.61,1.263,1D,1.2,0.3,100,0.2,3.6,4.6,1.2
CIDZAT,1.268,0.230,210.56,0.129,1.4,5.6,4.000,1D,1.2,0.2,200,0.1,1.4,5.6,4
CIFCIF,1.055,0.481,723.47,0.354,1.97,6.44,3.269,3D,1,0.4,600,0.3,1.8,6,3
CIFKAF,0.922,0.450,909.83,0.388,4.12,6.46,1.568,1D,0.8,0.4,800,0.3,4,6,1.5
CIGVUM,1.445,0.205,127.1,0.112,2.75,4.69,1.705,1D,1.4,0.2,100,0.1,2.6,4.6,1.6
CIGYUP,1.185,0.418,338.14,0.255,3.81,5.57,1.462,1D,1.1,0.4,300,0.2,3.8,5.3,1.4
CIGZOJ,1.218,0.216,72.76,0.126,2.24,4.48,2.000,1D,1.2,0.2,50,0.1,2.2,4.4,2
CIHLIQ,1.341,0.222,44.84,0.124,3,4.54,1.513,1D,1.3,0.2,0,0.1,3,4.5,1.5
CIHLUC,1.608,0.107,1.39,0.032,1.24,4.04,3.258,3D,1.6,0.1,0,0,1,4,3
CIHNOX,1.71,0.093,26.37,0.042,1.18,4.72,4.000,1D,1.6,0.0,0,0,1,4.6,4
CIHRUH,1.195,0.269,117.36,0.164,3.28,4.79,1.460,3D,1.1,0.2,100,0.1,3,4.6,1.4
CIJBAB,1.447,0.185,0.51,0.095,2.66,4.17,1.568,1D,1.4,0.1,0,0,2.6,4,1.5
CIJBEF,1.503,0.152,32.33,0.059,2.45,4.38,1.788,1D,1.5,0.1,0,0,2.2,4.3,1.6
CIJBIJ,1.474,0.206,66.19,0.101,2.95,5.27,1.786,1D,1.4,0.2,50,0.1,2.6,5,1.6
CIJGEK01,1.089,0.361,19.61,0.381,3.58,4.22,1.179,1D,1,0.3,0,0.3,3.3,4.2,1.1
CIJGEK02,1.087,0.363,21.91,0.387,3.56,4.2,1.180,1D,1,0.3,0,0.3,3.3,4.2,1.1
CIJGEK03,1.084,0.365,25.71,0.389,3.56,4.2,1.180,1D,1,0.3,0,0.3,3.3,4.2,1.1
CIJGEK04,1.081,0.368,28.48,0.394,3.57,4.21,1.179,1D,1,0.3,0,0.3,3.3,4.2,1.1
CIJGEK05,1.078,0.369,31.46,0.392,3.58,4.23,1.182,1D,1,0.3,0,0.3,3.3,4.2,1.1
CIJGEK06,1.076,0.370,33.7,0.397,3.61,4.25,1.177,1D,1,0.3,0,0.3,3.6,4.2,1.1
CIJGEK07,1.072,0.372,37.42,0.396,3.6,4.25,1.181,1D,1,0.3,0,0.3,3.6,4.2,1.1
CIJGEK08,1.069,0.375,41.67,0.404,3.6,4.24,1.178,1D,1,0.3,0,0.4,3.6,4.2,1.1
CIJGEK09,1.065,0.376,46.14,0.411,3.64,4.29,1.179,1D,1,0.3,0,0.4,3.6,4.2,1.1
CIJGEK,1.09,0.360,18.03,0.382,3.57,4.22,1.182,1D,1,0.3,0,0.3,3.3,4.2,1.1
CIJJEN01,1.072,0.360,20.21,0.388,3.56,4.2,1.180,1D,1,0.3,0,0.3,3.3,4.2,1.1
CIJJEN02,1.067,0.364,24.23,0.39,3.59,4.24,1.181,1D,1,0.3,0,0.3,3.3,4.2,1.1
CIJJEN03,1.065,0.365,26.36,0.388,3.59,4.23,1.178,1D,1,0.3,0,0.3,3.3,4.2,1.1
CIJJEN04,1.062,0.366,28.38,0.397,3.57,4.21,1.179,1D,1,0.3,0,0.3,3.3,4.2,1.1
CIJJEN05,1.06,0.369,31.3,0.399,3.6,4.24,1.178,1D,1,0.3,0,0.3,3.6,4.2,1.1
CIJJEN06,1.055,0.371,35.78,0.404,3.6,4.25,1.181,1D,1,0.3,0,0.4,3.6,4.2,1.1
CIJJEN07,1.052,0.372,39.08,0.409,3.6,4.25,1.181,1D,1,0.3,0,0.4,3.6,4.2,1.1
CIJJEN08,1.048,0.374,41.54,0.408,3.6,4.25,1.181,1D,1,0.3,0,0.4,3.6,4.2,1.1
CIJJEN,1.073,0.358,18.6,0.384,3.54,4.18,1.181,1D,1,0.3,0,0.3,3.3,4,1.1
CIJJOX,1.07,0.361,21.95,0.386,3.56,4.2,1.180,1D,1,0.3,0,0.3,3.3,4.2,1.1
CIJPAO,1.277,0.181,40.83,0.108,2.76,4.51,1.634,1D,1.2,0.1,0,0.1,2.6,4.5,1.6
CIJPIW,1.265,0.180,49.64,0.108,2.67,4.55,1.704,1D,1.2,0.1,0,0.1,2.6,4.5,1.6
CIJPUI,1.266,0.430,145.41,0.29,3.25,4.46,1.372,2D,1.2,0.4,100,0.2,3,4.4,1.3
CIJSIZ,1.244,0.294,8.9,0.187,2.62,4.27,1.630,1D,1.2,0.2,0,0.1,2.6,4.2,1.6
CIJSOF,1.201,0.327,59.81,0.196,2.75,4.5,1.636,2D,1.2,0.3,50,0.1,2.6,4.5,1.6
CIJTEW,1.341,0.163,17.15,0.085,1.34,4.37,3.261,1D,1.3,0.1,0,0,1,4.3,3
CIKQEU,1.148,0.424,222.17,0.32,3.86,4.46,1.155,1D,1.1,0.4,200,0.3,3.8,4.4,1.1
CIKYAY,1.25,0.386,215.45,0.295,3.74,4.51,1.206,1D,1.2,0.3,200,0.2,3.6,4.5,1.2
CIKYEC,1.269,0.377,150.1,0.285,3.6,4.45,1.236,2D,1.2,0.3,150,0.2,3.6,4.4,1.2
CILDUX,2.387,0.200,39.27,0.083,1.37,4.47,3.263,2D,2,0.2,0,0,1,4.4,3
CILFIO,0.745,0.655,2464.59,0.838,6.96,8.49,1.220,1D,0.6,0.6,2000,0.8,6,8,1.2
CILKIT,1.19,0.414,44.51,0.304,3.31,4.29,1.296,1D,1.1,0.4,0,0.3,3.3,4.2,1.2
CILKOZ,1.443,0.284,6.38,0.158,3.19,4.25,1.332,2D,1.4,0.2,0,0.1,3,4.2,1.3
CILNUI,1.079,0.493,972.16,0.425,4.23,5.64,1.333,1D,1,0.4,800,0.4,4,5.6,1.3
CILPOE,1.031,0.425,78.15,0.411,2.8,4.39,1.568,2D,1,0.4,50,0.4,2.6,4.3,1.5
CILQIZ,1.114,0.450,514.77,0.354,3.79,5.54,1.462,1D,1.1,0.4,500,0.3,3.6,5.3,1.4
CILQUL,0.968,0.529,707.2,0.52,3.45,5.03,1.458,1D,0.8,0.5,600,0.5,3.3,5,1.4
CILRAS,0.948,0.517,1896.66,0.522,5.2,6.2,1.192,1D,0.8,0.5,1500,0.5,5,6,1.1
CILREW,0.794,0.616,1865.69,0.742,6.52,7.23,1.109,1D,0.6,0.6,1500,0.6,6,7,1.1
CILTAV,1.157,0.361,503.47,0.245,3.74,6.53,1.746,3D,1.1,0.3,500,0.2,3.6,6.5,1.6
CILXED01,1.196,0.409,343.86,0.282,3.18,5.43,1.708,1D,1.1,0.4,300,0.2,3,5.3,1.6
CILXIG,1.271,0.337,109.26,0.248,2.9,4.55,1.569,1D,1.2,0.3,100,0.2,2.6,4.5,1.5
CILXIH01,1.305,0.347,186.9,0.201,3.18,4.8,1.509,1D,1.3,0.3,150,0.2,3,4.8,1.5
CILXIH,1.299,0.359,196.56,0.219,3.07,4.82,1.570,2D,1.2,0.3,150,0.2,3,4.8,1.5
CIMFIQ,1.934,0.109,4.71,0.044,1.97,4.22,2.142,2D,1.8,0.1,0,0,1.8,4.2,2
CIMFOW,1.949,0.109,5.03,0.041,1.83,4.22,2.306,2D,1.8,0.1,0,0,1.8,4.2,2
CIMTEZ,1.094,0.372,778.33,0.277,5.13,7.75,1.511,1D,1,0.3,600,0.2,5,7,1.5
CINYEF,1.651,0.357,163.44,0.252,3.44,5.02,1.459,2D,1.6,0.3,150,0.2,3.3,5,1.4
CINYIJ,1.635,0.395,269.6,0.265,3.26,5.56,1.706,1D,1.6,0.3,200,0.2,3,5.3,1.6
CINYOP,1.358,0.480,1110.59,0.377,5.55,6.55,1.180,1D,1.3,0.4,1000,0.3,5,6.5,1.1
CINZIK,1.705,0.323,552.98,0.191,8.38,9.04,1.079,1D,1.6,0.3,500,0.1,8,8,1
CINZOQ,1.862,0.278,54.14,0.125,1.94,4.49,2.314,1D,1.8,0.2,50,0.1,1.8,4.4,2
CIPBOU,1.129,0.482,1020.17,0.384,5.5,8.39,1.525,1D,1.1,0.4,1000,0.3,5,8,1.5
CIPLUJ,1.532,0.179,21.67,0.084,1.92,4.87,2.536,1D,1.5,0.1,0,0,1.8,4.8,2.5
CIPMEU,1.596,0.170,23.58,0.076,1.23,4.91,3.992,1D,1.5,0.1,0,0,1,4.8,3
CIQHES,1.244,0.582,405.07,0.373,3.49,5.1,1.461,1D,1.2,0.5,400,0.3,3.3,5,1.4
CIQPID,1.188,0.263,141.12,0.157,3.26,4.94,1.515,1D,1.1,0.2,100,0.1,3,4.8,1.5
CIQVIK,1.026,0.400,238.67,0.3,2.78,4.98,1.791,2D,1,0.3,200,0.3,2.6,4.8,1.6
CIRSUR,1.584,0.337,137.24,0.188,3.17,4.48,1.413,1D,1.5,0.3,100,0.1,3,4.4,1.4
CIRTUT,1.967,0.394,316.91,0.139,5.19,6.06,1.168,1D,1.8,0.3,300,0.1,5,6,1.1
CIRVUW,1.324,0.198,52.38,0.104,1.2,4.8,4.000,1D,1.3,0.1,50,0.1,1,4.8,4
CIRWAD,1.324,0.199,53.18,0.108,1.21,4.82,3.983,1D,1.3,0.1,50,0.1,1,4.8,3
CISMOH,0.792,0.563,2226.34,0.638,4.52,6.03,1.334,1D,0.6,0.5,2000,0.6,4.5,6,1.3
CISVEH,1.511,0.437,551.14,0.249,3.9,8.33,2.136,1D,1.5,0.4,500,0.2,3.8,8,2
CISXEJ,1.173,0.295,353.86,0.199,4.83,8.23,1.704,1D,1.1,0.2,300,0.1,4.5,8,1.6
CITGET,0.776,0.580,2220.99,0.697,7.47,8.63,1.155,1D,0.6,0.5,2000,0.6,6,8,1.1
CITGOD,0.905,0.567,1761.03,0.591,8.29,8.98,1.083,1D,0.8,0.5,1500,0.5,8,8,1
CITHOD,0.98,0.569,1998.12,0.553,5.81,6.45,1.110,2D,0.8,0.5,1500,0.5,5,6,1.1
CITJEV,1.979,0.498,490.13,0.252,4.16,5.7,1.370,1D,1.8,0.4,400,0.2,4,5.6,1.3
CITJOH,1.878,0.308,623.57,0.157,4.75,5.67,1.194,1D,1.8,0.3,600,0.1,4.5,5.6,1.1
CITNAW,1.635,0.086,42.51,0.041,3.69,4.67,1.266,1D,1.6,0.0,0,0,3.6,4.6,1.2
CITNEA,1.304,0.228,166.92,0.15,3.32,4.56,1.373,1D,1.3,0.2,150,0.1,3.3,4.5,1.3
CITNIE,1.009,0.413,139.27,0.329,3,4.71,1.570,1D,1,0.4,100,0.3,3,4.6,1.5
CITTUV,1.19,0.264,35.81,0.173,2.16,4.32,2.000,1D,1.1,0.2,0,0.1,1.8,4.3,2
CITVUX,1.684,0.258,161.02,0.109,4.12,5.21,1.265,1D,1.6,0.2,150,0.1,4,5,1.2
CITWEK,0.991,0.564,1761.65,0.538,7.32,7.76,1.060,1D,0.8,0.5,1500,0.5,6,7,1
CITXUZ,1.055,0.604,915.88,0.495,4.38,6.11,1.395,2D,1,0.6,800,0.4,4,6,1.3
CITYUB,1.068,0.554,1518.99,0.478,6.96,8.69,1.249,1D,1,0.5,1500,0.4,6,8,1.2
CITZAH,1.323,0.415,535.34,0.27,3.08,7.42,2.409,2D,1.3,0.4,500,0.2,3,7,2
CITZIP,1.426,0.494,718.01,0.288,5.47,6.68,1.221,1D,1.4,0.4,600,0.2,5,6.5,1.2
CIVBUF,0.7,0.670,3308.58,1.012,6.43,7.85,1.221,2D,0.6,0.6,3000,1,6,7,1.2
CIVCAM,0.985,0.527,1394.01,0.568,4.4,6.43,1.461,1D,0.8,0.5,1250,0.5,4,6,1.4
CIVDAO,1.182,0.210,1.33,0.118,2.06,4.11,1.995,1D,1.1,0.2,0,0.1,1.8,4,1.8
CIVMEB,1.067,0.422,721.89,0.318,5.19,6.34,1.222,1D,1,0.4,600,0.3,5,6,1.2
CIVVOT,1.74,0.096,21.13,0.045,1.1,4.41,4.009,2D,1.6,0.0,0,0,1,4.4,4
CIWYUE,1.323,0.161,0.78,0.081,2.56,4.02,1.570,3D,1.3,0.1,0,0,2.2,4,1.5
CIWZAL,1.263,0.178,1.18,0.105,2.62,4.11,1.569,3D,1.2,0.1,0,0.1,2.6,4,1.5
CIXCAO,1.206,0.617,1022.99,0.455,7.15,8.09,1.131,1D,1.2,0.6,1000,0.4,6,8,1.1
CIXDUJ,1.73,0.232,90.78,0.09,3.44,5.39,1.567,1D,1.6,0.2,50,0,3.3,5.3,1.5
CIXSUY,1.563,0.453,107.39,0.218,3.14,4.92,1.567,1D,1.5,0.4,100,0.2,3,4.8,1.5
CIXTIN,1.648,0.503,242.61,0.236,4.1,5.06,1.234,1D,1.6,0.5,200,0.2,4,5,1.2
CIXZIS,1.471,0.154,39.09,0.08,2.99,4.37,1.462,1D,1.4,0.1,0,0,2.6,4.3,1.4
CIYTIQ,2.34,0.134,32.01,0.055,1.87,4.74,2.535,2D,2,0.1,0,0,1.8,4.6,2.5
CIYZUG,1.41,0.137,0.04,0.063,3.24,4,1.235,1D,1.4,0.1,0,0,3,4,1.2
CIYZUH,1.19,0.385,489.43,0.284,3.69,5.58,1.512,3D,1.1,0.3,400,0.2,3.6,5.3,1.5
CIZBAQ,1.194,0.388,485.99,0.281,3.81,5.57,1.462,2D,1.1,0.3,400,0.2,3.8,5.3,1.4
CIZBEU,1.165,0.392,539.83,0.289,3.74,5.76,1.540,1D,1.1,0.3,500,0.2,3.6,5.6,1.5
CIZBIY,1.165,0.389,510.1,0.294,3.68,5.77,1.568,1D,1.1,0.3,500,0.2,3.6,5.6,1.5
CIZTIP,1.701,0.192,0.54,0.076,2.02,4.05,2.005,1D,1.6,0.1,0,0,1.8,4,2
COBFUV,1.114,0.305,188.56,0.208,2.76,4.71,1.707,2D,1.1,0.3,150,0.2,2.6,4.6,1.6
COCDOP,0.667,0.705,2053.84,1.003,6.03,7.04,1.167,1D,0.6,0.7,2000,1,6,7,1.1
COCFUX,1.084,0.443,228.76,0.324,3.25,4.46,1.372,2D,1,0.4,200,0.3,3,4.4,1.3
COCKAJ,2.043,0.134,7.68,0.05,1.63,4.13,2.534,1D,2,0.1,0,0,1.4,4,2.5
COCWAT,1.568,0.249,59.5,0.123,1.17,4.67,3.991,3D,1.5,0.2,50,0.1,1,4.6,3
COCZAW,0.601,0.742,3439.47,1.214,8.58,9.81,1.143,1D,0.6,0.7,3000,1,8,8,1.1
CODGIO,1.09,0.302,97.12,0.196,2.89,4.54,1.571,1D,1,0.3,50,0.1,2.6,4.5,1.5
CODPIX,1.173,0.679,1190.75,0.509,9.92,11.12,1.121,1D,1.1,0.6,1000,0.5,8,10,1.1
CODPOD,1.184,0.694,1194.44,0.508,9.77,11,1.126,1D,1.1,0.6,1000,0.5,8,10,1.1
CODQAQ,1.184,0.694,1193.67,0.509,9.77,11,1.126,1D,1.1,0.6,1000,0.5,8,10,1.1
CODQEU,1.184,0.694,1193.82,0.51,9.77,11,1.126,1D,1.1,0.6,1000,0.5,8,10,1.1
CODWUP,1.306,0.381,570.31,0.264,3.91,7.38,1.887,3D,1.3,0.3,500,0.2,3.8,7,1.8
COFSOH,1.545,0.124,4.11,0.056,1.33,4.34,3.263,1D,1.5,0.1,0,0,1,4.3,3
