Refcode,Density (g/cm3),HVF,Surface area (m2/g),Free volume (cm3/g),PLD (A),LCD (A),LCD/PLD,Porosity,Density [binned] (g/cm3),HVF [binned],Surface area [binned] (m2/g),Free volume [binned] (cm3/g),PLD [binned] (A),LCD [binned] (A),LCD/PLD [binned]
AVINAV,1.232,0.205,99.64,0.126,2.58,4.87,1.888,1D,1.2,0.2,50,0.1,2.2,4.8,1.8
AVIQEC,1.461,0.125,0.36,0.068,1.46,4.13,2.829,1D,1.4,0.1,0,0,1.4,4,2.5
AVOJAW,1.249,0.115,2.46,0.061,1.03,4.1,3.981,1D,1.2,0.1,0,0,1,4,3
AVOSUA,1.22,0.278,354.87,0.201,4.54,5.48,1.207,1D,1.2,0.2,300,0.2,4.5,5.3,1.2
AVOWIT,1.19,0.560,995.15,0.414,6.87,8.86,1.290,1D,1.1,0.5,800,0.4,6,8,1.2
AVOZAO,1.464,0.149,23.73,0.07,1.16,4.65,4.009,3D,1.4,0.1,0,0,1,4.6,4
AVUBIC,0.893,0.528,454.08,0.481,4.06,4.9,1.207,1D,0.8,0.5,400,0.4,4,4.8,1.2
AVUCEA,1.044,0.485,532.96,0.415,3.5,6.11,1.746,3D,1,0.4,500,0.4,3.3,6,1.6
AVUDAX,1.141,0.380,368.95,0.27,3.33,5.44,1.634,3D,1.1,0.3,300,0.2,3.3,5.3,1.6
AVUGAB,1.241,0.212,18.79,0.119,2.22,4.43,1.995,1D,1.2,0.2,0,0.1,2.2,4.4,1.8
AVUWIZ,0.655,0.640,2307.93,0.846,5.86,9.2,1.570,2D,0.6,0.6,2000,0.8,5,8,1.5
AVUXUL,1.454,0.135,13.29,0.08,1.87,4.32,2.310,1D,1.4,0.1,0,0,1.8,4.3,2
AVUYAS,1.5,0.133,10.83,0.074,1.66,4.21,2.536,1D,1.5,0.1,0,0,1.4,4.2,2.5
AVUZAS,0.578,0.706,2908.89,1.157,8.67,9.19,1.060,1D,0,0.7,2000,1,8,8,1
AWAGOV,1.183,0.282,372.27,0.182,3.91,7.59,1.941,1D,1.1,0.2,300,0.1,3.8,7,1.8
AWAKEQ,1.222,0.209,209.86,0.128,3.41,5.35,1.569,1D,1.2,0.2,200,0.1,3.3,5.3,1.5
AWASAU,2.476,0.180,13.49,0.062,3.26,4.35,1.334,1D,2,0.1,0,0,3,4.3,1.3
AWASIC,1.286,0.584,1181.37,0.447,5.83,8.82,1.513,1D,1.2,0.5,1000,0.4,5,8,1.5
AWASOI,2.542,0.086,4.78,0.027,1.39,4.54,3.266,2D,2,0.0,0,0,1,4.5,3
AWEBIO,2.007,0.195,16.32,0.051,2.36,4.72,2.000,1D,2,0.1,0,0,2.2,4.6,2
AWEDOW,0.954,0.490,1039.76,0.413,7.38,8.11,1.099,1D,0.8,0.4,1000,0.4,6,8,1
AWEGEP,2.275,0.312,126.87,0.132,2.92,5.83,1.997,2D,2,0.3,100,0.1,2.6,5.6,1.8
AWELIX,0.902,0.516,1647.18,0.542,7.23,7.73,1.069,1D,0.8,0.5,1500,0.5,6,7,1
AWERIE,1.112,0.581,1250.9,0.468,5.49,6.78,1.235,1D,1.1,0.5,1250,0.4,5,6.5,1.2
AWESAX,0.946,0.397,419.52,0.36,3.33,5.04,1.514,1D,0.8,0.3,400,0.3,3.3,5,1.5
AWESEB,0.962,0.403,437.02,0.357,3.34,5.05,1.512,1D,0.8,0.4,400,0.3,3.3,5,1.5
AWESUR,0.995,0.395,768.48,0.324,5.74,6.19,1.078,1D,0.8,0.3,600,0.3,5,6,1
AWEZOS01,1.534,0.121,45.34,0.052,3.02,5.41,1.791,1D,1.5,0.1,0,0,3,5.3,1.6
