,Refcode,Year,Density (g/cm3),"Helium void fraction, F_He,T (-)","Surface area, S_AC,T (m2/g)","Surface area, S_AC,A (m2/g)","Pore volume, V_PO,T (cm3/g)","Pore volume, V_PO,A (cm3/g)",Pore limiting diameter (A),Large cavity diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3).1,"Helium void fraction, F_He,T (-).1","Surface area, S_AC,T (m2/g).1","Surface area, S_AC,A (m2/g).1","Pore volume, V_PO,T (cm3/g).1","Pore volume, V_PO,A (cm3/g).1",Pore limiting diameter (A).1,Large cavity diameter (A).1,Ratio LCD/PLD (-).1,URL
0,GLYZNS10,1971,1.366,0.217916,73.87,0,0.145,0,3.02,4.41,1.460264901,1D,[1.3 - 1.4),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.4-4.5),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GLYZNS10
1,MGCITD,1971,1.253,0.314407,113.33,105.68,0.227,0.229,3.49,4.53,1.297994269,1D,[1.2 - 1.3),[0.3 - 0.4),[100 - 150),[100-200),[0.2 - 0.3),[0.2-0.3),[3.3-3.6),[4.5-4.6),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MGCITD
2,MNCITD,1973,1.366,0.302789,113.92,111.46,0.208,0.21,3.5,4.66,1.331428571,1D,[1.3 - 1.4),[0.3 - 0.4),[100 - 150),[100-200),[0.2 - 0.3),[0.2-0.3),[3.3-3.6),[4.6-4.8),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MNCITD
3,NICHOC10,1973,0.983,0.509843,997.71,1003.1,0.536,0.533,4.54,6.05,1.332599119,1D,[0.8 - 1.0),[0.5 - 0.6),[800 - 1000),[1000-1500),[0.5 - 0.6),[0.5-0.6),[4.5-5.0),[6.0-6.5),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NICHOC10
4,ETUZNT,1975,0.94,0.571049,1033.27,1018.93,0.556,0.556,3.94,5.11,1.296954315,2D,[0.8 - 1.0),[0.5 - 0.6),[1000 - 1250),[1000-1500),[0.5 - 0.6),[0.5-0.6),[3.8-4.0),[5.0-5.3),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ETUZNT
5,PAZHGN,1975,6.041,0.601834,24.41,0,0.07,0,2.77,4.35,1.570397112,1D,[2.0 - 7.0],[0.6 - 0.7),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.6-3.0),[4.3-4.4),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PAZHGN
6,PYRCOC01,1975,0.869,0.663655,2269.77,2245,0.708,0.712,9.86,9.98,1.012170385,1D,[0.8 - 1.0),[0.6 - 0.7),[2000 - 3000),[2000-3000),[0.6 - 0.8),[0.6-0.8),[10.0-72.0],[8.0-10.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PYRCOC01
7,ACUFUR,1976,1.144,0.330637,100.4,0,0.344,0,2.92,4.27,1.462328767,1D,[1.1 - 1.2),[0.3 - 0.4),[100 - 150),[0.0-0.05),[0.3 - 0.4),[0.0-0.01),[2.6-3.0),[4.2-4.3),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ACUFUR
8,DODNCU,1976,0.791,0.399747,511.5,0,0.408,0,2.59,5.75,2.22007722,2D,[0.6 - 0.8),[0.3 - 0.4),[500 - 600),[0.0-0.05),[0.4 - 0.5),[0.0-0.01),[2.2-2.6),[5.6-6.0),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DODNCU
9,IMZYCO,1976,1.51,0.066196,4.31,0,0.031,0,1.27,4.14,3.25984252,3D,[1.5 - 1.6),[0.0 - 0.1),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.0-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=IMZYCO
10,CUGMPP,1977,1.719,0.06653,8.7,0,0.025,0,1.61,4.57,2.838509317,1D,[1.6 - 1.8),[0.0 - 0.1),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.5-4.6),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CUGMPP
11,DTHHGN10,1977,2.892,0.39935,21.27,0,0.162,0,2.39,4.27,1.786610879,2D,[2.0 - 7.0],[0.3 - 0.4),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.2-2.6),[4.2-4.3),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DTHHGN10
12,PYDSCU10,1977,0.681,0.686688,2969.21,2983.57,0.921,0.912,6.31,7.61,1.206022187,1D,[0.6 - 0.8),[0.6 - 0.7),[2000 - 3000),[2000-3000),[0.8 - 1.0),[0.8-1.0),[6.0-8.0),[7.0-8.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PYDSCU10
13,BCETPN,1978,0.931,0.477035,1188.05,1162.17,0.498,0.491,6.64,7.16,1.078313253,1D,[0.8 - 1.0),[0.4 - 0.5),[1000 - 1250),[1000-1500),[0.4 - 0.5),[0.4-0.5),[6.0-8.0),[7.0-8.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BCETPN
14,ETDSCU,1978,1.03,0.464079,1207.12,1190.25,0.455,0.453,4.64,5.72,1.232758621,1D,[1.0 - 1.1),[0.4 - 0.5),[1000 - 1250),[1000-1500),[0.4 - 0.5),[0.4-0.5),[4.5-5.0),[5.6-6.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ETDSCU
15,MTACHH,1979,1.13,0.533456,1523.42,1518.29,0.487,0.482,7.02,8.11,1.155270655,1D,[1.1 - 1.2),[0.5 - 0.6),[1500 - 2000),[1500-2000),[0.4 - 0.5),[0.4-0.5),[6.0-8.0),[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MTACHH
16,TCPPHG01,1980,0.908,0.601482,1695.89,1717.15,0.635,0.631,7.86,9.71,1.235368957,1D,[0.8 - 1.0),[0.6 - 0.7),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[6.0-8.0),[8.0-10.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TCPPHG01
17,ETCSBA,1981,1.537,0.30871,151.54,0,0.152,0,2.07,4.77,2.304347826,1D,[1.5 - 1.6),[0.3 - 0.4),[150 - 200),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.6-4.8),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ETCSBA
18,ETCSBC,1981,1.708,0.145943,50.82,0,0.066,0,1.56,5.1,3.269230769,1D,[1.6 - 1.8),[0.1 - 0.2),[50 - 100),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.4-1.6),[5.0-5.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ETCSBC
19,SACNID,1981,0.794,0.412891,1022.3,988.34,0.567,0.55,4.21,6.48,1.539192399,1D,[0.6 - 0.8),[0.4 - 0.5),[1000 - 1250),[800-1000),[0.5 - 0.6),[0.5-0.6),[4.0-4.5),[6.0-6.5),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SACNID
20,ALTRMN,1982,1.02,0.296251,10.06,0,0.271,0,3.07,4.21,1.371335505,1D,[1.0 - 1.1),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[3.0-3.3),[4.2-4.3),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ALTRMN
21,BADLOH,1982,1.653,0.256002,83.57,0,0.119,0,1.58,5.17,3.272151899,1D,[1.6 - 1.8),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.4-1.6),[5.0-5.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BADLOH
22,BELJIL,1982,1.287,0.296872,445.78,437.96,0.188,0.184,4.81,7.03,1.461538462,1D,[1.2 - 1.3),[0.2 - 0.3),[400 - 500),[400-500),[0.1 - 0.2),[0.1-0.2),[4.5-5.0),[7.0-8.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BELJIL
23,BOJSUO,1983,1.001,0.720343,3071.4,3044.65,0.75,0.753,6.49,7.34,1.130970724,1D,[1.0 - 1.1),[0.7 - 0.8),[3000 - 10250],[5000-10500],[0.6 - 0.8),[0.6-0.8),[6.0-8.0),[7.0-8.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BOJSUO
24,BUBGAG,1983,1.08,0.46886,241.49,0,0.358,0,2.93,4.59,1.566552901,1D,[1.0 - 1.1),[0.4 - 0.5),[200 - 300),[0.0-0.05),[0.3 - 0.4),[0.0-0.01),[2.6-3.0),[4.5-4.6),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BUBGAG
25,BUGSOL,1983,0.905,0.583029,1672.69,1646.12,0.597,0.596,8.17,8.74,1.069767442,1D,[0.8 - 1.0),[0.5 - 0.6),[1500 - 2000),[1500-2000),[0.5 - 0.6),[0.5-0.6),[10.0-72.0],[8.0-10.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BUGSOL
26,CAHMAZ,1984,2.284,0.387505,90.27,77.33,0.156,0.105,3.73,4.85,1.300268097,1D,[2.0 - 7.0],[0.3 - 0.4),[50 - 100),[50-100),[0.1 - 0.2),[0.1-0.2),[3.6-3.8),[4.8-5.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CAHMAZ
27,CEJPEM,1984,1.35,0.18737,13.14,0,0.084,0,1.5,4.24,2.826666667,1D,[1.3 - 1.4),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.4-1.6),[4.2-4.3),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CEJPEM
28,CIXZIS,1985,1.471,0.153549,39.09,0,0.08,0,2.99,4.37,1.461538462,1D,[1.4 - 1.5),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.6-3.0),[4.3-4.4),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CIXZIS
29,COKDUB,1985,0.801,0.691386,2609.07,2588.24,0.92,0.918,7.6,8.35,1.098684211,1D,[0.8 - 1.0),[0.6 - 0.7),[2000 - 3000),[2000-3000),[0.8 - 1.0),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=COKDUB
30,COLVEE,1985,1.352,0.234917,214.21,205.36,0.138,0.138,4.5,4.72,1.048888889,1D,[1.3 - 1.4),[0.2 - 0.3),[200 - 300),[200-300),[0.1 - 0.2),[0.1-0.2),[4.5-5.0),[4.6-4.8),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=COLVEE
31,CORMIF,1985,0.88,0.586693,1680.25,1596.07,0.604,0.589,5.78,7.4,1.280276817,1D,[0.8 - 1.0),[0.5 - 0.6),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.5-0.6),[5.0-6.0),[7.0-8.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CORMIF
32,CUHBOW,1985,0.705,0.519856,1458.1,1439.16,0.712,0.715,10.75,11.51,1.070697674,1D,[0.6 - 0.8),[0.5 - 0.6),[1250 - 1500),[1000-1500),[0.6 - 0.8),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CUHBOW
33,DAHWUE,1986,1.065,0.580952,1524.41,1533.39,0.561,0.556,9.68,10.44,1.078512397,1D,[1.0 - 1.1),[0.5 - 0.6),[1500 - 2000),[1500-2000),[0.5 - 0.6),[0.5-0.6),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DAHWUE
34,DEHFUR,1986,1.127,0.414403,566.28,0,0.354,0,2.73,6.06,2.21978022,3D,[1.1 - 1.2),[0.4 - 0.5),[500 - 600),[0.0-0.05),[0.3 - 0.4),[0.0-0.01),[2.6-3.0),[6.0-6.5),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DEHFUR
35,DELTUJ,1986,1.164,0.191449,10.13,0,0.111,0,2.55,4.16,1.631372549,2D,[1.1 - 1.2),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.2-2.6),[4.0-4.2),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DELTUJ
36,DEWDOY,1986,1.736,0.155791,14.07,0,0.088,0,2.18,4.37,2.004587156,2D,[1.6 - 1.8),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.3-4.4),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DEWDOY
37,DISTUU,1986,0.817,0.570046,1005.78,1015.84,0.619,0.613,3.98,5.63,1.414572864,1D,[0.8 - 1.0),[0.5 - 0.6),[1000 - 1250),[1000-1500),[0.6 - 0.8),[0.6-0.8),[3.8-4.0),[5.6-6.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DISTUU
38,DUBFEL,1987,0.995,0.548646,584.5,577.48,0.492,0.488,3.53,5.54,1.569405099,1D,[0.8 - 1.0),[0.5 - 0.6),[500 - 600),[500-600),[0.4 - 0.5),[0.4-0.5),[3.3-3.6),[5.3-5.6),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DUBFEL
39,DUDCEK01,1987,1.274,0.221604,5.49,0,0.144,0,3.02,4.15,1.374172185,1D,[1.2 - 1.3),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.0-4.2),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DUDCEK01
40,DUYWAV,1987,1.389,0.24088,59.55,0,0.137,0,2.81,4.8,1.708185053,1D,[1.3 - 1.4),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.8-5.0),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DUYWAV
41,FAFMAA,1987,1.941,0.1856,32.34,0,0.077,0,0.87,4.92,5.655172414,NON-POROUS,[1.8 - 2.0),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),0.87,[4.8-5.0),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FAFMAA
42,FAFMEE,1987,1.859,0.180521,34.52,0,0.08,0,0.87,4.94,5.67816092,NON-POROUS,[1.8 - 2.0),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),0.87,[4.8-5.0),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FAFMEE
43,FAFVIR,1987,1.58,0.269606,8.56,0,0.16,0,3.27,4.14,1.266055046,2D,[1.5 - 1.6),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.0-4.2),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FAFVIR
44,FAGZAO,1987,0.755,0.648546,1950.35,1999.25,0.826,0.82,9.58,10.11,1.055323591,1D,[0.6 - 0.8),[0.6 - 0.7),[1500 - 2000),[1500-2000),[0.8 - 1.0),[0.8-1.0),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FAGZAO
45,FAGZES,1987,0.898,0.658293,1665.37,1654.53,0.69,0.695,9.88,10.33,1.045546559,1D,[0.8 - 1.0),[0.6 - 0.7),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FAGZES
46,FAJZIZ,1987,0.762,0.598823,2181.07,2162.42,0.708,0.706,7.82,8.52,1.089514066,1D,[0.6 - 0.8),[0.5 - 0.6),[2000 - 3000),[2000-3000),[0.6 - 0.8),[0.6-0.8),[6.0-8.0),[8.0-10.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FAJZIZ
47,FAVCAG,1987,0.733,0.65217,2553.2,2484.47,0.802,0.788,6.01,8.19,1.362728785,1D,[0.6 - 0.8),[0.6 - 0.7),[2000 - 3000),[2000-3000),[0.8 - 1.0),[0.6-0.8),[6.0-8.0),[8.0-10.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FAVCAG
48,FEFNAF,1987,2.212,0.214941,16.68,0,0.096,0,2.32,4.37,1.88362069,1D,[2.0 - 7.0],[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.2-2.6),[4.3-4.4),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FEFNAF
49,FEJFEF,1987,0.997,0.549615,1334.63,1325.54,0.528,0.521,8.14,9.07,1.114250614,1D,[0.8 - 1.0),[0.5 - 0.6),[1250 - 1500),[1000-1500),[0.5 - 0.6),[0.5-0.6),[10.0-72.0],[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FEJFEF
50,FEWNEA,1987,1.16,0.243094,0.08,0.16,0.175,0.178,2.84,4.02,1.415492958,1D,[1.1 - 1.2),[0.2 - 0.3),[0 - 50),[0.05-50),[0.1 - 0.2),[0.1-0.2),[2.6-3.0),[4.0-4.2),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FEWNEA
51,FUVCII,1988,0.987,0.372647,10.46,10.54,0.338,0.335,3.61,4.17,1.155124654,1D,[0.8 - 1.0),[0.3 - 0.4),[0 - 50),[0.05-50),[0.3 - 0.4),[0.3-0.4),[3.6-3.8),[4.0-4.2),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=FUVCII
52,GADFUM,1988,1.543,0.377536,394.21,391.98,0.253,0.248,3.93,5.84,1.486005089,1D,[1.5 - 1.6),[0.3 - 0.4),[300 - 400),[300-400),[0.2 - 0.3),[0.2-0.3),[3.8-4.0),[5.6-6.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GADFUM
53,COKDUB01,1989,1.602,0.284958,42.65,0,0.216,0,3.01,4.56,1.514950166,1D,[1.6 - 1.8),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[3.0-3.3),[4.5-4.6),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=COKDUB01
54,GENZUU,1989,1.18,0.188495,28.43,0,0.122,0,1.33,4.33,3.255639098,2D,[1.1 - 1.2),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.0-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GENZUU
55,GEWMIE,1989,0.418,0.733191,2734.23,2712.61,1.631,1.635,13.85,14.42,1.041155235,1D,[0.0 - 0.6),[0.7 - 0.8),[2000 - 3000),[2000-3000),[1.5 - 2.0),[1.5-2.0),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GEWMIE
56,GEZYOZ,1989,1.31,0.14444,9.63,0,0.092,0,1.31,4.28,3.267175573,3D,[1.3 - 1.4),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.2-4.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GEZYOZ
57,GIHVOI,1989,1.528,0.301591,24.77,0,0.156,0,2.04,4.36,2.137254902,1D,[1.5 - 1.6),[0.3 - 0.4),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.3-4.4),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GIHVOI
58,GIJDEI,1989,1.585,0.239046,66.46,0,0.117,0,1.74,4.41,2.534482759,1D,[1.5 - 1.6),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.4-4.5),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GIJDEI
59,GIJDIM,1989,2.15,0.118892,20.93,0,0.042,0,1.69,4.77,2.822485207,3D,[2.0 - 7.0],[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.6-4.8),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=GIJDIM
60,SADPIW,1989,1.941,0.078942,27.38,0,0.038,0,1.16,4.65,4.00862069,2D,[1.8 - 2.0),[0.0 - 0.1),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.6-4.8),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SADPIW
61,SAJTOM,1989,0.606,0.580501,2427.58,2351.02,0.878,0.874,6.97,8.09,1.160688666,1D,[0.6 - 0.8),[0.5 - 0.6),[2000 - 3000),[2000-3000),[0.8 - 1.0),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SAJTOM
62,SANHIY,1989,1.265,0.31295,92.67,0,0.192,0,3.03,4.59,1.514851485,1D,[1.2 - 1.3),[0.3 - 0.4),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.5-4.6),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SANHIY
63,CORMIF10,1990,0.88,0.588084,1687.07,1612.73,0.601,0.593,5.77,7.39,1.280762565,1D,[0.8 - 1.0),[0.5 - 0.6),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.5-0.6),[5.0-6.0),[7.0-8.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CORMIF10
64,JALTUL,1990,0.52,0.529585,17.87,0,0.931,0,3.1,4.13,1.332258065,3D,[0.0 - 0.6),[0.5 - 0.6),[0 - 50),[0.0-0.05),[0.8 - 1.0),[0.0-0.01),[3.0-3.3),[4.0-4.2),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JALTUL
65,KAMGEK,1990,1.714,0.081067,3.32,0,0.03,0,1.48,4.19,2.831081081,1D,[1.6 - 1.8),[0.0 - 0.1),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.4-1.6),[4.0-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KAMGEK
66,KAWFIX,1990,0.824,0.422146,1427.73,1423.84,0.516,0.517,5.65,6.21,1.099115044,1D,[0.8 - 1.0),[0.4 - 0.5),[1250 - 1500),[1000-1500),[0.5 - 0.6),[0.5-0.6),[5.0-6.0),[6.0-6.5),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KAWFIX
67,KEBRAK,1990,2.218,0.123559,25.18,0,0.042,0,1.74,4.92,2.827586207,3D,[2.0 - 7.0],[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.8-5.0),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KEBRAK
68,KEBREO,1990,1.69,0.229365,76.58,0,0.108,0,1.82,4.61,2.532967033,1D,[1.6 - 1.8),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.6-4.8),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KEBREO
69,SAWVOB,1990,0.979,0.557173,1950.21,1936.63,0.524,0.525,7.07,7.43,1.050919378,1D,[0.8 - 1.0),[0.5 - 0.6),[1500 - 2000),[1500-2000),[0.5 - 0.6),[0.5-0.6),[6.0-8.0),[7.0-8.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SAWVOB
70,SEDHAK,1990,1.308,0.137643,72.67,0,0.075,0,1.21,4.86,4.016528926,3D,[1.3 - 1.4),[0.1 - 0.2),[50 - 100),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.8-5.0),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SEDHAK
71,VANMAY,1990,0.769,0.7559,2327.15,2330.45,0.919,0.921,4.75,6.16,1.296842105,1D,[0.6 - 0.8),[0.7 - 0.8),[2000 - 3000),[2000-3000),[0.8 - 1.0),[0.8-1.0),[4.5-5.0),[6.0-6.5),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VANMAY
72,VEHLAV,1990,1.172,0.364099,171.19,0,0.249,0,3.31,4.68,1.413897281,3D,[1.1 - 1.2),[0.3 - 0.4),[150 - 200),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[3.3-3.6),[4.6-4.8),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VEHLAV
73,JEZRUB,1991,1.381,0.15727,2.62,0,0.075,0,1.67,4.22,2.526946108,1D,[1.3 - 1.4),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.2-4.3),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=JEZRUB
74,KEXFAU,1991,0.912,0.49645,131.66,133.97,0.442,0.434,3.46,4.27,1.234104046,1D,[0.8 - 1.0),[0.4 - 0.5),[100 - 150),[100-200),[0.4 - 0.5),[0.4-0.5),[3.3-3.6),[4.2-4.3),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KEXFAU
75,KIDGOT,1991,0.773,0.619409,1906.6,1878.72,0.728,0.732,4.52,7.24,1.601769912,1D,[0.6 - 0.8),[0.6 - 0.7),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[4.5-5.0),[7.0-8.0),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KIDGOT
76,KIHYIJ,1991,1.419,0.17574,2.13,0,0.105,0,1.64,4.14,2.524390244,2D,[1.4 - 1.5),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.0-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KIHYIJ
77,KIWFOL,1991,1.472,0.168927,3.52,0,0.067,0,2.77,4.04,1.458483755,1D,[1.4 - 1.5),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.6-3.0),[4.0-4.2),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KIWFOL
