,Refcode,Year,Density (g/cm3),"Helium void fraction, F_He,T (-)","Surface area, S_AC,T (m2/g)","Surface area, S_AC,A (m2/g)","Pore volume, V_PO,T (cm3/g)","Pore volume, V_PO,A (cm3/g)",Pore limiting diameter (A),Large cavity diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3).1,"Helium void fraction, F_He,T (-).1","Surface area, S_AC,T (m2/g).1","Surface area, S_AC,A (m2/g).1","Pore volume, V_PO,T (cm3/g).1","Pore volume, V_PO,A (cm3/g).1",Pore limiting diameter (A).1,Large cavity diameter (A).1,Ratio LCD/PLD (-).1,URL
2980,SIQDUS,2008,1.154,0.349135,190.73,194.91,0.241,0.242,3.74,4.98,1.331550802,2D,[1.1 - 1.2),[0.3 - 0.4),[150 - 200),[100-200),[0.2 - 0.3),[0.2-0.3),[3.6-3.8),[4.8-5.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SIQDUS
2981,SIQFAA,2008,1.149,0.354296,158.5,154.82,0.243,0.24,3.72,4.83,1.298387097,2D,[1.1 - 1.2),[0.3 - 0.4),[150 - 200),[100-200),[0.2 - 0.3),[0.2-0.3),[3.6-3.8),[4.8-5.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SIQFAA
2982,SIQFOO,2008,1.257,0.269232,177.51,0,0.152,0,3.11,5.57,1.790996785,1D,[1.2 - 1.3),[0.2 - 0.3),[150 - 200),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[5.3-5.6),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SIQFOO
2983,SIQSAN,2008,1.576,0.197598,27.46,0,0.094,0,1.14,4.55,3.99122807,3D,[1.5 - 1.6),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.5-4.6),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SIQSAN
2984,SIRPOZ,2008,0.822,0.471037,75.79,72.91,0.539,0.534,3.31,4.18,1.262839879,1D,[0.8 - 1.0),[0.4 - 0.5),[50 - 100),[50-100),[0.5 - 0.6),[0.5-0.6),[3.3-3.6),[4.0-4.2),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SIRPOZ
2985,SISWUN,2008,1.294,0.164308,44.93,0,0.099,0,1.13,4.52,4,3D,[1.2 - 1.3),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.5-4.6),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SISWUN
2986,SITQOC,2008,1.863,0.472095,620.27,613.83,0.244,0.244,4.46,7.78,1.744394619,1D,[1.8 - 2.0),[0.4 - 0.5),[600 - 800),[600-800),[0.2 - 0.3),[0.2-0.3),[4.0-4.5),[7.0-8.0),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SITQOC
2987,SITWIC,2008,1.543,0.193616,28.33,29.62,0.12,0.121,3.87,4.47,1.15503876,1D,[1.5 - 1.6),[0.1 - 0.2),[0 - 50),[0.05-50),[0.1 - 0.2),[0.1-0.2),[3.8-4.0),[4.4-4.5),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SITWIC
2988,SIWGUB,2008,1.492,0.258594,76.86,0,0.133,0,3.12,4.55,1.458333333,1D,[1.4 - 1.5),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.5-4.6),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SIWGUB
2989,SIWZOO,2008,1.566,0.284009,310.78,315.37,0.174,0.175,3.58,5.84,1.631284916,1D,[1.5 - 1.6),[0.2 - 0.3),[300 - 400),[300-400),[0.1 - 0.2),[0.1-0.2),[3.3-3.6),[5.6-6.0),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SIWZOO
