DDEC Code,Ref. code,Code,Uptake @ 1bar (mol/kg),Uptake @ 1bar (cm³(STP)/cm³),Uptake @ 5bar (mol/kg),Uptake @ 5bar (cm³(STP)/cm³),Uptake @ 10bar (mol/kg),Uptake @ 10bar (cm³(STP)/cm³),Uptake @ 20bar (mol/kg),Uptake @ 20bar (cm³(STP)/cm³),Uptake @ 30bar (mol/kg),Uptake @ 30bar (cm³(STP)/cm³),Uptake @ 50bar (mol/kg),Uptake @ 50bar (cm³(STP)/cm³),Uptake @ 80bar (mol/kg),Uptake @ 80bar (cm³(STP)/cm³),Uptake @ 100bar (mol/kg),Uptake @ 100bar (cm³(STP)/cm³),Uptake @ 140bar (mol/kg),Uptake @ 140bar (cm³(STP)/cm³),Uptake @ 200bar (mol/kg),Uptake @ 200bar (cm³(STP)/cm³),QST @ 5bar (kJ/mol),QST @ 140bar (kJ/mol),Deliverable @ 30bar (mol/kg),Deliverable @ 30bar (cm³(STP)/cm³),Deliverable @ 80bar (mol/kg),Deliverable @ 80bar (cm³(STP)/cm³),Deliverable @140bar (mol/kg),Deliverable @ 140bar (cm³(STP)/cm³),Deliverable @ 200bar (mol/kg),Deliverable @ 200bar (cm³(STP)/cm³),Density (g/cm³),PLD (Å),LCD (Å),VSA (m²/cm³),GSA (m²/g),VF
HURGEH,HURGEH,core-mof-ddec-1007,0.275331946,6.291623525,1.229366024,28.09230214,2.245535963,51.31285028,3.80031066,86.84108163,4.878115301,111.4700473,6.308203254,144.1490559,7.582744046,173.2736488,8.185097768,187.0380627,8.985119484,205.3193974,9.854442064,225.1843295,12.74785,14.93665,3.648749277,83.37774516,6.353378022,145.1813467,7.75575346,177.2270953,8.62507604,197.0920273,1.0195,5.2,7.8,1844.1,1808.82,0.61
HURGUX01,HURGUX01,core-mof-ddec-1008,0.643733448,19.13054178,1.688650242,50.18349459,2.182785859,64.86827148,2.639758907,78.44864706,2.874600176,85.42768584,3.160212152,93.91553412,3.424128133,101.7586184,3.518394757,104.5600444,3.675701421,109.2349012,3.823770935,113.6352474,20.76961,20.26906,1.185949934,35.24419125,1.735477891,51.57512381,1.987051179,59.05140661,2.135120693,63.4517528,1.32588,3.8,5.0,394.92,297.854,0.23
HURGUX,HURGUX,core-mof-ddec-1009,0.651258883,19.34497491,1.710798619,50.81751239,2.197634992,65.27848582,2.662622537,79.09046234,2.892133034,85.90783545,3.182293283,94.52674704,3.437186077,102.0980752,3.518174679,104.5037582,3.694542519,109.7425834,3.838259385,114.011545,20.64691,19.75258,1.181334415,35.09032306,1.726387458,51.28056281,1.9837439,58.92507101,2.127460765,63.19403263,1.32525,3.8,5.0,407.75,307.677,0.24
AVELOD,AVELOD,core-mof-ddec-101,0.421968045,8.656213647,1.819239591,37.31971355,3.165351831,64.93373615,4.895454616,100.4249055,5.980061961,122.6744407,7.290863106,149.5640948,8.328460972,170.8492819,8.804620891,180.6171827,9.45350567,193.9283453,10.07904062,206.7605118,15.03849,16.43549,4.16082237,85.35472715,6.509221381,133.5295683,7.634266079,156.6086317,8.259801033,169.4407983,0.915242,5.0,8.1,1517.32,1657.84,0.47
HURNOX,HURNOX,core-mof-ddec-1010,0.020794523,0.747328198,0.099643543,3.581059737,0.214479681,7.708121613,0.402174927,14.45364537,0.591837315,21.26986564,0.832141684,29.90609304,1.269425662,45.62151217,1.460578721,52.49130523,1.847343239,66.39112047,2.181376114,78.39582881,19.73011,20.64708,0.492193772,17.6888059,1.169782119,42.04045243,1.747699696,62.81006073,2.08173257,74.81476908,1.60341,2.5,3.2,0,0,0.08
HURQUG,HURQUG,core-mof-ddec-1011,0.209232134,7.846163738,0.747666136,28.03733262,1.180423844,44.2656613,1.682888638,63.10799198,2.032403454,76.21472864,2.495235596,93.57084266,2.940905445,110.2833741,3.164574231,118.6709095,3.494926412,131.0590511,3.842302294,144.0855781,16.28473,17.01785,1.284737318,48.17739602,2.193239309,82.24604148,2.747260276,103.0217185,3.094636158,116.0482455,1.67305,3.2,6.3,0,0,0.29
HUSQES,HUSQES,core-mof-ddec-1012,0.46372789,14.60012722,1.797546987,56.59442796,2.843424697,89.52310866,3.953670339,124.4783657,4.546572504,143.1454488,5.189937059,163.4013026,5.664900672,178.3551781,5.910872503,186.099418,6.172570973,194.3387994,6.445538889,202.9329909,20.20856,20.80824,2.749025517,86.55102084,3.867353685,121.7607501,4.375023986,137.7443714,4.647991903,146.338563,1.4047,3.2,3.9,0,0,0.32
HUTTIA,HUTTIA,core-mof-ddec-1013,0.551472232,15.94762548,1.400113532,40.48886774,1.866009989,53.96178944,2.335829689,67.54816461,2.57754949,74.53828421,2.894685869,83.70932112,3.154361201,91.21868372,3.285082155,94.99890817,3.514380205,101.6298122,3.70121359,107.0327113,19.2636,18.47868,1.177435958,34.04941647,1.754247669,50.72981598,2.114266673,61.14094446,2.301100057,66.54384356,1.29015,3.0,4.9,0,0,0.28
HUTZAX01,HUTZAX01,core-mof-ddec-1014,0.343769377,10.91405733,0.949246607,30.13686672,1.261393623,40.04697117,1.545701216,49.07322416,1.676555143,53.22760019,1.842002504,58.48025535,1.96697762,62.44798974,2.025339646,64.30087874,2.097923673,66.60529062,2.184188459,69.34404191,19.66914,18.27784,0.727308536,23.09073347,1.017731013,32.31112302,1.148677066,36.4684239,1.234941852,39.20717518,1.41637,3.9,5.2,283.381,200.075,0.18
HUTZEB,HUTZEB,core-mof-ddec-1015,0.416847841,12.83394299,1.33100443,40.97906546,1.933433109,59.5266854,2.493248155,76.76231355,2.785760932,85.76821911,3.125748242,96.23577425,3.523436099,108.4798182,3.654341652,112.5101483,3.968661516,122.1874521,4.187520222,128.9256906,20.97858,21.09212,1.454756502,44.78915365,2.192431669,67.50075274,2.637657086,81.20838664,2.856515793,87.94662515,1.37355,2.5,3.9,0,0,0.21
HUZSUR01,HUZSUR01,core-mof-ddec-1016,0.485087012,9.157225491,1.85004061,34.92412415,3.151492259,59.49226537,4.978572077,93.98294738,6.275878326,118.4728339,8.045577641,151.880316,9.684965331,182.8278416,10.37161975,195.7901539,11.41361874,215.46048,12.4049386,234.1741113,14.26638,14.70899,4.425837716,83.54870975,7.834924721,147.9037175,9.56357813,180.5363559,10.55489799,199.2499872,0.8422,8.7,9.9,1341.73,1593.12,0.58
IBARUA,IBARUA,core-mof-ddec-1017,0.244339252,10.84387362,0.842843145,37.40571544,1.264203303,56.10584757,1.72670245,76.63174449,1.994756024,88.52806915,2.306002783,102.3413246,2.531621317,112.3543653,2.629994031,116.7201856,2.74214892,121.6976644,2.838857099,125.989612,17.97523,20.35849,1.151912879,51.12235371,1.688778172,74.94864986,1.899305775,84.29194896,1.996013954,88.58389661,1.98004,5.0,7.1,675.451,341.131,0.25
IBASEL,IBASEL,core-mof-ddec-1018,0.221080833,8.78205369,0.842423286,33.463808,1.338689794,53.17713666,1.867458163,74.18154557,2.192746816,87.10307472,2.523781509,100.2528553,2.784407306,110.6057643,2.876343926,114.2577875,3.031526813,120.4221593,3.156142368,125.3722967,17.32205,19.0588,1.35032353,53.63926672,1.94198402,77.1419563,2.189103527,86.9583513,2.313719082,91.90848873,1.77226,5.1,7.4,738.301,416.588,0.26
IBICAZ,IBICAZ,core-mof-ddec-1019,0.164650211,3.9574876,0.782293603,18.80299589,1.449882907,34.84899049,2.54484332,61.16716063,3.341949402,80.32618523,4.399035669,105.7340227,5.27964338,126.9000697,5.697809657,136.9510004,6.261540316,150.5006769,6.821637725,163.9630256,12.60836,15.31457,2.559655799,61.52318934,4.497349777,108.0970738,5.479246713,131.697681,6.039344122,145.1600297,1.0723,9.8,10.0,989.879,923.134,0.38
AVEMAQ,AVEMAQ,core-mof-ddec-102,0.413519464,8.409013649,1.749649805,35.57953222,3.038256181,61.78364003,4.688446752,95.34064579,5.712146093,116.1578079,6.921206043,140.7443208,7.918046913,161.0153098,8.334491368,169.4838038,8.93553422,181.7061488,9.540102306,194.0001802,14.86964,16.46293,3.962496288,80.57827568,6.168397108,125.4357776,7.185884415,146.1266166,7.790452501,158.420648,0.907269,5.0,7.9,1505.45,1659.32,0.44
IBICED,IBICED,core-mof-ddec-1020,0.143387047,3.940140989,0.672671898,18.4843902,1.235646678,33.95440691,2.142241396,58.8667759,2.805529592,77.09331083,3.721610436,102.2663496,4.490774513,123.402254,4.820023443,132.4497045,5.307384976,145.8419404,5.756116546,158.1726613,12.44461,15.31716,2.132857694,58.60892063,3.818102615,104.9178638,4.634713078,127.3575502,5.083444648,139.6882711,1.22593,9.9,10.1,959.865,782.97,0.38
IBICIH,IBICIH,core-mof-ddec-1021,0.1661558,3.979483886,0.773620685,18.5284597,1.439803569,34.48375014,2.524783816,60.46936966,3.319419649,79.50114878,4.365885649,104.5643399,5.312703245,127.2409203,5.727488707,137.1751631,6.259737214,149.9226829,6.793040536,162.6954659,12.50156,15.36841,2.545798964,60.97268908,4.53908256,108.7124606,5.486116529,131.3942232,6.019419851,144.1670062,1.06849,9.8,10.0,1000.47,936.337,0.38
IBICON,IBICON,core-mof-ddec-1022,0.143875535,3.946139958,0.674074332,18.48814436,1.240247921,34.01684582,2.166657927,59.42591589,2.855473572,78.31837698,3.739109345,102.5542586,4.527474159,124.1771002,4.883692366,133.9472596,5.377790308,147.4991094,5.830303723,159.9104013,12.50329,15.11363,2.18139924,59.83023262,3.853399827,105.6889558,4.703715976,129.010965,5.156229391,141.4222569,1.22363,9.9,10.1,960.429,784.904,0.38
IBICUT,IBICUT,core-mof-ddec-1023,0.169257135,4.053585956,0.780941277,18.70297873,1.472241365,35.25911581,2.572286525,61.60440171,3.373341399,80.78908654,4.418581289,105.8218259,5.355049083,128.2495522,5.758925781,137.922107,6.30363372,150.9674681,6.846132859,163.9599301,12.48967,15.18317,2.592400122,62.08610781,4.574107806,109.5465735,5.522692443,132.2644894,6.065191581,145.2569514,1.06845,10.0,10.2,964.85,903.041,0.39
IBIDAA,IBIDAA,core-mof-ddec-1024,0.144324629,3.916808108,0.677383445,18.38342489,1.254973477,34.05856877,2.187040492,59.35381929,2.876116138,78.05455738,3.810066196,103.4009116,4.617340231,125.309421,4.954877704,134.4698084,5.464103023,148.2896109,5.935210505,161.0749381,12.47099,14.92876,2.198732693,59.67113249,3.939956786,106.9259961,4.786719578,129.906186,5.257827059,142.6915132,1.21075,10.1,10.2,960.711,793.484,0.39
