Refcode,Year,Density (g/cm3),Helium void fraction (-),Surface area (m2/g,Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),Ratio LCD/PLD,Porosity
ESIFIX,2016,1.425,0.515856,673.86,0.302,4.36,8.35,1.9151376146789,1D
ESIGES01,2011,1.282,0.530627,662.66,0.36,3.88,5.17,1.33247422680412,1D
ESIGES02,2011,1.285,0.517348,590.94,0.351,3.94,5.12,1.2994923857868,1D
ESIGES,2004,1.29,0.518208,604.72,0.35,3.92,5.09,1.2984693877551,1D
ESIPON,2016,0.473,0.629485,4103.1,1.307,6.16,8.71,1.41396103896104,1D
ESIPUR02,2011,1.612,0.132161,21.19,0.05,2.81,4.79,1.70462633451957,1D
ESIPUR,2004,1.618,0.132657,22.98,0.048,2.68,4.79,1.78731343283582,1D
ESIYEM,2016,0.917,0.664562,1611.71,0.638,5.92,8.18,1.38175675675676,1D
ESIZEM,2011,0.764,0.660889,2717.45,0.778,5.6,6.91,1.23392857142857,1D
ESOHUP,2004,1.497,0.272474,108.6,0.169,2.11,4.87,2.30805687203791,1D
ESOYUG,2004,0.937,0.536316,1026.13,0.55,10.86,11.17,1.02854511970534,1D
ESOZUH,2004,0.628,0.705594,2423.06,1.084,10.75,11.84,1.10139534883721,1D
ESUCIF01,2011,1.226,0.237368,24.09,0.152,1.93,4.47,2.3160621761658,1D
ESUCIF,2011,1.259,0.227128,18.08,0.141,1.77,4.47,2.52542372881356,2D
ESUCUR01,2011,1.215,0.259784,77.16,0.174,1.9,4.81,2.53157894736842,1D
ESUCUR,2011,1.25,0.246832,56.1,0.158,1.87,4.74,2.53475935828877,1D
ESUPOZ,2016,1.411,0.295666,347.02,0.198,4.64,5.36,1.1551724137931,1D
ESUQUG,2016,1.331,0.21583,34.81,0.111,1.42,4.63,3.26056338028169,3D
ESURER04,2017,1.365,0.522905,763.09,0.311,5.84,6.89,1.17979452054795,1D
ESUSAO01,2016,1.627,0.227418,8.37,0.108,1.33,4.35,3.27067669172932,1D
ESUSAO,2016,1.625,0.229258,8.47,0.109,1.33,4.36,3.2781954887218,1D
ESUVAP,2004,1.197,0.26133,147.98,0.156,0.87,4.94,5.67816091954023,NON-POROUS
ESUZAU,2011,1.377,0.285302,135.14,0.153,2.65,4.51,1.70188679245283,1D
ETAKUG,2011,0.99,0.553824,1081.59,0.593,3.91,5.71,1.46035805626598,1D
ETAMOC,2011,1.369,0.170936,2.06,0.074,1.44,4.08,2.83333333333333,1D
ETAXAZ,2011,0.824,0.571358,1301.09,0.577,4.84,5.58,1.15289256198347,1D
ETAZOO,2004,0.95,0.413241,88.45,0.336,2.84,4.64,1.63380281690141,1D
ETCSBA,1981,1.537,0.30871,151.54,0.152,2.07,4.77,2.30434782608696,1D
ETCSBC,1981,1.708,0.145943,50.82,0.066,1.56,5.1,3.26923076923077,1D
ETDSCU,1978,1.03,0.464079,1207.12,0.455,4.64,5.72,1.23275862068966,1D
ETECAJ,2016,2.577,0.235655,0.13,0.064,2.4,4.09,1.70416666666667,1D
ETECIR,2016,1.445,0.482978,19.56,0.269,3.27,4.24,1.29663608562691,1D
ETECOX,2016,1.497,0.510302,28.27,0.266,3.24,4.32,1.33333333333333,1D
ETEDAJ,2011,1.161,0.481526,130.62,0.323,3.1,4.52,1.45806451612903,1D
ETEDAK,2016,0.58,0.757503,3648.06,1.345,7.85,9.16,1.16687898089172,1D
ETEJUJ,2011,1.477,0.279509,191.32,0.138,1.91,5.4,2.82722513089005,2D
ETEKAQ,2011,1.499,0.279048,186.09,0.135,1.89,5.35,2.83068783068783,2D
ETEKEU,2011,1.53,0.273624,171.31,0.129,1.86,5.26,2.82795698924731,2D
ETICAN,2016,1.334,0.30851,237,0.166,2.97,5.32,1.79124579124579,1D
ETIHEV,2011,1.368,0.2122,10.77,0.1,1.86,4.3,2.31182795698925,2D
ETILAV,2011,1.355,0.164022,8.13,0.075,1.26,4.13,3.27777777777778,3D
ETIXEM,2016,1.326,0.210214,12.72,0.097,2.27,4.28,1.88546255506608,2D
ETOFAW,2016,0.824,0.584008,1340.08,0.587,4.14,5.37,1.29710144927536,2D
ETOQOT,2004,1.284,0.201421,29.61,0.107,2.06,4.41,2.14077669902913,2D
ETOYES,2011,1.269,0.155337,12.61,0.086,2.85,4.17,1.46315789473684,1D
ETUBEC,2016,1.523,0.182608,0.25,0.127,2.67,4.03,1.50936329588015,1D
ETUMEM,2011,1.524,0.229762,86.14,0.115,2.03,5.14,2.5320197044335,1D
ETUPIT,2011,0.881,0.471064,24.33,0.457,3.4,4.2,1.23529411764706,1D
ETUTUJ,2011,1.282,0.292826,239.46,0.191,3.6,4.8,1.33333333333333,1D
ETUWEW,2011,1.65,0.422529,339.16,0.267,3.83,4.62,1.20626631853786,2D
ETUWIA,2011,1.407,0.42939,344.45,0.307,3.81,4.59,1.20472440944882,2D
ETUWOG,2011,1.539,0.231493,0.43,0.116,1.76,4.08,2.31818181818182,3D
ETUZNT,1975,0.94,0.571049,1033.27,0.556,3.94,5.11,1.29695431472081,2D
EVAXOO,2004,0.893,0.553213,1306.8,0.524,5.6,6.53,1.16607142857143,1D
EVEGAN,2004,1.659,0.192053,4.84,0.101,2.25,4.25,1.88888888888889,1D
EVEHUK,2016,1.265,0.255276,17.57,0.115,3.31,4.41,1.33232628398792,1D
EVIKIF,2016,1.321,0.209782,31,0.106,2.05,4.39,2.14146341463415,1D
EVINAZ,2011,0.936,0.402904,480.99,0.368,3.35,5.06,1.51044776119403,1D
EVOFUS,2016,1.034,0.356504,197.41,0.279,1.95,4.95,2.53846153846154,1D
EVOGAZ,2016,1.02,0.375215,259.82,0.294,2.39,5.11,2.13807531380753,1D
EVOMAD,2004,1.262,0.314898,76.25,0.18,2.45,4.63,1.88979591836735,2D
EVOMOR01,2004,1.259,0.334187,54.05,0.192,1.9,4.38,2.30526315789474,1D
EVOMOR,2004,1.253,0.334707,58.28,0.197,2.06,4.41,2.14077669902913,1D
EVONOS,2004,1.328,0.482183,430.87,0.278,4.68,5.09,1.08760683760684,1D
EVOSOZ,2016,1.107,0.564394,1449.49,0.468,6.31,7.53,1.19334389857369,1D
EVUNOY,2004,1.509,0.27726,123.01,0.189,2.33,4.66,2,1D
EVUSOE,2011,1,0.578824,1758.68,0.521,5.17,6.8,1.31528046421663,1D
EWAFAJ,2004,1.579,0.122576,7.51,0.052,1.29,4.21,3.26356589147287,1D
EWASIG,2016,1.301,0.381843,460.61,0.231,1.24,5.71,4.60483870967742,1D
EWAVII,2011,0.696,0.514633,1621.27,0.663,4.07,7.28,1.78869778869779,1D
EWAWAB,2011,0.622,0.52019,2134.83,0.771,4.32,7.72,1.78703703703704,1D
EWAXUV,2004,1.202,0.266924,153.93,0.171,3.42,5.16,1.50877192982456,1D
EWAZEH,2004,1.246,0.594586,1107.12,0.415,7.76,8.65,1.11469072164948,1D
EWAZUX01,2005,1.048,0.575279,678.86,0.494,3.71,4.7,1.26684636118598,2D
EWAZUX,2004,1.047,0.57713,695.28,0.493,3.72,4.7,1.26344086021505,2D
EWEBOY,2011,1.729,0.181253,17,0.07,1.32,4.3,3.25757575757576,2D
EWEVAD,2004,1.378,0.222551,1.87,0.11,1.02,4.06,3.98039215686274,1D
EWEVIL,2004,1.342,0.228273,2.09,0.117,1.27,4.14,3.25984251968504,1D
EWEWUZ,2011,1.393,0.38455,311.94,0.24,3.73,6.22,1.66756032171582,1D
EWEZAI,2011,1.088,0.336703,95.62,0.265,3.19,4.51,1.41379310344828,1D
EWIHIC,2012,1.483,0.353095,0.26,0.169,3.3,4.08,1.23636363636364,2D
EWIKAX03,2011,1.019,0.249932,4.07,0.227,1.64,4.16,2.53658536585366,2D
EWIKAX04,2011,0.984,0.249891,9.85,0.237,1.48,4.18,2.82432432432432,2D
EWIMON,2011,1.089,0.396426,640.64,0.298,3.57,5.71,1.59943977591036,1D
EWOBAV,2016,1.316,0.184774,68.44,0.1,2.67,4.78,1.79026217228464,1D
EWOPIR,2016,1.419,0.150198,20.39,0.082,2.01,4.3,2.13930348258706,2D
EWOTAM,2011,0.968,0.479767,784.63,0.427,4.09,5.7,1.39364303178484,1D
EWUCOP,2011,1.14,0.554691,105.22,0.412,3.33,4.33,1.3003003003003,1D
EWUGEJ,2011,1.371,0.509552,859.1,0.336,6.32,8.61,1.3623417721519,1D
EWUGIN,2011,1.323,0.533579,1031.94,0.366,7.4,8.87,1.19864864864865,1D
EWULEO,2011,0.534,0.715671,3614.23,1.22,6.72,8.66,1.28869047619048,1D
EWUTEV,2004,2.065,0.227334,19.85,0.079,1.72,4.36,2.53488372093023,1D
EWUVID,2016,1.134,0.381087,241.54,0.252,2.92,5.23,1.79109589041096,1D
EXABUB,2011,1.697,0.194314,54.54,0.079,1.46,4.77,3.26712328767123,1D
EXABUC,2016,1.265,0.441504,639.56,0.343,4.76,5.49,1.15336134453782,2D
EXACAI01,2011,1.715,0.194633,52.45,0.077,1.18,4.74,4.01694915254237,3D
EXACAI,2011,1.71,0.197268,52.78,0.079,1.19,4.76,4,3D
EXACEM,2011,1.759,0.194315,44.2,0.075,1.16,4.65,4.00862068965517,3D
EXACIQ,2011,1.763,0.195334,44.34,0.075,1.16,4.64,4,3D
EXACOW,2011,1.772,0.195819,46.99,0.075,1.17,4.7,4.01709401709402,3D
EXACUC,2011,1.784,0.195729,45.17,0.075,1.17,4.68,4,3D
EXADAJ,2011,1.812,0.198227,43.76,0.073,1.16,4.65,4.00862068965517,3D
EXAJOE,2016,1.247,0.203393,147.19,0.127,3.63,4.84,1.33333333333333,1D
EXALOF,2011,1.273,0.324122,211.63,0.202,3.66,5.35,1.46174863387978,2D
EXAMIA,2011,1.219,0.320884,271.62,0.213,4.03,5.37,1.33250620347395,2D
EXAMOG,2011,1.237,0.31736,232.69,0.205,3.86,5.3,1.37305699481865,1D
EXAPEA,2016,1.447,0.16797,44.12,0.091,3.37,4.93,1.46290801186944,1D
EXAROL,2011,0.927,0.580256,2056.83,0.591,4.54,6.42,1.41409691629956,2D
EXAVIK,2016,1.159,0.463987,608.1,0.344,3.94,5.26,1.33502538071066,1D
EXEHEV01,2011,0.871,0.603006,1570.33,0.643,4.49,5.98,1.33184855233853,1D
EXEHEV02,2014,0.871,0.599495,1559.42,0.647,4.48,5.98,1.33482142857143,1D
EXEHEV,2011,0.872,0.601698,1551.65,0.638,4.42,5.98,1.35294117647059,1D
EXEMOK,2011,1.478,0.295613,174.24,0.187,1.93,4.89,2.53367875647668,1D
EXEVUZ,2011,1.332,0.272996,7.3,0.147,3.31,4.29,1.29607250755287,1D
EXIDIZ,2011,1.417,0.165035,7.72,0.075,1.31,4.27,3.25954198473282,1D
EXIYIV,2016,0.778,0.662712,1997.31,0.73,4.48,6.55,1.46205357142857,1D
EXOFIH,2011,1.354,0.634813,192.95,0.343,3.89,4.31,1.10796915167095,1D
EXOXIZ,2011,1.559,0.185072,2.11,0.08,1.92,4.11,2.140625,2D
EXOZEX,2011,1.252,0.368288,223.88,0.237,2.75,4.93,1.79272727272727,1D
EXUHEM,2016,1.194,0.35587,286.42,0.224,3.53,5.16,1.46175637393768,1D
EXUHUC,2016,1.424,0.271485,163.82,0.141,3.93,5.73,1.45801526717557,1D
EXUMUG,2011,0.708,0.647185,2528.48,0.833,4.87,5.94,1.21971252566735,1D
EXUNAN,2011,0.937,0.485787,397.96,0.438,3.33,4.86,1.45945945945946,1D
EXUNIW,2016,0.787,0.715401,1756.12,0.848,11.38,12.2,1.07205623901582,1D
EXUNOC,2016,0.797,0.707936,1768.26,0.822,11.69,12.38,1.0590248075278,1D
EXUNUI,2016,0.816,0.704378,1717.8,0.804,11.55,12.27,1.06233766233766,1D
EXUPAQ,2016,0.8,0.714726,1718.38,0.839,11.33,12.11,1.06884377758164,1D
EXUXOL,2011,1.103,0.387745,304.52,0.28,2.78,5.24,1.88489208633094,3D
EXUXUR,2011,1.107,0.352034,121.97,0.239,3.31,5.01,1.51359516616314,1D
EXUYAX,2004,1.043,0.290718,35.61,0.132,2.8,4.57,1.63214285714286,2D
EXUYAY,2011,1.301,0.34485,142.37,0.212,2.84,5.08,1.7887323943662,3D
EXUYIF,2004,0.976,0.392308,313.58,0.318,3.51,4.97,1.41595441595442,1D
EYAFUH03,2016,0.933,0.5896,1465.51,0.682,4.84,6.12,1.26446280991736,1D
EYAFUH05,2017,0.938,0.586115,1433.77,0.678,4.87,6.09,1.25051334702259,1D
EYAGES,2016,0.514,0.80799,2908.81,1.591,11.79,12.86,1.09075487701442,1D
EYAGIW,2016,0.844,0.610725,1321.33,0.788,3.9,5.35,1.37179487179487,1D
EYAGOC,2016,1.067,0.59063,1039.58,0.582,3.76,5.5,1.46276595744681,2D
EYAHOD01,2017,0.446,0.809168,5223.96,1.864,9.62,11.5,1.1954261954262,1D
EYAHOD,2016,0.872,0.596724,1188.59,0.742,4.3,4.97,1.15581395348837,2D
EYAHUJ01,2017,0.823,0.6244,1862.97,0.831,4.19,6.23,1.48687350835322,1D
EYAHUJ02,2017,0.804,0.636713,2052.17,0.858,4.37,6.27,1.43478260869565,1D
EYAJOE,2011,0.327,0.840321,5797.4,2.549,9.74,11.99,1.23100616016427,2D
EYAJUL,2016,0.736,0.669574,3116.36,0.968,4.52,6.72,1.48672566371681,1D
EYAKOG,2016,0.766,0.715371,2916.56,0.949,6.52,7.69,1.17944785276074,1D
EYALIB,2016,0.701,0.701007,3708.95,1.066,6.26,7.31,1.16773162939297,1D
EYAZEL,2016,1.7,0.113203,14.59,0.049,0.76,4.3,5.65789473684211,NON-POROUS
EYEGOE,2004,1.25,0.230288,1,0.123,1.77,4.1,2.31638418079096,3D
EYEGUK,2004,1.194,0.326792,24.99,0.133,2.45,4.38,1.78775510204082,3D
EYEHAR,2004,1.087,0.28881,4.52,0.197,2.76,4.17,1.51086956521739,1D
EYEYAJ,2011,1.32,0.351017,313.68,0.198,4.21,5.2,1.23515439429929,1D
EYEYIR,2011,1.176,0.412945,129.32,0.275,3.1,4.69,1.51290322580645,1D
EYIDEX,2016,1.9,0.070953,7.47,0.022,1.13,4.51,3.99115044247788,2D
EYIPEI,2011,0.751,0.670349,3010.99,0.931,5.26,7.68,1.46007604562738,1D
EYOJOT,2016,0.855,0.612112,1345.6,0.636,4.04,6.6,1.63366336633663,1D
EYOWUL,2011,1.475,0.367857,161.77,0.196,3.54,4.86,1.3728813559322,2D
EYOYEX,2011,1.258,0.150926,38.32,0.073,1.37,4.49,3.27737226277372,3D
EYOYUO,2016,1.057,0.507442,694.28,0.504,4.01,5.35,1.33416458852868,1D
EYULOA,2012,1.264,0.33377,148.91,0.203,3.43,4.7,1.37026239067055,1D
EYUMAN,2012,0.804,0.618995,1805.37,0.687,5.22,7.05,1.35057471264368,1D
EYUMER,2012,1.305,0.2714,83.16,0.161,2.77,4.53,1.63537906137184,1D
EYUQIZ,2011,1.144,0.271953,122.49,0.171,1.5,4.9,3.26666666666667,1D
EYUYIH,2012,1.475,0.10053,1.37,0.044,1.27,4.13,3.25196850393701,3D
EYUYON,2012,1.01,0.378984,646.58,0.301,1.88,8.05,4.28191489361702,1D
EYUZOO,2012,0.979,0.432959,604.06,0.37,3.41,6.42,1.88269794721408,1D
EZAWIL,2004,1.349,0.431132,577.01,0.332,3.98,5.47,1.37437185929648,1D
EZECAO,2011,1.088,0.469113,97.23,0.365,3.18,4.36,1.37106918238994,1D
EZENAY,2004,1.249,0.415383,227.16,0.247,3.12,5.57,1.78525641025641,2D
EZEPUW,2016,1.596,0.112702,0.55,0.057,1.26,4.11,3.26190476190476,1D
EZEQEH,2016,1.232,0.345334,262.36,0.214,3.75,4.74,1.264,2D
EZEQIL,2016,1.17,0.409789,456.75,0.264,4.2,5.19,1.23571428571429,2D
EZEQOR,2016,1.143,0.433432,548.11,0.282,4.51,5.57,1.2350332594235,2D
EZEQUX,2016,1.148,0.431202,533.47,0.283,4.44,5.48,1.23423423423423,2D
EZEROS,2016,1.346,0.193919,4.87,0.092,2.46,4.2,1.70731707317073,2D
EZIMAC,2011,0.939,0.625269,1019.44,0.547,3.54,9.44,2.66666666666667,3D
EZIYOC,2011,1.311,0.146734,29.33,0.112,2.88,4.7,1.63194444444444,1D
EZIZOC,2004,1.248,0.244514,62.49,0.148,2.9,4.54,1.56551724137931,1D
EZIZUI,2004,1.083,0.413032,475.94,0.309,3.85,5.63,1.46233766233766,1D
EZOBEA,2004,1.066,0.391311,495.13,0.299,2.33,5.89,2.52789699570815,2D
EZOBIE,2004,1.294,0.211553,13.91,0.126,2.12,4.24,2,1D
EZOBIF04,2011,0.862,0.573878,1870.44,0.639,6.24,8.21,1.31570512820513,2D
EZOBIF05,2011,0.873,0.56703,1846.17,0.628,6.09,8.06,1.32348111658457,2D
EZUCIM,2011,1.002,0.548378,521.84,0.448,3.81,5.08,1.33333333333333,1D
EZUCOS,2011,1.332,0.415349,417.71,0.241,2.62,6.05,2.30916030534351,2D
EZUKUH,2016,1.395,0.26782,224.61,0.156,2.44,5.22,2.13934426229508,2D
EZUMIX,2016,1.638,0.241508,114.45,0.109,3.73,4.83,1.29490616621984,1D
EZUQOH,2016,1.275,0.227066,1.57,0.116,2.4,4.09,1.70416666666667,1D
EZURAS,2004,0.968,0.499812,251.94,0.428,2.26,4.52,2,2D
EZUXON,2011,1.236,0.365424,210.68,0.246,3.05,4.61,1.51147540983607,1D
FABBIV,2011,1.235,0.398114,438.62,0.243,3.64,6.21,1.70604395604396,1D
FABBUH,2011,1.194,0.399001,473.96,0.257,3.75,6.26,1.66933333333333,1D
FABCUI,2011,1.092,0.382656,107.72,0.267,3.25,4.91,1.51076923076923,1D
FABVOU,2002,1.365,0.220927,22.96,0.101,1.9,4.39,2.31052631578947,2D
FADCIZ01,2016,4.149,0.271522,112.15,0.065,0.95,7.53,7.92631578947368,NON-POROUS
FADCIZ02,2016,4.14,0.260422,112.09,0.064,1.31,7.43,5.67175572519084,3D
FADCIZ03,2016,4.15,0.196755,77.07,0.049,1.21,6.78,5.60330578512397,3D
FADCIZ04,2016,4.15,0.168514,62.87,0.044,1.16,6.54,5.63793103448276,3D
FADCIZ05,2016,4.149,0.184354,71.51,0.047,1.19,6.71,5.63865546218487,3D
FADCIZ,2016,4.153,0.179108,68.03,0.045,1.18,6.61,5.60169491525424,3D
FADCOF01,2016,4.33,0.258325,102.23,0.059,1.31,7.41,5.65648854961832,3D
FADCOF02,2016,4.346,0.267899,103.15,0.061,0.92,7.39,8.03260869565217,NON-POROUS
FADCOF03,2016,4.32,0.266873,104.69,0.061,0.93,7.41,7.96774193548387,NON-POROUS
FADCOF,2016,4.252,0.18159,65.52,0.044,0.81,6.49,8.01234567901234,NON-POROUS
FADDAS,2016,4.398,0.172807,56.79,0.041,1.14,6.44,5.64912280701754,3D
FADJAX,2011,0.729,0.654856,1948.49,0.837,4.76,6.02,1.26470588235294,1D
FADKAZ,2016,4.155,0.180492,69.2,0.046,1.18,6.65,5.63559322033898,3D
FADKON01,2016,4.424,0.271339,103.35,0.06,1.31,7.39,5.6412213740458,3D
FADKON02,2016,4.421,0.267873,102.71,0.06,1.31,7.39,5.6412213740458,3D
FADKON,2016,4.421,0.267892,101.86,0.06,1.31,7.39,5.6412213740458,3D
FADXUF,2011,1.634,0.214841,12.88,0.098,2.69,4.21,1.56505576208178,1D
FAFCAS,2011,1.988,0.287644,154.46,0.119,0.95,5.39,5.67368421052632,NON-POROUS
FAFMAA,1987,1.941,0.1856,32.34,0.077,0.87,4.92,5.6551724137931,NON-POROUS
FAFMAC,2010,1.319,0.392654,599.31,0.223,4.89,6.53,1.33537832310838,1D
FAFMEE,1987,1.859,0.180521,34.52,0.08,0.87,4.94,5.67816091954023,NON-POROUS
FAFVIR,1987,1.58,0.269606,8.56,0.16,3.27,4.14,1.26605504587156,2D
FAGJUU,2011,0.996,0.255367,202.85,0.186,2.65,4.74,1.78867924528302,1D
FAGKAB,2011,1.017,0.248637,181.2,0.181,3.05,4.61,1.51147540983607,1D
FAGMAE,2016,1.06,0.386429,395.45,0.271,3.99,5.05,1.265664160401,1D
FAGMEI,2016,1.136,0.326704,36.25,0.211,3.48,4.4,1.26436781609195,1D
FAGMOS,2016,1.116,0.340677,53.83,0.234,3.5,4.43,1.26571428571429,1D
FAGMUY,2016,1.171,0.185044,100.83,0.106,1.26,5.03,3.99206349206349,2D
FAGNAF,2016,1.173,0.173758,11.64,0.102,1.08,4.32,4,2D
FAGWUI,2016,1.527,0.27864,3.51,0.143,3.2,4.16,1.3,1D
FAGXAP,2016,1.534,0.280621,1.9,0.143,3.19,4.14,1.29780564263323,1D
FAGXET,2016,1.566,0.27848,2.35,0.138,3.21,4.17,1.29906542056075,1D
FAGXIX,2016,1.441,0.191617,79.46,0.09,1.23,4.94,4.01626016260163,2D
FAGXOB,2002,1.221,0.433428,8.85,0.241,2.44,4.17,1.70901639344262,1D
FAGXOD,2016,1.124,0.414551,129.64,0.285,3.05,4.98,1.6327868852459,1D
FAGZAO,1987,0.755,0.648546,1950.35,0.826,9.58,10.11,1.0553235908142,1D
FAGZES,1987,0.898,0.658293,1665.37,0.69,9.88,10.33,1.04554655870445,1D
FAHJOP,2012,1.457,0.257509,317.81,0.144,4.95,5.6,1.13131313131313,1D
FAHKOQ,2012,1.148,0.61101,1332.9,0.543,4.3,5.99,1.39302325581395,3D
FAHPUB,2012,1.039,0.400958,421.03,0.316,2.74,5.87,2.14233576642336,3D
FAHQOX,2016,1.591,0.084901,23.2,0.033,1.11,4.45,4.00900900900901,3D
FAHVAM,2005,1.614,0.218254,162.68,0.114,2.89,6.96,2.4083044982699,1D
FAJJUY,2016,1.705,0.282624,50.3,0.113,2.29,4.59,2.00436681222707,1D
FAJNUA01,2006,2.43,0.13549,18.94,0.049,3.13,4.91,1.56869009584665,1D
FAJYAS,2012,0.899,0.556593,1537.83,0.533,5.4,8.23,1.52407407407407,3D
FAJYUM,2012,1.081,0.430691,123.32,0.324,3.39,4.95,1.46017699115044,1D
FAJZIZ,1987,0.762,0.598823,2181.07,0.708,7.82,8.52,1.08951406649616,1D
FAKHAC,2012,1.423,0.088111,10.58,0.033,1.34,4.36,3.25373134328358,1D
FAKLIN,2005,1.664,0.149993,4.09,0.074,1.27,4.16,3.2755905511811,1D
FAKNIR,2017,1.052,0.543576,1163,0.43,4.65,6.91,1.48602150537634,1D
FAKNOW,2012,1.442,0.394303,215.66,0.204,1.48,4.85,3.27702702702703,1D
FAKRUG,2012,1.48,0.349816,72.94,0.19,3.61,4.95,1.37119113573407,1D
FALDAA,2017,1.263,0.263444,67.23,0.152,1.43,4.69,3.27972027972028,2D
FALLAH,2012,1.215,0.297125,111.31,0.177,1.81,4.59,2.53591160220994,2D
FALLOV,2012,1.234,0.197591,40.13,0.12,2.57,4.39,1.70817120622568,1D
FALLUB,2012,1.22,0.178923,24.76,0.109,3.33,4.45,1.33633633633634,1D
FALMAI,2012,1.245,0.216581,45.56,0.123,1.57,4.44,2.82802547770701,1D
FALQEQ,2012,1.961,0.105897,15.56,0.035,2.94,4.45,1.51360544217687,1D
FALQIU,2012,1.977,0.113224,18.43,0.038,2.89,4.53,1.56747404844291,1D
FALQOA,2012,2.003,0.114765,17.35,0.038,2.87,4.51,1.57142857142857,1D
FALTUK,2017,0.666,0.802721,2879.16,1.074,6.55,14.27,2.17862595419847,1D
FALVEV,2012,0.805,0.634305,1927.2,0.698,5.65,7.43,1.31504424778761,1D
FALVIZ,2012,0.829,0.644047,1953.93,0.687,5.77,7.21,1.24956672443674,1D
FALVOF01,2014,1.674,0.231972,193.91,0.14,2.31,5.84,2.52813852813853,1D
FALVOF,2012,1.674,0.231972,195.36,0.14,2.31,5.84,2.52813852813853,1D
FALXUN,2012,1.658,0.259311,63.37,0.127,3.83,4.72,1.23237597911227,1D
FALYIC,2012,1.33,0.085493,4.48,0.038,1.07,4.27,3.99065420560748,3D
FAMMOW,2005,1.405,0.071155,0.85,0.054,1.45,4.11,2.83448275862069,1D
FAMWOI,2017,1.088,0.386838,138.96,0.309,2.93,4.6,1.56996587030717,1D
FAMZOL,2017,1.525,0.29417,131.76,0.136,1.2,4.79,3.99166666666667,1D
FANNIT,2012,1.5,0.387715,543.76,0.218,6.44,6.88,1.06832298136646,1D
FANQER,2005,1.606,0.17108,54.45,0.105,3.1,4.86,1.56774193548387,1D
FANWOI,2012,0.995,0.461983,974.16,0.4,8.11,9.37,1.15536374845869,1D
FAPRIZ,2012,0.668,0.772669,3418.48,1.078,6.9,8.63,1.25072463768116,1D
FAQFUZ,2005,1.051,0.447903,359.92,0.359,3.45,4.87,1.41159420289855,1D
FAQGEL,2012,1.753,0.091363,32.15,0.04,1.31,5.22,3.98473282442748,2D
FAQGIP,2012,1.54,0.093443,37.29,0.047,1.3,5.21,4.00769230769231,2D
FAQLER01,2017,1.11,0.615046,1097.17,0.443,6.91,7.19,1.04052098408104,1D
FAQLER,2017,1.111,0.61526,1085.44,0.438,6.84,7.06,1.03216374269006,1D
FAQLIU,2012,0.69,0.695988,2272.56,0.913,4.42,6.15,1.39140271493213,1D
FAQLIV,2017,1.134,0.621978,1051,0.439,6.76,6.98,1.03254437869822,1D
FAQSOG,2005,1.927,0.157124,11.67,0.068,1.51,4.28,2.83443708609272,1D
FARGOV,2005,1.749,0.073341,0.06,0.018,0.99,3.96,4,NON-POROUS
FARJOZ,2013,1.099,0.306231,392.21,0.219,4.06,5.41,1.33251231527094,1D
FARJUF,2013,0.5,0.724528,3626.42,1.356,8.27,9.08,1.09794437726723,1D
FARKIU,2013,1.039,0.283314,26.04,0.183,2.47,4.21,1.70445344129555,1D
FARLER,2013,1.046,0.276635,32.02,0.189,2.38,4.26,1.78991596638655,1D
FARLIU,2005,1.162,0.398029,45.71,0.273,2.96,4.47,1.51013513513514,2D
FARLOB,2013,1.052,0.247193,3.62,0.159,1.63,4.11,2.52147239263804,1D
FARLUH,2013,1.049,0.259679,29.76,0.181,1.99,4.26,2.14070351758794,1D
FARMIV,2005,0.498,0.766432,2935.89,1.428,10.35,11.21,1.08309178743961,1D
FARMOB,2005,1.277,0.14939,3.52,0.08,1.64,4.16,2.53658536585366,1D
FARTUO,2005,0.736,0.612657,1031.37,0.752,3.79,5.05,1.33245382585752,2D
FARVAW,2005,0.753,0.579479,1687.57,0.697,4.38,5.54,1.2648401826484,1D
FARXEC,2005,1.198,0.414645,299.13,0.279,2.82,4.6,1.63120567375887,1D
FARXOM,2005,1.27,0.339987,126.77,0.217,1.95,4.5,2.30769230769231,1D
FARXUS,2005,1.235,0.378032,371.19,0.245,2.82,5.05,1.79078014184397,2D
FARYAZ,2005,1.286,0.351867,239.7,0.219,2.52,4.74,1.88095238095238,2D
FARYED,2005,1.274,0.345417,224.47,0.22,2.32,4.64,2,2D
FARYUT,2005,0.874,0.569347,1759.53,0.595,5.87,7,1.19250425894378,1D
FARZAA,2005,1.364,0.296384,66.39,0.174,3.89,4.32,1.11053984575835,1D
FARZUU,2005,1.36,0.301637,81.03,0.175,3.83,4.34,1.1331592689295,1D
FASBOR,2005,1.377,0.287958,7.02,0.164,3.71,4.2,1.13207547169811,1D
FASFOX,2017,1.484,0.257674,46.05,0.107,2.94,4.61,1.56802721088435,1D
FASGAK,2017,1.524,0.25443,41.59,0.104,2.99,4.52,1.51170568561873,1D
FASHAK,2012,1.376,0.37731,231.72,0.259,4.05,4.99,1.2320987654321,1D
FASHAL,2017,1.891,0.090636,6.06,0.037,1.66,4.2,2.53012048192771,1D
FASHEP,2017,1.654,0.205906,56.89,0.109,3.23,4.44,1.37461300309598,2D
FASZUW,2012,0.8,0.530389,1254.21,0.587,5.71,6.53,1.14360770577933,1D
FATJOA,2005,1.208,0.310714,551.55,0.21,5.31,6.06,1.14124293785311,1D
