Refcode,Year,Density (g/cm3),Helium void fraction (-),Surface area (m2/g,Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),Ratio LCD/PLD,Porosity
ADODOO,2013,1.287,0.410897,488.51,0.229,4.7,5.74,1.22127659574468,1D
ADODUU,2013,1.315,0.410216,482.41,0.223,4.75,5.73,1.20631578947368,1D
ADOKEK,2007,1.633,0.509143,899.12,0.317,6.08,6.56,1.07894736842105,1D
ADONOX,2007,1.08,0.371358,640.59,0.293,4.9,5.54,1.13061224489796,1D
ADUBAE,2013,1.067,0.301125,603.78,0.266,5.34,6.37,1.19288389513109,1D
ADULIX,2017,2.226,0.139422,77.16,0.049,3.77,5.33,1.41379310344828,1D
ADURUN,2007,1.503,0.111072,1.97,0.051,1.8,4.15,2.30555555555556,2D
ADUSOI,2007,0.877,0.630974,619,0.595,3.53,5.33,1.50991501416431,3D
ADUVAY,2013,1.554,0.424121,849.21,0.33,4.58,5.79,1.26419213973799,1D
AFAREH,2018,1.977,0.091096,1.61,0.038,1.99,4.25,2.1356783919598,1D
AFARIL,2018,2.106,0.08359,0.07,0.034,1.93,4.13,2.13989637305699,1D
AFAROR,2018,2.122,0.081755,0.07,0.035,1.93,4.12,2.13471502590674,1D
AFARUX,2018,2.021,0.079549,0.77,0.036,1.82,4.2,2.30769230769231,1D
AFAWAH,2013,1.318,0.300544,20.6,0.172,1.87,4.33,2.31550802139037,1D
AFECEV,2013,1.232,0.063733,0.54,0.03,1.43,4.04,2.82517482517483,1D
AFECIY01,2008,1.591,0.222682,6.33,0.089,1.05,4.18,3.98095238095238,2D
AFECIY,2007,1.569,0.222229,13.09,0.091,1.07,4.26,3.98130841121495,2D
AFEDAR,2007,1.413,0.309643,119.89,0.184,3,4.9,1.63333333333333,1D
AFEGIE,2018,1.244,0.31209,85.75,0.185,3.05,4.45,1.45901639344262,1D
AFEHAV,2007,1.029,0.234428,28.13,0.167,1.66,4.21,2.53614457831325,2D
AFEHOI,2002,1.376,0.183874,4.53,0.084,2,4.28,2.14,1D
AFEJAW,2002,1.367,0.191833,7.75,0.089,1.89,4.36,2.30687830687831,1D
AFEJEA,2002,0.84,0.525997,1160.78,0.53,6.3,6.74,1.06984126984127,1D
AFEJEB,2007,1.106,0.541092,1392.2,0.499,7.4,8.37,1.13108108108108,2D
AFEJIE,2002,0.867,0.526389,1024.46,0.503,6.35,6.79,1.06929133858268,1D
AFEJUQ,2002,1.144,0.387853,132.97,0.259,3.86,4.76,1.23316062176166,1D
AFEKAY,2007,0.86,0.46881,543.28,0.406,3.15,5.15,1.63492063492064,2D
AFELII,2013,1.498,0.19607,60.79,0.101,2.7,4.6,1.7037037037037,2D
