Refcode,Volume (A3),Mass (g/mol),Density (g/cm3),HVF,Surface area (m2/g),Free volume (cm3/g),PLD (A),LCD (A),Porosity
ADAFAN01,22951.916,12731.208,0.921,0.454184,185.76,0.445,3.1,4.68,1D
ADASEF,160898.645,45259.52,0.467,0.838986,3899.67,1.725,9.66,21.53,3D
ADAWOS,38508.417,28499.278,1.229,0.444794,8.1,0.319,3.2,4.16,2D
ADAYAG,31486.138,14224.296,0.75,0.605494,1793.12,0.725,5.66,7.77,1D
ADECAQ,29296.497,23574.096,1.336,0.192214,13.15,0.119,2.28,4.3,1D
ADEGOG,31187.588,23974.272,1.276,0.229701,180.84,0.142,2,5.05,1D
ADENUV,33471.616,23955.216,1.188,0.416911,61.89,0.242,3.35,4.59,1D
ADETEL,59792.32,34694.784,0.964,0.557022,1045.74,0.464,4.48,5.82,2D
ADETIP,34900.883,29742.6,1.415,0.22262,46.67,0.108,1.59,4.5,1D
ADETUB,22360.805,14467.224,1.074,0.241224,30.17,0.144,1.96,4.52,1D
ADEVIR,32868.674,29429.76,1.487,0.294202,209.19,0.166,4.32,5.1,1D
ADIJIJ,34250.231,73434.496,3.56,0.323422,193.5,0.107,3.81,5.76,1D
ADIQAH,34748.959,25888.32,1.237,0.426051,143.89,0.243,3.42,4.56,1D
ADIQEL,34314.757,25556.184,1.237,0.408753,74.44,0.233,3.43,4.23,1D
ADIQOV,44683.419,32711.232,1.216,0.208412,30.99,0.127,1.54,4.36,2D
ADOCAY,34124.393,34632.224,1.685,0.293131,80.08,0.166,3.69,5.21,1D
ADOCIG,34143.251,34632.224,1.684,0.293681,75.72,0.169,3.7,5.24,1D
ADODII,27225.258,19932.976,1.216,0.418848,481.21,0.245,4.71,5.74,1D
ADODOO,26255.834,20350.848,1.287,0.410897,488.51,0.229,4.7,5.74,1D
ADODUU,25982.87,20573.61,1.315,0.410216,482.41,0.223,4.75,5.73,1D
ADOKEK,23745.548,23352.784,1.633,0.509143,899.12,0.317,6.08,6.56,1D
ADONOX,32804.08,21338.88,1.08,0.371358,640.59,0.293,4.9,5.54,1D
ADUBAE,29078.69,18688.968,1.067,0.301125,603.78,0.266,5.34,6.37,1D
ADULIX,35749.475,47933.098,2.226,0.139422,77.16,0.049,3.77,5.33,1D
ADURUN,34167.484,30918.096,1.503,0.111072,1.97,0.051,1.8,4.15,2D
ADUSOI,38302.636,20227.5,0.877,0.630974,619,0.595,3.53,5.33,3D
ADUVAY,38592.956,36116.82,1.554,0.424121,849.21,0.33,4.58,5.79,1D
AFAREH,49665.398,59141.502,1.977,0.091096,1.61,0.038,1.99,4.25,1D
AFARIL,48207.936,61145.82,2.106,0.08359,0.07,0.034,1.93,4.13,1D
AFAROR,48095.502,61446.708,2.122,0.081755,0.07,0.035,1.93,4.12,1D
AFARUX,49144.178,59812.236,2.021,0.079549,0.77,0.036,1.82,4.2,1D
AFAWAH,35416.459,28117.363,1.318,0.300544,20.6,0.172,1.87,4.33,1D
AFECEV,32649.351,24232.056,1.232,0.063733,0.54,0.03,1.43,4.04,1D
AFECIY01,32410.776,31046.112,1.591,0.222682,6.33,0.089,1.05,4.18,2D
AFECIY,32864.537,31046.112,1.569,0.222229,13.09,0.091,1.07,4.26,2D
AFEDAR,29658.697,25246.08,1.413,0.309643,119.89,0.184,3,4.9,1D
AFEGIE,28958.081,21700.416,1.244,0.31209,85.75,0.185,3.05,4.45,1D
AFEHAV,33371.181,20687.67,1.029,0.234428,28.13,0.167,1.66,4.21,2D
AFEHOI,35409.537,29345.328,1.376,0.183874,4.53,0.084,2,4.28,1D
AFEJAW,35647.259,29345.328,1.367,0.191833,7.75,0.089,1.89,4.36,1D
AFEJEA,61433.159,31077.184,0.84,0.525997,1160.78,0.53,6.3,6.74,1D
AFEJEB,24348.561,16212.928,1.106,0.541092,1392.2,0.499,7.4,8.37,2D
AFEJIE,59510.413,31077.184,0.867,0.526389,1024.46,0.503,6.35,6.79,1D
AFEJUQ,39139.837,26954.064,1.144,0.387853,132.97,0.259,3.86,4.76,1D
AFEKAY,33042.309,17119.36,0.86,0.46881,543.28,0.406,3.15,5.15,2D
AFELII,46223.594,41711.424,1.498,0.19607,60.79,0.101,2.7,4.6,2D
AFENEE,35819.698,26920.526,1.248,0.317209,2.57,0.176,2.77,4.04,1D
AFENUX,34820.54,32959.296,1.572,0.258748,0.94,0.13,2.8,4.08,1D
AFIJUX,43362.703,26735.28,1.024,0.463401,573.58,0.372,3.68,5.56,1D
AFIKAE,22263.587,13524.504,1.009,0.49994,757.84,0.462,4.05,5.91,1D
AFIKEI,22250.045,13734.72,1.025,0.493397,708.62,0.431,3.99,5.93,1D
AFIKIM,21696.831,13873.464,1.062,0.475016,595.19,0.382,3.8,5.74,1D
AFILEH,32921.96,21338.88,1.076,0.370843,647.87,0.293,4.89,5.53,1D
AFITEP,30177.586,19416.16,1.068,0.476095,128.48,0.336,3.87,4.38,1D
AFIWAQ,71573.363,59997.552,1.392,0.208213,154.48,0.119,4.21,5.61,1D
AFOFUX,39739.218,69624,2.909,0.374407,157.53,0.152,3.44,4.59,1D
AFOGAE,29088.748,45120,2.576,0.242206,54.81,0.118,3.48,5.08,1D
AFOXAX,32397.991,28526.112,1.462,0.25177,159.18,0.126,3.17,5.98,1D
