Refcode,Year,Density (g/cm3),"Helium void fraction, F_He,T (-)","Surface area, S_AC,T (m2/g)","Surface area, S_AC,A (m2/g)","Pore volume, V_PO,T (cm3/g)","Pore volume, V_PO,A (cm3/g)",Pore limiting diameter (A),Large cavity diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3).1,"Helium void fraction, F_He,T (-).1","Surface area, S_AC,T (m2/g).1","Surface area, S_AC,A (m2/g).1","Pore volume, V_PO,T (cm3/g).1","Pore volume, V_PO,A (cm3/g).1",Pore limiting diameter (A).1,Large cavity diameter (A).1,Ratio LCD/PLD (-).1,URL
DTHHGN10,1977,2.892,0.39935,21.27,0,0.162,0,2.39,4.27,1.786610879,2D,[2.0 - 7.0],[0.3 - 0.4),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.2-2.6),[4.2-4.3),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=DTHHGN10
PYDSCU10,1977,0.681,0.686688,2969.21,2983.57,0.921,0.912,6.31,7.61,1.206022187,1D,[0.6 - 0.8),[0.6 - 0.7),[2000 - 3000),[2000-3000),[0.8 - 1.0),[0.8-1.0),[6.0-8.0),[7.0-8.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PYDSCU10
BCETPN,1978,0.931,0.477035,1188.05,1162.17,0.498,0.491,6.64,7.16,1.078313253,1D,[0.8 - 1.0),[0.4 - 0.5),[1000 - 1250),[1000-1500),[0.4 - 0.5),[0.4-0.5),[6.0-8.0),[7.0-8.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BCETPN
ETDSCU,1978,1.03,0.464079,1207.12,1190.25,0.455,0.453,4.64,5.72,1.232758621,1D,[1.0 - 1.1),[0.4 - 0.5),[1000 - 1250),[1000-1500),[0.4 - 0.5),[0.4-0.5),[4.5-5.0),[5.6-6.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ETDSCU
MTACHH,1979,1.13,0.533456,1523.42,1518.29,0.487,0.482,7.02,8.11,1.155270655,1D,[1.1 - 1.2),[0.5 - 0.6),[1500 - 2000),[1500-2000),[0.4 - 0.5),[0.4-0.5),[6.0-8.0),[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MTACHH
TCPPHG01,1980,0.908,0.601482,1695.89,1717.15,0.635,0.631,7.86,9.71,1.235368957,1D,[0.8 - 1.0),[0.6 - 0.7),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[6.0-8.0),[8.0-10.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=TCPPHG01
ETCSBA,1981,1.537,0.30871,151.54,0,0.152,0,2.07,4.77,2.304347826,1D,[1.5 - 1.6),[0.3 - 0.4),[150 - 200),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.6-4.8),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ETCSBA
ETCSBC,1981,1.708,0.145943,50.82,0,0.066,0,1.56,5.1,3.269230769,1D,[1.6 - 1.8),[0.1 - 0.2),[50 - 100),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.4-1.6),[5.0-5.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ETCSBC
SACNID,1981,0.794,0.412891,1022.3,988.34,0.567,0.55,4.21,6.48,1.539192399,1D,[0.6 - 0.8),[0.4 - 0.5),[1000 - 1250),[800-1000),[0.5 - 0.6),[0.5-0.6),[4.0-4.5),[6.0-6.5),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SACNID
ALTRMN,1982,1.02,0.296251,10.06,0,0.271,0,3.07,4.21,1.371335505,1D,[1.0 - 1.1),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[3.0-3.3),[4.2-4.3),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ALTRMN
BADLOH,1982,1.653,0.256002,83.57,0,0.119,0,1.58,5.17,3.272151899,1D,[1.6 - 1.8),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.4-1.6),[5.0-5.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BADLOH
BELJIL,1982,1.287,0.296872,445.78,437.96,0.188,0.184,4.81,7.03,1.461538462,1D,[1.2 - 1.3),[0.2 - 0.3),[400 - 500),[400-500),[0.1 - 0.2),[0.1-0.2),[4.5-5.0),[7.0-8.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BELJIL
BOJSUO,1983,1.001,0.720343,3071.4,3044.65,0.75,0.753,6.49,7.34,1.130970724,1D,[1.0 - 1.1),[0.7 - 0.8),[3000 - 10250],[5000-10500],[0.6 - 0.8),[0.6-0.8),[6.0-8.0),[7.0-8.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BOJSUO
BUBGAG,1983,1.08,0.46886,241.49,0,0.358,0,2.93,4.59,1.566552901,1D,[1.0 - 1.1),[0.4 - 0.5),[200 - 300),[0.0-0.05),[0.3 - 0.4),[0.0-0.01),[2.6-3.0),[4.5-4.6),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BUBGAG
BUGSOL,1983,0.905,0.583029,1672.69,1646.12,0.597,0.596,8.17,8.74,1.069767442,1D,[0.8 - 1.0),[0.5 - 0.6),[1500 - 2000),[1500-2000),[0.5 - 0.6),[0.5-0.6),[10.0-72.0],[8.0-10.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BUGSOL
CAHMAZ,1984,2.284,0.387505,90.27,77.33,0.156,0.105,3.73,4.85,1.300268097,1D,[2.0 - 7.0],[0.3 - 0.4),[50 - 100),[50-100),[0.1 - 0.2),[0.1-0.2),[3.6-3.8),[4.8-5.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CAHMAZ
CEJPEM,1984,1.35,0.18737,13.14,0,0.084,0,1.5,4.24,2.826666667,1D,[1.3 - 1.4),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.4-1.6),[4.2-4.3),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=CEJPEM
