Refcode,Density (g/cm3),"Void fraction, F(He,T) (-)","Surface area, S(AC,T) (m2/g)","Pore volume, V(PO,T) (cm3/g)",Pore limiting diameter (A),Largest cavity diameter (A),Ratio LCD/PLD (-)
HECQUB,0.785,0.716587,2526.75,0.783,4.79,8.17,1.705636743
HECYUJ,1.217,0.27973,62.7,0.188,1.61,4.55,2.826086957
HEDBID,2.425,0.20205,35.6,0.08,2.61,4.45,1.704980843
HEDCAW,1.149,0.389508,642.37,0.273,5.11,6.54,1.279843444
HEDCIE,1.028,0.514555,1055.52,0.419,5.87,6.51,1.109028961
HEDDIF,1.072,0.297462,174.62,0.209,1.44,4.7,3.263888889
HEDLIM,0.905,0.598268,1025,0.532,3.92,6.41,1.635204082
HEFDED,1.178,0.253972,291.53,0.174,3.77,6.59,1.74801061
HEFDIH,1.419,0.110601,14.05,0.035,2.23,4.76,2.134529148
HEFSUJ,2.373,0.331085,282.51,0.128,4.78,5.76,1.205020921
HEFWUL,0.76,0.613529,2120.71,0.701,7.45,8.47,1.136912752
HEGCAY,1.414,0.231795,49.27,0.128,1.13,4.51,3.991150442
HEGWUN,2.111,0.144745,20.15,0.058,1.08,4.32,4
HEHVOI,1.622,0.231977,192.16,0.107,2.51,6.68,2.661354582
HEJCIL,0.832,0.597701,1481.49,0.589,8.9,9.39,1.05505618
HEJCOR,1.215,0.265741,24.69,0.146,2.9,4.38,1.510344828
HEJQAR,1.533,0.388407,376.92,0.21,4.37,5.91,1.352402746
HEJQEV,1.273,0.348692,349.41,0.234,4.22,5.7,1.3507109
HEJQIZ,1.457,0.322893,199.02,0.197,3.88,5.31,1.368556701
HEJTUO,1.522,0.254321,93.42,0.145,1.76,4.46,2.534090909
HEKSAT,1.352,0.193234,1.57,0.088,1.26,4.11,3.261904762
HEKVAW,1.442,0.313868,8.99,0.183,2.76,4.18,1.514492754
HELCEI,1.307,0.318455,106.07,0.194,1.92,4.85,2.526041667
HEMTEZ,1.911,0.370444,442.86,0.188,2.68,6.2,2.313432836
HENGEP,1.307,0.439689,634.18,0.3,3.8,5.85,1.539473684
HENVUR,0.885,0.516555,1007.63,0.517,4.14,6.37,1.538647343
HEPCIR,1.547,0.299904,21.88,0.14,2.79,4.56,1.634408602
HEPGOB,1.297,0.416541,169.85,0.227,3.55,4.88,1.374647887
HEPLUM,1.07,0.29493,417.45,0.222,2.83,5.67,2.003533569
HEQKEU,1.116,0.411303,214.44,0.313,3.82,4.51,1.180628272
HEQTAB,2.206,0.336869,142.16,0.099,1.29,5.98,4.635658915
HERFEQ,1.24,0.224227,22.48,0.12,1.56,4.4,2.820512821
HERMEZ01,1.344,0.487954,603.32,0.316,3.93,5.56,1.41475827
HERMEZ02,1.323,0.487915,624.11,0.319,3.96,5.6,1.414141414
HERMEZ03,1.302,0.489484,708.3,0.329,4.1,5.63,1.373170732
HERMEZ04,1.275,0.489662,829.61,0.341,4.08,5.68,1.392156863
HERMEZ,1.374,0.485698,578.49,0.301,3.77,5.51,1.461538462
HERNEA01,1.307,0.490031,758.85,0.328,4.69,5.53,1.179104478
HERNEA02,1.264,0.492123,847.77,0.344,4.82,5.68,1.178423237
HERNEA,1.354,0.483945,669.09,0.307,4.54,5.36,1.18061674
HERNOI,1.024,0.445465,157.69,0.363,2.73,4.89,1.791208791
HESCUG,3.534,0.205397,96.53,0.063,4.19,6.99,1.668257757
HESJOE,0.516,0.799344,6236.96,1.538,6.14,6.81,1.109120521
HESJUK,0.871,0.606111,191.96,0.673,3.47,4.63,1.334293948
HESMOK,0.814,0.634296,1374.38,0.739,4.16,5.89,1.415865385
HETZIS,1.685,0.230213,136.01,0.111,2.03,6.15,3.02955665
HETZOY,1.694,0.217663,123.17,0.099,1.99,6.02,3.025125628
HEVCER,1.339,0.269531,89.12,0.143,3.21,4.69,1.46105919
HEVGOF,1.095,0.267979,3.38,0.172,2.7,4.24,1.57037037
HEWGUM,1.337,0.197194,72.26,0.105,0.87,4.9,5.632183908
HEWVUD,1.278,0.251788,52.05,0.15,1.37,4.47,3.262773723
HEXKIF,1.299,0.175443,43.08,0.094,1.99,4.6,2.311557789
HEXQOS,1.317,0.553255,1605.77,0.442,5.25,6.99,1.331428571
HEXVEM,0.252,0.923825,5566.13,3.527,15.6,27.73,1.777564103
HEYDEV,1.801,0.274328,90.84,0.116,3.52,4.35,1.235795455
HEYTIO,0.657,0.733803,3400.17,1.141,7.11,9.69,1.362869198
HEYTOU,0.611,0.731933,3631.79,1.222,7.1,9.47,1.333802817
HEYTUA,0.603,0.728958,3702.97,1.228,7.02,9.3,1.324786325
HIBGEF,1.419,0.263509,72.36,0.18,2.87,4.51,1.571428571
HIBGIJ,1.659,0.255764,101.73,0.161,2.97,4.66,1.569023569
HIBHOS,1.426,0.177731,18.12,0.065,1.57,4.45,2.834394904
HIBHUY,1.442,0.178026,15.26,0.061,1.56,4.41,2.826923077
HIBJAG,1.447,0.179513,16.69,0.061,1.56,4.42,2.833333333
HIBSAO,1.385,0.207895,9.83,0.104,1.53,4.31,2.816993464
HIBSES,0.858,0.594723,1519.25,0.564,7.1,7.88,1.109859155
HICFOP,2.221,0.547607,161.7,0.17,3.39,4.96,1.463126844
HICGIK,1.685,0.166153,7.89,0.08,2.17,4.34,2
HICGOQ,1.62,0.16834,9.45,0.086,2.17,4.34,2
HICKOU01,1.022,0.509291,439.2,0.575,3.83,4.98,1.300261097
HICKOU,0.953,0.569647,1149.35,0.672,4.14,4.88,1.178743961
HICKUA01,1.211,0.351493,124.3,0.353,3,4.54,1.513333333
HICKUA,1.171,0.377056,201.03,0.386,2.86,4.67,1.632867133
HICLAH,0.588,0.746893,4691.92,1.344,7.78,8.99,1.155526992
HICNIT,0.456,0.848053,3866.29,1.75,11.97,16.04,1.340016708
HICQUI,1.147,0.307616,20.16,0.199,3.02,4.27,1.413907285
HICSOE,1.949,0.238285,57.51,0.082,0.98,5.52,5.632653061
HICVUM,1.421,0.486419,438.33,0.278,3.84,5.61,1.4609375
HIFFOT,1.452,0.272635,40.4,0.144,3.19,4.51,1.413793103
HIFFUZ,1.39,0.285315,86.63,0.147,3.25,4.91,1.510769231
HIFHEL,1.934,0.250448,144.7,0.089,3.78,5.83,1.542328042
HIFLAJ,0.997,0.373968,25.38,0.354,3.61,4.26,1.180055402
HIFMEP,0.523,0.738563,5277.3,1.486,6.17,7.05,1.142625608
HIFPOC,1.358,0.307071,0.47,0.192,1.92,4.1,2.135416667
HIFVAV,2.149,0.169899,10.82,0.086,1.51,4.27,2.82781457
HIFWAV,1.141,0.425534,725.9,0.33,4.08,6.53,1.600490196
HIFYOL,1.389,0.209923,4.14,0.099,2.09,4.18,2
HIGNUH,1.516,0.349278,216.46,0.164,2.61,6.03,2.310344828
HIGQOG,2.029,0.13935,0.8,0.058,2.23,4.2,1.883408072
HIGREX,1.995,0.147452,5.04,0.062,2.14,4.28,2
HIGYON,1.121,0.20682,214.71,0.149,2.84,5.68,2
HIHBEH,1.13,0.249557,214.49,0.171,3.81,5.39,1.414698163
HIHFIP,1.238,0.173665,22.6,0.088,1.55,4.39,2.832258065
HIHRAS01,0.644,0.649603,2519.22,0.904,4.78,7.35,1.537656904
HIHRAS,0.644,0.654312,2576.29,0.913,4.95,7.76,1.567676768
HIHVEB,1.367,0.16562,48.2,0.092,1.16,4.64,4
HIJKOC,1.411,0.235265,7.5,0.124,3.06,4.19,1.369281046
HIJLIV,1.366,0.164034,17.63,0.086,1.69,4.28,2.532544379
HIKMIY,1.364,0.274255,81.23,0.144,3.77,4.55,1.206896552
HIKMOG,1.252,0.356062,294.01,0.225,2.88,5.16,1.791666667
HIKMUM,1.276,0.328053,188.1,0.2,3.14,4.93,1.570063694
HIKNEX,1.192,0.404609,552.01,0.274,3.5,5.48,1.565714286
HIKTOM,1.668,0.44473,206.39,0.282,3.65,4.62,1.265753425
HIKVAA,1.734,0.403399,11.36,0.255,3.26,4.22,1.294478528
HIKVII,1.852,0.425416,17.4,0.227,3.44,4.25,1.235465116
HIKVUU,1.811,0.423625,19.45,0.235,3.42,4.22,1.233918129
HIKWAB,1.81,0.423029,19.04,0.235,3.4,4.2,1.235294118
HILJAO,0.648,0.730007,2827.78,1.077,7.53,9.47,1.257636122
HILKIZ,1.649,0.210972,6.53,0.099,2.28,4.3,1.885964912
HILKOF,1.713,0.206798,2.45,0.093,2.09,4.19,2.004784689
HIMGIU,1.261,0.290509,240.68,0.2,3.61,4.81,1.332409972
HIMSAY,0.985,0.487787,171.26,0.379,3.57,5.04,1.411764706
HINFER,2.591,0.232697,20.07,0.054,1.73,4.89,2.826589595
HINQAY,0.714,0.590537,1977.09,0.726,4.62,6.25,1.352813853
HINSUU,1.508,0.108327,14.38,0.043,2.25,4.5,2
HINTIK,1.474,0.186472,125.4,0.101,2.5,5,2
HIPYUA,0.924,0.600148,1628.59,0.599,5.4,7.31,1.353703704
HIQDOB,1.019,0.482017,788.76,0.475,4.18,5.29,1.265550239
HIQLUQ,0.635,0.752594,3212.57,1.114,7.6,8.32,1.094736842
HIQNIG,1.117,0.369031,208.75,0.186,1.97,4.99,2.532994924
HIQTUZ,1.698,0.280913,28.68,0.121,3.64,4.49,1.233516484
HIQVUZ01,1.192,0.487407,804.08,0.343,4.84,5.59,1.154958678
HIQVUZ,1.207,0.477406,765.13,0.328,4.84,5.77,1.19214876
HISSEI,0.696,0.729194,3214.09,1.075,7.05,9.46,1.341843972
HITFIA,1.364,0.391292,667.98,0.288,4.26,7.43,1.744131455
HITMUV,1.312,0.204779,44.91,0.109,1.52,4.3,2.828947368
HITQOR,1.632,0.134383,25.18,0.061,1.34,4.39,3.276119403
HITROU,1.159,0.152751,3.02,0.077,1.9,4.07,2.142105263
HIVBIA,1.341,0.332831,177.86,0.179,3.22,5.06,1.571428571
HIVPIO,1.799,0.396214,12.42,0.16,3.32,4.09,1.231927711
HIVPOU,1.796,0.396726,13.21,0.164,3.33,4.11,1.234234234
HIVQAG,1.428,0.271925,36.74,0.128,2.06,4.41,2.140776699
HIWCAS,1.424,0.195521,29.73,0.104,1.86,4.29,2.306451613
HIWDIC,1.009,0.472207,563.4,0.396,3.76,5.5,1.462765957
HIWDOI,0.977,0.468589,603.23,0.43,3.74,5.66,1.513368984
HIXQAG,1.438,0.178542,84.99,0.077,1.29,5.17,4.007751938
HIXQAH,1.395,0.186891,16.88,0.088,1.05,4.19,3.99047619
HIXWAN,1.338,0.268638,81.11,0.142,3.25,4.6,1.415384615
HIXWUG,1.006,0.436229,818.45,0.383,4.57,5.51,1.205689278
HIYBEZ,1.17,0.483304,944.56,0.332,6.47,7.25,1.120556414
HIYBUN,1.118,0.535738,1133.14,0.45,9.55,9.99,1.046073298
HIYGUT,1.604,0.096581,11.81,0.046,1.1,4.39,3.990909091
HIYJEG,1.137,0.420152,372.06,0.269,2.14,5.42,2.53271028
HIYPUB,1.364,0.390001,655.99,0.285,4.27,7.45,1.744730679
HIYYIY,1.195,0.091415,14.51,0.044,1.62,4.6,2.839506173
HIYZEV01,1.418,0.250528,198.37,0.14,1.46,5.84,4
HIZHUT,2.047,0.16302,3.74,0.056,2.21,4.16,1.882352941
HIZKAE,1.288,0.216242,0.14,0.11,2.36,4.03,1.707627119
HIZSIU,1.404,0.188661,58.58,0.102,3.31,4.69,1.416918429
HOBBOR,0.805,0.546994,1170.6,0.581,4.93,6.4,1.298174442
HOBSUP,1.1,0.377869,200.49,0.216,2.58,4.86,1.88372093
HOCCOS,1.059,0.35787,552.56,0.285,4.17,5.41,1.29736211
HOCDIO,1.546,0.338253,9.79,0.212,2.57,4.2,1.634241245
HOCXEF,1.61,0.413412,204.18,0.212,3.69,5.07,1.37398374
HOCZAD,0.482,0.752408,4405.71,1.459,7.81,10.34,1.323943662
HODHUG,1.336,0.266884,13.98,0.149,2.79,4.21,1.508960573
HOFBAH,1.07,0.659866,1310.8,0.564,4.12,7.56,1.834951456
HOFKAR,1.408,0.273075,89.4,0.135,2.96,4.64,1.567567568
HOFRIG,3.165,0.121154,13.26,0.028,1.8,4.55,2.527777778
HOFSOL,0.782,0.661145,2134.94,0.77,3.97,6.22,1.56675063
HOFZAD,1.2,0.28232,22.82,0.161,2.43,4.34,1.78600823
HOGSEC,2.187,0.09803,2.85,0.025,1.07,4.29,4.009345794
HOGSIG,1.28,0.348744,300.03,0.229,3.52,4.98,1.414772727
HOGTEE,1.241,0.149151,53.4,0.082,1.68,4.75,2.827380952
HOGTOM,1.772,0.293314,348.25,0.161,4.9,7.54,1.53877551
HOHJAR,1.398,0.241753,52.42,0.129,2.11,4.52,2.142180095
HOHJEV,0.912,0.443595,551.44,0.393,3.83,6,1.566579634
HOKVUA,1.958,0.645874,1134.97,0.36,6.86,8.14,1.186588921
HOKYUD,1.381,0.257827,64.53,0.122,1.16,4.64,4
HOLRIL,1.326,0.268992,278.7,0.173,2.41,5.57,2.31120332
HOMDOE,1.363,0.122711,10.64,0.06,1.09,4.34,3.981651376
HOMQAD,1.38,0.189123,24.46,0.087,1.13,4.5,3.982300885
HOMSEJ,1.551,0.225293,79.08,0.096,3.49,5.09,1.458452722
HOMTAE,0.95,0.450486,548.08,0.39,3.84,4.74,1.234375
HOMTEI,0.955,0.457768,559.55,0.387,3.86,4.76,1.233160622
HOMTIM01,0.956,0.4373,628.62,0.38,4.41,5.2,1.179138322
HOMTIM,0.933,0.447968,713.07,0.404,4.35,5.37,1.234482759
HOMTOS,0.944,0.448845,687.3,0.399,4.38,5.28,1.205479452
HOMZEP,1.651,0.228864,111.82,0.116,1.05,5.92,5.638095238
HONBES,0.535,0.730468,3980.43,1.241,4.75,9.65,2.031578947
HONCIY,1.686,0.251244,85.48,0.102,3.95,4.66,1.179746835
HONDEV,1.329,0.2439,148.74,0.123,4.13,5.51,1.334140436
HONROS,0.921,0.434155,281.93,0.32,2.82,5.05,1.790780142
HONRUY,0.953,0.411826,142.6,0.315,2.87,4.34,1.512195122
HONXEP,1.305,0.265325,139.18,0.137,2.31,4.94,2.138528139
HOPDIB,0.671,0.733793,2523.45,0.954,4.52,7.54,1.668141593
HOPDOH,1.381,0.084607,5.93,0.038,1.44,4.69,3.256944444
HOPTUC,1.065,0.298069,351.02,0.222,3.72,5.84,1.569892473
HOPXOA,1.325,0.250493,140.54,0.14,3.59,4.66,1.298050139
HOPZES,1.217,0.345373,506.64,0.237,2.97,7.93,2.67003367
HOQBAR01,0.8,0.592777,1949.9,0.665,8.09,8.54,1.055624227
HOQDAT,0.888,0.611261,1268.01,0.629,10.85,12.56,1.157603687
HOQGAX,1.766,0.34121,0.12,0.138,2.6,4.08,1.569230769
HOQMIL01,1.16,0.424133,529.52,0.274,4.42,5.45,1.233031674
HOQMIL02,1.145,0.433564,551.11,0.28,4.59,5.54,1.206971678
HOQMIL03,1.153,0.433739,538.44,0.28,4.46,5.51,1.235426009
HOQMIL04,1.14,0.429287,543,0.281,4.52,5.58,1.234513274
HOQYUI,2.151,0.204145,9.58,0.094,2.11,4.22,2
HOQZIX,3.863,0.085137,11.08,0.021,2.44,4.88,2
HORJIJ,1.368,0.270227,119.49,0.15,2.99,4.89,1.635451505
HOSDAW,1.756,0.163061,3.51,0.076,2.45,4.19,1.710204082
HOSPUC,1.297,0.578433,624.22,0.419,4,5.48,1.37
HOSXIX,0.598,0.712775,2902.52,1.051,6.17,7.71,1.249594814
HOTNAG,0.67,0.683475,2512.35,0.906,7.19,8.87,1.233657858
HOVFAA,1.475,0.20732,113.81,0.108,3.4,4.81,1.414705882
HOVGIK,1.128,0.479869,512.29,0.328,3.82,5.77,1.510471204
HOVVIZ,1.334,0.20791,26.35,0.117,2.57,4.39,1.708171206
HOWHUY,0.627,0.748922,3491.68,1.186,7.29,9.79,1.342935528
HOWPEQ,1.261,0.433669,512.46,0.315,3.95,5.12,1.296202532
HOWQOA,1.122,0.46458,818,0.35,1.61,7.46,4.633540373
HOWRES,1.106,0.343425,262.42,0.263,3.54,4.6,1.299435028
HOWRUI,1.13,0.52186,1022.33,0.381,4.29,6.73,1.568764569
HOWSAP,1.155,0.509798,958.4,0.361,4.03,6.58,1.632754342
HOXHUY,3.076,0.244861,129.51,0.077,3.57,6.23,1.745098039
HOXKUB,1.898,0.249507,84.56,0.095,1.7,4.82,2.835294118
HOXLOV,1.04,0.315595,84.24,0.253,2.95,4.46,1.511864407
HOXSIY,1.503,0.23999,1.32,0.103,1.65,4.16,2.521212121
HOXYIE,1.115,0.36029,181.08,0.258,3.53,5.15,1.458923513
HOXZEB,1.615,0.250299,2.04,0.141,2.4,4.1,1.708333333
HOYJOU,0.777,0.522575,1292.99,0.603,5.72,6.53,1.141608392
HOYLIS,1.351,0.582497,1471.41,0.396,5.83,6.47,1.109777015
HOYROE,1.778,0.187773,0.06,0.083,1.93,4.12,2.134715026
HOYVAT,1.536,0.173283,51.2,0.093,1.8,4.55,2.527777778
HOZHOU,1.228,0.432291,977.11,0.351,7.01,9.29,1.325249643
HOZHOV,3.473,0.158698,65.72,0.044,2.32,4.97,2.142241379
HUBQEA,1.649,0.567062,25.7,0.175,2.81,4.41,1.569395018
HUBWUY,1.2,0.272824,324.9,0.182,3.81,5.56,1.459317585
HUCFAO,1.243,0.366886,190.43,0.255,2.5,5,2
HUCJIZ,0.837,0.47764,258.02,0.503,2.41,4.54,1.883817427
HUCPUS,2.666,0.085042,5.75,0.032,1.11,4.43,3.990990991
HUCVAE,0.917,0.527497,1482.07,0.513,6.07,7.49,1.233937397
HUCXEK,1.463,0.232389,35.73,0.11,1.33,4.34,3.263157895
HUCXIO,1.474,0.231594,37.97,0.109,1.33,4.35,3.270676692
HUCXOU,1.483,0.232322,35.85,0.111,1.32,4.32,3.272727273
HUDMAW,1.413,0.223619,110.17,0.119,3.33,5.67,1.702702703
HUDMEA,1.419,0.20046,101.46,0.109,2.36,5.69,2.411016949
HUDMOJ,1.358,0.160021,26.71,0.081,1.44,4.69,3.256944444
HUDWOS,0.981,0.306542,45.37,0.223,2.18,4.35,1.995412844
HUFLOL,1.536,0.238264,82.71,0.153,3.58,4.42,1.234636872
HUFLUR,1.481,0.254315,57.97,0.156,3.25,4.46,1.372307692
HUFMOM,1.874,0.183779,0.99,0.084,2.93,4.14,1.412969283
HUFMUS,1.6,0.262795,96.56,0.152,3.42,4.69,1.371345029
HUFNED,1.678,0.232109,2.7,0.123,3.18,4.12,1.295597484
HUFTAF,1.352,0.249514,2.94,0.2,2.76,4.17,1.510869565
HUFTIN,1.567,0.371442,193.64,0.244,3.43,4.46,1.300291545
HUGQUV,1.207,0.221342,33.1,0.117,1.15,4.62,4.017391304
HUGYOZ,0.676,0.747808,2994.29,1.012,6.9,7.89,1.143478261
HUHHOI,2.257,0.270715,80.72,0.092,2.21,4.72,2.135746606
HUHLIH,1.285,0.119208,20.18,0.06,1.33,4.34,3.263157895
HUHLOL,1.368,0.325617,126.45,0.206,3.32,5.03,1.515060241
HUJBOD,1.087,0.158426,62.17,0.096,1.12,4.49,4.008928571
HUJVEN,0.932,0.573889,811.84,0.545,3.91,5.36,1.37084399
HUJVIR,0.862,0.570966,835.3,0.579,3.93,5.39,1.371501272
HUJVOX,0.956,0.425823,66.26,0.384,3.02,4.4,1.456953642
HUKDOG,1.557,0.284061,385.05,0.154,4.87,6.08,1.248459959
HUKSEM,1.282,0.393548,393.36,0.215,3.93,5.39,1.371501272
HULCOI,0.573,0.834877,3431.69,1.331,6.89,19.2,2.786647315
HULHEC,1.444,0.441916,168.87,0.311,3.72,4.39,1.180107527
HULMAE,0.839,0.61023,1930.39,0.686,7.22,9.07,1.256232687
HULTIT,0.957,0.609581,1616.61,0.564,7.31,8.11,1.109439124
HUMBIA,0.873,0.48478,536.07,0.451,3.11,5.71,1.836012862
HUNMOU,1.466,0.107107,5.44,0.051,1.06,4.22,3.981132075
HUPRAM,0.782,0.605078,1753.6,0.692,7.79,9.35,1.200256739
HUPTAP,1.275,0.264673,241.55,0.159,1.34,6.19,4.619402985
HUPYUN,1.162,0.32973,371.13,0.209,3.61,4.95,1.371191136
HUPZOH,0.867,0.38969,931.55,0.378,4.16,6.8,1.634615385
HUQFEG,1.538,0.143309,22.07,0.058,2.22,4.74,2.135135135
HURBED,1.389,0.550752,1321.98,0.396,6.3,7.51,1.192063492
HURFEH,1.027,0.587553,1256.68,0.491,4.77,7.08,1.48427673
HUSGEJ,1.646,0.252071,6.98,0.109,1.33,4.34,3.263157895
HUTGOT,1.373,0.203331,0.95,0.118,1.44,4.08,2.833333333
HUTGUZ,1.415,0.298855,298.48,0.164,4.23,5.1,1.205673759
HUTHIO,0.789,0.598404,2140.45,0.684,6.4,7.99,1.2484375
HUTHOU,0.807,0.602236,1661.47,0.664,4.74,6.93,1.462025316
HUTTEV,1.319,0.338306,187.51,0.198,2.66,4.75,1.785714286
HUTWUQ,1.109,0.399215,556.09,0.29,3.63,6.66,1.834710744
HUTXAX,1.13,0.39757,510.73,0.278,3.51,6.62,1.886039886
HUTXEB,1.149,0.396906,506.93,0.272,3.38,6.55,1.937869822
HUTXIE,1.355,0.257091,40.18,0.143,3.05,4.31,1.413114754
HUTZAX01,1.415,0.219316,85.51,0.111,3.57,4.9,1.37254902
HUVBIK,1.638,0.456614,135.34,0.249,3.62,4.47,1.23480663
HUVFAF,0.956,0.476904,849.15,0.428,5.15,6.69,1.299029126
HUVGEM,1.605,0.307613,4.85,0.137,3.39,4.18,1.233038348
HUVHIR,1.588,0.344681,325.64,0.174,3.06,6.11,1.996732026
HUVJUD,1.226,0.373255,497.04,0.243,4.68,5.4,1.153846154
HUVMUH,1.232,0.225165,22.95,0.155,2.65,4.53,1.709433962
HUVVUR,1.504,0.139746,19.41,0.058,1.53,4.34,2.836601307
HUVYII,0.913,0.554324,1376.4,0.553,8.67,9.26,1.06805075
HUVYOO,0.904,0.554995,1390.29,0.562,8.7,9.34,1.073563218
HUWBUX,1.397,0.244745,0.18,0.104,2.58,4.05,1.569767442
HUWDEJ,1.268,0.265057,84.58,0.133,3,4.54,1.513333333
HUWHOW01,1.134,0.413992,633.9,0.353,4.56,4.97,1.089912281
HUWHOW,1.123,0.448192,732.58,0.379,4.73,5.15,1.088794926
HUWKEP,0.591,0.657314,3646.9,1.154,5.96,7.45,1.25
HUWKIT,0.59,0.657517,3661.31,1.162,5.85,7.49,1.28034188
HUWLUI,1.219,0.590547,1057,0.417,4.29,8.2,1.911421911
HUWNUK,1.336,0.432774,248.9,0.239,3.39,5.54,1.634218289
HUWPEW,1.244,0.439775,263.92,0.255,3.1,5.55,1.790322581
HUWVUR,1.577,0.186245,66.8,0.079,1.54,5.02,3.25974026
HUWXEE,1.275,0.334047,238.35,0.196,3.74,4.99,1.334224599
HUWYED,1.069,0.365912,281.56,0.261,3.33,5.22,1.567567568
HUXDAF,1.504,0.150655,0.27,0.067,1.02,4.07,3.990196078
HUXDOT,1.62,0.287865,5.96,0.156,2.1,4.2,2
HUYBAG,1.51,0.388212,476.88,0.223,4.75,5.38,1.132631579
HUYREA,1.131,0.103321,28.39,0.064,1.08,4.32,4
HUYWUV,1.497,0.166031,32.24,0.08,1.65,4.68,2.836363636
HUYXEG,1.603,0.198387,109.9,0.105,2.08,5.25,2.524038462
HUZFIS,0.927,0.534375,361.22,0.452,2.9,5.19,1.789655172
HUZGOZ,1.243,0.286412,87.47,0.167,1.35,4.42,3.274074074
HUZKET,1.909,0.396485,3.16,0.162,2.65,4.16,1.569811321
HUZLAQ,2.084,0.353793,35.6,0.119,2.41,4.3,1.784232365
HUZSUR,0.985,0.440384,992.78,0.395,7.21,8.42,1.167822469
IBABOF01,1.102,0.521132,679.48,0.381,4.01,5.67,1.413965087
IBABOF,1.101,0.522098,663.11,0.377,4,5.74,1.435
IBABUL,1.097,0.532501,694.81,0.389,3.98,5.91,1.484924623
IBACAS,1.099,0.527677,698.29,0.385,4.11,5.82,1.416058394
IBARUA,1.979,0.305245,239.61,0.12,4.73,6.68,1.412262156
IBASAH,1.954,0.306914,246.51,0.123,4.83,6.73,1.393374741
IBASEL,1.772,0.311415,291.6,0.151,4.86,6.98,1.436213992
IBASOV,1.823,0.309231,277.27,0.142,4.68,6.83,1.459401709
IBASUB,1.868,0.30856,264.06,0.133,4.71,6.77,1.437367304
IBATAI,1.799,0.307929,278.81,0.143,4.73,6.91,1.460887949
IBATEM,1.903,0.307301,254.78,0.13,4.68,6.72,1.435897436
IBEKOR,1.712,0.109198,5.95,0.041,1.08,4.33,4.009259259
IBERUE,1.171,0.369441,285.49,0.234,2.33,5.37,2.30472103
IBICAZ,1.071,0.420839,831.07,0.342,9.54,9.73,1.019916143
IBICED,1.225,0.41193,688.89,0.293,9.65,9.89,1.024870466
IBICIH,1.068,0.420698,826.13,0.34,9.56,9.79,1.024058577
IBICON,1.223,0.414126,690.91,0.295,9.6,9.87,1.028125
IBICUT,1.068,0.425832,827.59,0.346,9.69,9.93,1.024767802
IBIDAA,1.21,0.420155,717.4,0.301,9.69,9.92,1.02373581
IBIJIP,1.548,0.30185,6.33,0.196,2.8,4.23,1.510714286
IBIJOV,1.46,0.451713,8.87,0.255,3.25,4.21,1.295384615
IBISET,1.424,0.265392,62.04,0.134,1.94,4.47,2.304123711
IBITUK,1.336,0.208754,21.26,0.118,2.01,4.31,2.144278607
IBIXID,1.499,0.217505,0.6,0.103,1.25,4.07,3.256
IBODAE,0.776,0.540153,807.79,0.581,3.69,6.03,1.634146341
IBODUY,1.479,0.207192,15.94,0.096,2.53,4.53,1.790513834
IBOQAU,1.251,0.324753,96.18,0.185,2.34,4.67,1.995726496
IBOREW,1.204,0.21801,123.41,0.125,1.33,5.3,3.984962406
IBORIA,1.277,0.182101,58.26,0.09,1.17,4.68,4
IBOYII,0.764,0.564032,1326.51,0.7,11.9,13.33,1.120168067
IBUVOR01,0.835,0.611981,1876.32,0.659,8.12,9.53,1.17364532
IBUVUX,1.209,0.177959,24.82,0.109,3.52,4.34,1.232954545
IBUYIP,0.999,0.433502,109.64,0.34,3.33,4.57,1.372372372
ICACAQ,1.238,0.116373,10.52,0.061,1.54,4.36,2.831168831
ICAFIE,1.601,0.198933,44.45,0.094,3.36,4.75,1.413690476
ICANAD,2.013,0.3112,134.12,0.128,2.57,7.27,2.828793774
ICAWUF,1.235,0.230497,299.67,0.142,7.34,7.85,1.069482289
ICEGED,1.261,0.387145,388.55,0.252,3.03,5.88,1.940594059
ICENIP,1.365,0.110456,0.48,0.055,1.01,4.06,4.01980198
ICEPIQ,1.384,0.412798,626,0.265,3.91,6.82,1.744245524
ICIDUT,0.726,0.636898,1960.3,0.78,4.4,7.03,1.597727273
ICIFAB,0.756,0.62714,1642.69,0.725,3.88,6.94,1.788659794
ICISOD,1.325,0.257597,50.99,0.09,3.57,4.63,1.296918768
ICIVAS,1.531,0.183826,137.18,0.108,1.9,5.39,2.836842105
ICODIP01,0.806,0.660015,1708.8,0.723,9.64,12.43,1.289419087
ICODIP,0.814,0.664499,1706.32,0.719,9.63,12.41,1.288681205
ICONIY,1.208,0.379358,516.5,0.258,4,4.62,1.155
ICORAV,1.85,0.294635,385.92,0.147,4.12,5.08,1.233009709
ICOWON,1.389,0.377679,370.07,0.225,3.78,5.35,1.415343915
ICOYIK,1.78,0.111943,2.77,0.048,1.93,4.12,2.134715026
ICUKOG,1.125,0.186775,31.72,0.139,2.5,4.47,1.788
IDAFUP,1.188,0.274833,0.37,0.172,2.18,4.11,1.885321101
IDAGEA,0.993,0.444557,1133.86,0.357,5.52,6.01,1.088768116
IDAJUV,1.147,0.288198,321.12,0.202,2.85,6.86,2.407017544
IDAKAC,0.567,0.679735,2233.14,1.133,11.59,14.02,1.209663503
IDANOR,0.638,0.714239,3724.33,1.108,6.77,8.03,1.186115214
IDAZAQ,2.198,0.128021,28.23,0.051,1.07,4.29,4.009345794
