Refcode,Density (g/cm3),"Void fraction, F(He,T) (-)","Surface area, S(AC,T) (m2/g)","Pore volume, V(PO,T) (cm3/g)",Pore limiting diameter (A),Largest cavity diameter (A),Ratio LCD/PLD (-)
AJOHOY,1.235,0.250472,302.48,0.156,2.77,6.67,2.407942238
AJOTOK,1.375,0.509017,386.15,0.339,3.59,4.79,1.334261838
AJOVEB,2.006,0.146809,24.19,0.061,4.04,4.99,1.235148515
AJUFUI,1.363,0.268626,136.42,0.156,1.67,4.73,2.832335329
AJUNOK,1.437,0.280048,90.08,0.142,2.68,4.8,1.791044776
AKAXIU,1.341,0.476471,739.35,0.304,8.94,9.43,1.054809843
AKAXOA,1.32,0.485735,757.42,0.318,9.43,9.99,1.059384942
AKAXUG,1.356,0.471226,730.41,0.299,8.68,9.32,1.073732719
AKAYAN,1.42,0.438526,687.72,0.265,7.31,7.88,1.077975376
AKAYER,1.312,0.478837,766.97,0.315,8.88,9.37,1.05518018
AKEBAV,1.264,0.25591,61.21,0.159,1.15,4.59,3.991304348
AKECEA,1.322,0.348879,77.7,0.215,3.31,4.41,1.332326284
AKECIE,1.23,0.400607,353.28,0.258,3.21,5.25,1.635514019
AKEDAX,1.007,0.380572,23.06,0.289,3.1,4.39,1.416129032
AKICUT01,0.927,0.510926,1710.11,0.535,6.45,7.37,1.142635659
AKIMIS,0.804,0.604676,1806.46,0.671,7.12,7.97,1.119382022
AKINAK,2.367,0.166755,11.16,0.059,1.77,4.48,2.531073446
AKIQUG,0.816,0.558306,1554.1,0.667,9.8,10.08,1.028571429
AKITUL,1.056,0.466235,205.14,0.354,3.61,4.56,1.263157895
AKIYOI,0.963,0.620615,2077.39,0.626,4.95,5.84,1.17979798
AKIYOK,1.216,0.220178,33.36,0.111,2.73,4.45,1.63003663
AKIYUQ,1.303,0.214015,39.05,0.111,2.92,4.41,1.510273973
AKIZEZ,0.841,0.645834,1574.57,0.746,4.47,5.65,1.263982103
AKIZUR,1.125,0.294537,8.99,0.201,2.91,4.12,1.41580756
AKOBAF,1.195,0.29606,62.64,0.192,3.26,4.47,1.371165644
AKUJOH,1.156,0.378833,61.57,0.236,2.93,4.43,1.511945392
AKUMIE,0.793,0.662146,1239.38,0.695,4.25,5.02,1.181176471
AKURIH01,0.667,0.676269,2839.29,0.918,7.99,8.86,1.108886108
ALATIR,1.595,0.216174,78.25,0.108,1.24,4.96,4
ALATOX,1.618,0.186481,31.96,0.095,1.42,4.63,3.26056338
ALECUP,1.216,0.434523,465.48,0.375,3.67,5.03,1.370572207
ALEQEP,0.731,0.637978,2117.75,0.741,6.36,7.58,1.191823899
ALESAN,0.751,0.633798,2005.8,0.718,5.89,7.45,1.264855688
ALEZEY,1.499,0.08579,2.16,0.035,2.88,4.2,1.458333333
ALIFOS,1.409,0.252238,56.79,0.125,2.67,4.56,1.707865169
ALIFUY,1.381,0.225565,12.04,0.116,2.42,4.32,1.785123967
ALIHEJ,1.034,0.221585,0.1,0.132,2.05,4.1,2
ALIHUY,1.52,0.239682,89.45,0.114,1.61,4.57,2.838509317
ALIJUB,0.919,0.272584,144.05,0.238,2.69,4.38,1.628252788
ALIWEX,2.3,0.270012,42.61,0.089,2.73,4.65,1.703296703
ALOLES,2.08,0.410734,208.11,0.164,3.88,5.17,1.332474227
ALONOE,1.499,0.272287,71.08,0.136,3.12,4.72,1.512820513
ALTRMN,1.02,0.296251,10.06,0.271,3.07,4.21,1.371335505
ALUKIC,0.73,0.703166,2953.25,0.866,4.58,6.37,1.390829694
ALUKOI,0.743,0.70224,2892.67,0.851,4.56,6.35,1.39254386
ALUKUO,0.746,0.703308,2837.79,0.847,4.64,6.37,1.372844828
ALULAV,0.755,0.704111,2801.53,0.832,4.57,6.36,1.391684902
ALURAB,1.051,0.434941,558.42,0.321,3.47,6.74,1.942363112
ALUREF,1.053,0.435477,555.43,0.315,3.46,6.71,1.939306358
AMAGOL,0.51,0.779341,4942.18,1.565,8.71,9.67,1.11021814
AMAPIN,1.195,0.336543,181.87,0.204,3.15,4.94,1.568253968
AMAPUZ,0.94,0.458001,721.39,0.421,4.35,5.37,1.234482759
AMAQAG02,1.174,0.273303,67.41,0.181,1.69,4.29,2.538461538
AMAQAG,1.174,0.272125,67.18,0.177,1.7,4.3,2.529411765
AMAQEK,1.255,0.292071,107.43,0.178,2.96,4.48,1.513513514
AMEQUF,1.198,0.250176,0.06,0.135,2.93,4.02,1.372013652
AMILOY,1.059,0.459139,821.88,0.35,9,10.67,1.185555556
AMILUE,1.033,0.469717,858.77,0.371,10.79,11.19,1.037071362
AMIMAL,1.04,0.463582,863.36,0.362,9.26,10.81,1.167386609
AMIMAM,1.251,0.247377,2.8,0.165,1.46,4.14,2.835616438
AMINUF,1.358,0.383814,335.04,0.215,2.95,5.57,1.888135593
AMIYIF,1.347,0.456215,164.97,0.296,3.65,5.33,1.460273973
AMOCAH,1.674,0.470621,375.23,0.274,3.78,5.19,1.373015873
AMOFAK,0.74,0.697311,2508.86,0.834,4.81,6.6,1.372141372
AMOYOR,1.169,0.291604,154.6,0.179,3.79,4.57,1.205804749
AMUBIU,1.502,0.176045,141.96,0.084,3.31,6.63,2.003021148
AMUBOA,0.767,0.656571,1443.57,0.808,4.72,6.21,1.315677966
AMUCAN,1.377,0.211449,249.46,0.124,2.7,5.4,2
AMULOK,1.273,0.317479,53.32,0.175,2.81,4.41,1.569395018
AMULUQ,1.232,0.365901,109.22,0.205,2.91,4.97,1.70790378
AMUMEB,1.24,0.362123,103.16,0.203,2.93,4.78,1.631399317
AMUPOP,1.302,0.228292,23.1,0.125,3.51,4.44,1.264957265
AMUQEG,1.069,0.431816,494.4,0.321,2.39,6.36,2.661087866
AMURUX,1.254,0.238322,4.33,0.196,1.93,4.13,2.139896373
AMUSOR,1.233,0.273759,49.14,0.164,2.29,4.57,1.995633188
AMUWIP,0.55,0.847286,4526.06,1.444,8.59,11.29,1.314318976
AMUXIR,1.017,0.433694,733.9,0.338,3.99,5.32,1.333333333
AMUYAK,0.63,0.716032,2549.73,0.985,6.25,7,1.12
AMUYEO,0.712,0.591194,1006.82,0.782,3.13,4.9,1.565495208
ANAGIH,1.184,0.512146,627.51,0.353,4.62,5.85,1.266233766
ANAGUS,1.37,0.246502,33.9,0.116,2.73,4.47,1.637362637
ANAHED,1.873,0.314058,250.09,0.164,3.65,5.96,1.632876712
ANAWIX,1.603,0.409178,300.43,0.216,3.95,4.99,1.263291139
ANAWOD,1.438,0.575983,825.23,0.32,5.83,6.81,1.168096055
ANEFIK,0.775,0.719219,2993.26,0.939,6.46,7.97,1.23374613
ANEHOS,1.451,0.279185,69.47,0.135,2.79,4.56,1.634408602
ANEQEQ,0.496,0.813309,6115.86,1.594,6.06,7.48,1.234323432
ANEQIU,1.045,0.486274,299.74,0.374,2.8,5.27,1.882142857
ANESOC,1.601,0.154406,41.3,0.1,1.66,4.69,2.825301205
ANIDAD,1.377,0.371785,124.87,0.207,3.21,4.86,1.514018692
ANODOX,1.398,0.153851,43.15,0.074,1.66,4.68,2.819277108
APAQAL,1.172,0.189698,8.93,0.096,2.39,4.28,1.790794979
APINAP01,1.164,0.275845,94.06,0.168,1.11,4.46,4.018018018
