Refcode,Year,MOF Density (g/cm3),Helium Void Fraction (-),Surface Area (m2/g),Free Volume (cm3/g),Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3),Helium void fraction (-),Surface area (m2/g),Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),LCD/PLD (-)
COLVEE,1985,1.352,0.235,214.210,0.138,4.500,4.720,1.049,1D,[1.3-1.4),[0.2-0.3),[200-300),[0.1-0.2),[4.5-5.0),[4.6-4.8),[1.0-1.1)
CORMIF,1985,0.880,0.587,1680.250,0.604,5.780,7.400,1.280,1D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.6-0.8),[5.0-6.0),[7.0-8.0),[1.2-1.3)
COKDUB,1985,0.801,0.691,2609.070,0.920,7.600,8.350,1.099,1D,[0.8-1.0),[0.6-0.7),[2000-3000),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.0-1.1)
CUHBOW,1985,0.705,0.520,1458.100,0.712,10.750,11.510,1.071,1D,[0.6-0.8),[0.5-0.6),[1250-1500),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.0-1.1)
DEWDOY,1986,1.736,0.156,14.070,0.088,2.180,4.370,2.005,2D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[4.3-4.4),[2.0-2.5)
DELTUJ,1986,1.164,0.191,10.130,0.111,2.550,4.160,1.631,2D,[1.1-1.2),[0.1-0.2),[0-50),[0.1-0.2),[2.2-2.6),[3.9-4.2),[1.6-1.8)
DEHFUR,1986,1.127,0.414,566.280,0.354,2.730,6.060,2.220,3D,[1.1-1.2),[0.4-0.5),[500-600),[0.3-0.4),[2.6-3.0),[6.0-6.5),[2.0-2.5)
DISTUU,1986,0.817,0.570,1005.780,0.619,3.980,5.630,1.415,1D,[0.8-1.0),[0.5-0.6),[1000-1250),[0.6-0.8),[3.8-4.0),[5.6-6.0),[1.4-1.5)
DAHWUE,1986,1.065,0.581,1524.410,0.561,9.680,10.440,1.079,1D,[1.0-1.1),[0.5-0.6),[1500-2000),[0.5-0.6),[10.0-72.0],[8.0-72.0],[1.0-1.1)
FAFMAA,1987,1.941,0.186,32.340,0.077,0.870,4.920,5.655,NON-POROUS,[1.8-2.0),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.8-5.0),[5.0-12.0]
FAFMEE,1987,1.859,0.181,34.520,0.080,0.870,4.940,5.678,NON-POROUS,[1.8-2.0),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.8-5.0),[5.0-12.0]
FEFNAF,1987,2.212,0.215,16.680,0.096,2.320,4.370,1.884,1D,[2.0-7.0],[0.2-0.3),[0-50),[0.0-0.1),[2.2-2.6),[4.3-4.4),[1.8-2.0)
DUYWAV,1987,1.389,0.241,59.550,0.137,2.810,4.800,1.708,1D,[1.3-1.4),[0.2-0.3),[50-100),[0.1-0.2),[2.6-3.0),[4.8-5.0),[1.6-1.8)
FEWNEA,1987,1.160,0.243,0.080,0.175,2.840,4.020,1.415,1D,[1.1-1.2),[0.2-0.3),[0-50),[0.1-0.2),[2.6-3.0),[3.9-4.2),[1.4-1.5)
DUDCEK01,1987,1.274,0.222,5.490,0.144,3.020,4.150,1.374,1D,[1.2-1.3),[0.2-0.3),[0-50),[0.1-0.2),[3.0-3.3),[3.9-4.2),[1.3-1.4)
FAFVIR,1987,1.580,0.270,8.560,0.160,3.270,4.140,1.266,2D,[1.5-1.6),[0.2-0.3),[0-50),[0.1-0.2),[3.0-3.3),[3.9-4.2),[1.2-1.3)
