Refcode,Year,MOF Density (g/cm3),Helium Void Fraction (-),Surface Area (m2/g),Free Volume (cm3/g),Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3),Helium void fraction (-),Surface area (m2/g),Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),LCD/PLD (-)
LICZIH,2007,1.238,0.461,816.190,0.304,5.200,5.710,1.098,1D,[1.2-1.3),[0.4-0.5),[800-1000),[0.3-0.4),[5.0-6.0),[5.6-6.0),[1.0-1.1)
NEVLAD,2007,1.549,0.526,902.730,0.294,5.240,6.180,1.179,1D,[1.5-1.6),[0.5-0.6),[800-1000),[0.2-0.3),[5.0-6.0),[6.0-6.5),[1.1-1.2)
RIDPAW,2007,0.903,0.588,1337.220,0.542,5.270,7.230,1.372,1D,[0.8-1.0),[0.5-0.6),[1250-1500),[0.5-0.6),[5.0-6.0),[7.0-8.0),[1.3-1.4)
WESZIE,2007,0.894,0.563,1871.680,0.591,5.270,7.450,1.414,1D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.5-0.6),[5.0-6.0),[7.0-8.0),[1.4-1.5)
KIDPOD,2007,0.746,0.740,3550.450,0.901,5.350,6.060,1.133,1D,[0.6-0.8),[0.7-0.8),[3000-10250],[0.8-1.0),[5.0-6.0),[6.0-6.5),[1.1-1.2)
NEVLAC,2007,1.537,0.518,831.590,0.297,5.460,6.440,1.179,1D,[1.5-1.6),[0.5-0.6),[800-1000),[0.2-0.3),[5.0-6.0),[6.0-6.5),[1.1-1.2)
REYRUJ,2007,1.116,0.342,654.570,0.272,5.500,6.220,1.131,1D,[1.1-1.2),[0.3-0.4),[600-800),[0.2-0.3),[5.0-6.0),[6.0-6.5),[1.1-1.2)
PEPXUE,2007,1.630,0.304,419.220,0.165,5.570,6.870,1.233,1D,[1.6-1.8),[0.3-0.4),[400-500),[0.1-0.2),[5.0-6.0),[6.5-7.0),[1.2-1.3)
WIBNOL,2007,0.842,0.631,2304.800,0.732,5.630,8.520,1.513,2D,[0.8-1.0),[0.6-0.7),[2000-3000),[0.6-0.8),[5.0-6.0),[8.0-10.0),[1.5-1.6)
MIDXON,2007,0.784,0.571,1758.830,0.687,5.670,7.660,1.351,1D,[0.6-0.8),[0.5-0.6),[1500-2000),[0.6-0.8),[5.0-6.0),[7.0-8.0),[1.3-1.4)
EDEDUN01,2007,0.456,0.723,5648.200,1.677,5.670,7.000,1.235,1D,[0.0-0.6),[0.7-0.8),[3000-10250],[1.5-2.0),[5.0-6.0),[7.0-8.0),[1.2-1.3)
GICRIU,2007,1.001,0.621,1191.630,0.524,5.680,6.560,1.155,1D,[1.0-1.1),[0.6-0.7),[1000-1250),[0.5-0.6),[5.0-6.0),[6.5-7.0),[1.1-1.2)
GIDLOV,2007,0.606,0.748,3055.660,1.081,5.710,7.830,1.371,1D,[0.6-0.8),[0.7-0.8),[3000-10250],[1.0-1.5),[5.0-6.0),[7.0-8.0),[1.3-1.4)
HIFMEP,2007,0.523,0.739,5277.300,1.486,5.710,7.050,1.235,1D,[0.0-0.6),[0.7-0.8),[3000-10250],[1.0-1.5),[5.0-6.0),[7.0-8.0),[1.2-1.3)
UFAYEF01,2007,0.538,0.732,4057.800,1.301,5.710,6.730,1.179,1D,[0.0-0.6),[0.7-0.8),[3000-10250],[1.0-1.5),[5.0-6.0),[6.5-7.0),[1.1-1.2)
EDEDUN,2007,0.447,0.731,5761.110,1.720,5.790,7.140,1.233,1D,[0.0-0.6),[0.7-0.8),[3000-10250],[1.5-2.0),[5.0-6.0),[7.0-8.0),[1.2-1.3)
KIDYUS,2007,0.469,0.807,5073.230,1.640,5.830,8.370,1.436,1D,[0.0-0.6),[0.8-0.9),[3000-10250],[1.5-2.0),[5.0-6.0),[8.0-10.0),[1.4-1.5)
VEWYUS,2007,0.650,0.711,2885.430,0.982,5.860,6.990,1.193,1D,[0.6-0.8),[0.7-0.8),[2000-3000),[0.8-1.0),[5.0-6.0),[6.5-7.0),[1.1-1.2)
YIDTUB,2007,0.692,0.638,3002.950,0.860,5.900,7.280,1.234,1D,[0.6-0.8),[0.6-0.7),[3000-10250],[0.8-1.0),[5.0-6.0),[7.0-8.0),[1.2-1.3)
YEZFOZ,2007,0.752,0.679,3263.640,1.007,5.920,7.680,1.297,1D,[0.6-0.8),[0.6-0.7),[3000-10250],[1.0-1.5),[5.0-6.0),[7.0-8.0),[1.2-1.3)
QESYET,2007,0.686,0.726,3191.140,0.984,5.970,7.850,1.315,1D,[0.6-0.8),[0.7-0.8),[3000-10250],[0.8-1.0),[5.0-6.0),[7.0-8.0),[1.3-1.4)
VIKDID,2007,0.641,0.670,2566.930,1.017,5.980,7.300,1.221,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[1.0-1.5),[5.0-6.0),[7.0-8.0),[1.2-1.3)
YEZFIT,2007,0.750,0.680,3261.170,1.009,5.990,7.670,1.280,1D,[0.6-0.8),[0.6-0.7),[3000-10250],[1.0-1.5),[5.0-6.0),[7.0-8.0),[1.2-1.3)
YEZDUD,2007,0.752,0.679,3256.970,1.005,6.000,7.690,1.282,1D,[0.6-0.8),[0.6-0.7),[3000-10250],[1.0-1.5),[6.0-8.0),[7.0-8.0),[1.2-1.3)
YEZFEP,2007,0.753,0.679,3249.290,1.004,6.020,7.620,1.266,1D,[0.6-0.8),[0.6-0.7),[3000-10250],[1.0-1.5),[6.0-8.0),[7.0-8.0),[1.2-1.3)
NETXEQ,2007,1.515,0.374,882.930,0.255,6.020,6.750,1.121,1D,[1.5-1.6),[0.3-0.4),[800-1000),[0.2-0.3),[6.0-8.0),[6.5-7.0),[1.1-1.2)
ADOKEK,2007,1.633,0.509,899.120,0.317,6.080,6.560,1.079,1D,[1.6-1.8),[0.5-0.6),[800-1000),[0.3-0.4),[6.0-8.0),[6.5-7.0),[1.0-1.1)
YEZFAL,2007,0.761,0.676,3206.320,0.991,6.110,7.640,1.250,1D,[0.6-0.8),[0.6-0.7),[3000-10250],[0.8-1.0),[6.0-8.0),[7.0-8.0),[1.2-1.3)
PIHKIB,2007,0.796,0.583,1858.830,0.667,6.130,7.070,1.153,1D,[0.6-0.8),[0.5-0.6),[1500-2000),[0.6-0.8),[6.0-8.0),[7.0-8.0),[1.1-1.2)
GETSOO,2007,1.213,0.370,1106.420,0.323,6.170,6.920,1.122,1D,[1.2-1.3),[0.3-0.4),[1000-1250),[0.3-0.4),[6.0-8.0),[6.5-7.0),[1.1-1.2)
PEPLIG,2007,1.049,0.579,1159.910,0.458,6.170,6.590,1.068,1D,[1.0-1.1),[0.5-0.6),[1000-1250),[0.4-0.5),[6.0-8.0),[6.5-7.0),[1.0-1.1)
VIKMOS,2007,0.706,0.640,2088.670,0.850,6.190,8.030,1.297,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.2-1.3)
KESROQ,2007,0.888,0.612,1916.110,0.615,6.210,7.180,1.156,1D,[0.8-1.0),[0.6-0.7),[1500-2000),[0.6-0.8),[6.0-8.0),[7.0-8.0),[1.1-1.2)
VEWGEK,2007,0.643,0.718,2525.060,0.976,6.230,8.140,1.307,1D,[0.6-0.8),[0.7-0.8),[2000-3000),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.3-1.4)
XIJQUD,2007,0.783,0.674,1913.980,0.746,6.280,7.480,1.191,1D,[0.6-0.8),[0.6-0.7),[1500-2000),[0.6-0.8),[6.0-8.0),[7.0-8.0),[1.1-1.2)
LIFVEC,2007,0.624,0.723,2641.490,1.013,6.350,7.110,1.120,2D,[0.6-0.8),[0.7-0.8),[2000-3000),[1.0-1.5),[6.0-8.0),[7.0-8.0),[1.1-1.2)
REWRER,2007,0.879,0.301,786.080,0.307,6.370,8.060,1.265,1D,[0.8-1.0),[0.3-0.4),[600-800),[0.3-0.4),[6.0-8.0),[8.0-10.0),[1.2-1.3)
MIJSII,2007,1.292,0.390,560.520,0.235,6.400,8.140,1.272,1D,[1.2-1.3),[0.3-0.4),[500-600),[0.2-0.3),[6.0-8.0),[8.0-10.0),[1.2-1.3)
DEYHUL,2007,0.630,0.726,2614.530,1.027,6.410,8.260,1.289,1D,[0.6-0.8),[0.7-0.8),[2000-3000),[1.0-1.5),[6.0-8.0),[8.0-10.0),[1.2-1.3)
NETYIV,2007,0.780,0.644,2069.600,0.725,6.480,7.810,1.205,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.6-0.8),[6.0-8.0),[7.0-8.0),[1.2-1.3)
WEQMOV,2007,1.194,0.632,1428.050,0.487,6.550,8.560,1.307,2D,[1.1-1.2),[0.6-0.7),[1250-1500),[0.4-0.5),[6.0-8.0),[8.0-10.0),[1.3-1.4)
PEPLEC,2007,1.030,0.597,1196.000,0.483,6.580,7.030,1.068,1D,[1.0-1.1),[0.5-0.6),[1000-1250),[0.4-0.5),[6.0-8.0),[7.0-8.0),[1.0-1.1)
TEWGUY,2007,0.706,0.639,2750.340,0.922,6.590,8.090,1.228,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.2-1.3)
EDEFAV,2007,0.638,0.653,3364.450,1.036,6.830,8.020,1.174,1D,[0.6-0.8),[0.6-0.7),[3000-10250],[1.0-1.5),[6.0-8.0),[8.0-10.0),[1.1-1.2)
JEYDAT,2007,0.699,0.664,2433.970,0.867,7.050,8.410,1.193,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.1-1.2)
IDIWOH01,2007,0.999,0.628,1315.770,0.527,7.060,7.550,1.069,1D,[0.8-1.0),[0.6-0.7),[1250-1500),[0.5-0.6),[6.0-8.0),[7.0-8.0),[1.0-1.1)
PEZVEW,2007,0.411,0.786,5728.370,1.850,7.070,8.390,1.187,1D,[0.0-0.6),[0.7-0.8),[3000-10250],[1.5-2.0),[6.0-8.0),[8.0-10.0),[1.1-1.2)
MIKJEW,2007,0.545,0.749,4197.150,1.416,7.080,9.310,1.315,3D,[0.0-0.6),[0.7-0.8),[3000-10250],[1.0-1.5),[6.0-8.0),[8.0-10.0),[1.3-1.4)
TESZIB,2007,0.692,0.597,2225.750,0.764,7.160,9.480,1.324,1D,[0.6-0.8),[0.5-0.6),[2000-3000),[0.6-0.8),[6.0-8.0),[8.0-10.0),[1.3-1.4)
AFEJEB,2007,1.106,0.541,1392.200,0.499,7.400,8.370,1.131,2D,[1.1-1.2),[0.5-0.6),[1250-1500),[0.4-0.5),[6.0-8.0),[8.0-10.0),[1.1-1.2)
WEXYOO,2007,0.690,0.731,1800.010,0.895,7.450,8.230,1.105,1D,[0.6-0.8),[0.7-0.8),[1500-2000),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.1-1.2)
HILJAO,2007,0.648,0.730,2827.780,1.077,7.530,9.470,1.258,1D,[0.6-0.8),[0.7-0.8),[2000-3000),[1.0-1.5),[6.0-8.0),[8.0-10.0),[1.2-1.3)
TEWMIS,2007,0.357,0.805,6215.560,2.187,7.540,9.920,1.316,2D,[0.0-0.6),[0.8-0.9),[3000-10250],[2.0-7.0],[6.0-8.0),[8.0-10.0),[1.3-1.4)
REPCIZ,2007,0.971,0.654,1660.240,0.587,7.690,8.660,1.126,3D,[0.8-1.0),[0.6-0.7),[1500-2000),[0.5-0.6),[6.0-8.0),[8.0-10.0),[1.1-1.2)
HICLAH,2007,0.588,0.747,4691.920,1.344,7.700,8.990,1.168,1D,[0.0-0.6),[0.7-0.8),[3000-10250],[1.0-1.5),[6.0-8.0),[8.0-10.0),[1.1-1.2)
DETHEQ,2007,0.849,0.385,568.560,0.432,7.730,8.700,1.125,1D,[0.8-1.0),[0.3-0.4),[500-600),[0.4-0.5),[6.0-8.0),[8.0-10.0),[1.1-1.2)
DIDDOK,2007,0.525,0.814,4157.440,1.402,7.760,9.460,1.219,2D,[0.0-0.6),[0.8-0.9),[3000-10250],[1.0-1.5),[6.0-8.0),[8.0-10.0),[1.2-1.3)
UDIRIJ,2007,0.679,0.718,2393.630,0.931,7.780,10.100,1.298,1D,[0.6-0.8),[0.7-0.8),[2000-3000),[0.8-1.0),[6.0-8.0),[8.0-72.0],[1.2-1.3)
GICKAF,2007,0.639,0.657,2881.760,0.973,7.840,8.420,1.074,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.0-1.1)
NIJTOP01,2007,0.514,0.728,3731.980,1.347,8.020,8.810,1.099,1D,[0.0-0.6),[0.7-0.8),[3000-10250],[1.0-1.5),[10.0-72.0],[8.0-10.0),[1.0-1.1)
TICMUO,2007,0.627,0.781,2848.020,1.118,8.160,8.890,1.089,1D,[0.6-0.8),[0.7-0.8),[2000-3000),[1.0-1.5),[10.0-72.0],[8.0-10.0),[1.0-1.1)
PEYBIF,2007,0.867,0.562,1370.710,0.604,9.100,9.860,1.084,1D,[0.8-1.0),[0.5-0.6),[1250-1500),[0.6-0.8),[10.0-72.0],[8.0-10.0),[1.0-1.1)
NEYYOG,2007,2.298,0.259,223.510,0.100,10.600,11.960,1.128,1D,[2.0-7.0],[0.2-0.3),[200-300),[0.1-0.2),[10.0-72.0],[8.0-72.0],[1.1-1.2)
KEYYIX,2007,0.701,0.567,1499.370,0.750,10.930,12.210,1.117,1D,[0.6-0.8),[0.5-0.6),[1250-1500),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.1-1.2)
PIHPIG,2007,0.850,0.620,1201.030,0.659,10.990,12.280,1.117,1D,[0.8-1.0),[0.6-0.7),[1000-1250),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.1-1.2)
MIHCUC,2007,0.700,0.630,1884.350,0.829,11.500,12.060,1.049,1D,[0.6-0.8),[0.6-0.7),[1500-2000),[0.8-1.0),[10.0-72.0],[8.0-72.0],[1.0-1.1)
GETZOV,2007,0.375,0.870,4959.640,2.165,11.700,13.510,1.155,1D,[0.0-0.6),[0.8-0.9),[3000-10250],[2.0-7.0],[10.0-72.0],[8.0-72.0],[1.1-1.2)
GIBSAM,2007,0.654,0.651,1680.780,0.933,11.980,12.960,1.082,1D,[0.6-0.8),[0.6-0.7),[1500-2000),[0.8-1.0),[10.0-72.0],[8.0-72.0],[1.0-1.1)
XIJNUA,2007,0.764,0.725,1924.010,0.972,15.600,16.080,1.031,1D,[0.6-0.8),[0.7-0.8),[1500-2000),[0.8-1.0),[10.0-72.0],[8.0-72.0],[1.0-1.1)
HEXVEM,2007,0.252,0.924,5566.130,3.527,15.600,27.730,1.778,3D,[0.0-0.6),[0.9-1.0],[3000-10250],[2.0-7.0],[10.0-72.0],[8.0-72.0],[1.6-1.8)
TIVLEQ,2008,2.732,0.090,2.110,0.036,0.740,4.180,5.649,NON-POROUS,[2.0-7.0],[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[5.0-12.0]
YIVSOM,2008,1.592,0.141,11.190,0.054,0.800,4.510,5.638,NON-POROUS,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.5-4.6),[5.0-12.0]
NIQXUH,2008,1.312,0.309,221.440,0.166,0.810,6.510,8.037,NON-POROUS,[1.3-1.4),[0.3-0.4),[200-300),[0.1-0.2),[0.7-1.4),[6.5-7.0),[5.0-12.0]
VIRYOL,2008,1.598,0.139,52.520,0.065,0.820,4.640,5.659,NON-POROUS,[1.5-1.6),[0.1-0.2),[50-100),[0.0-0.1),[0.7-1.4),[4.6-4.8),[5.0-12.0]
LINQAB,2008,1.552,0.170,33.460,0.072,0.870,4.940,5.678,NON-POROUS,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.8-5.0),[5.0-12.0]
VIPFEG,2008,1.708,0.148,86.540,0.067,0.910,5.160,5.670,NON-POROUS,[1.6-1.8),[0.1-0.2),[50-100),[0.0-0.1),[0.7-1.4),[5.0-5.3),[5.0-12.0]
XODMAF,2008,0.997,0.154,126.690,0.120,0.940,5.340,5.681,NON-POROUS,[0.8-1.0),[0.1-0.2),[100-150),[0.1-0.2),[0.7-1.4),[5.3-5.6),[5.0-12.0]
BIVXAG,2008,1.673,0.062,0.110,0.027,1.000,3.990,3.990,NON-POROUS,[1.6-1.8),[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0)
BOFGAF,2008,2.238,0.189,0.680,0.070,1.020,4.080,4.000,2D,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[4.0-5.0)
VITLAM,2008,1.323,0.197,0.380,0.116,1.020,4.060,3.980,3D,[1.3-1.4),[0.1-0.2),[0-50),[0.1-0.2),[0.7-1.4),[3.9-4.2),[3.0-4.0)
BOBGIJ,2008,1.436,0.096,0.400,0.033,1.030,4.110,3.990,2D,[1.4-1.5),[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0)
XIZLOI,2008,2.550,0.091,0.230,0.032,1.030,4.140,4.019,2D,[2.0-7.0],[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[4.0-5.0)
BOFGUZ,2008,1.807,0.126,3.730,0.052,1.040,4.170,4.010,2D,[1.8-2.0),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[4.0-5.0)
GOCPAQ,2008,1.576,0.079,5.050,0.034,1.040,4.170,4.010,3D,[1.5-1.6),[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[4.0-5.0)
RIRRAM,2008,1.820,0.107,3.720,0.053,1.040,4.170,4.010,1D,[1.8-2.0),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[4.0-5.0)
SIYQIB,2008,1.859,0.113,0.770,0.031,1.040,4.150,3.990,2D,[1.8-2.0),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0)
SIZDIP,2008,2.005,0.170,1.790,0.068,1.040,4.170,4.010,3D,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[4.0-5.0)
AFECIY01,2008,1.591,0.223,6.330,0.089,1.050,4.180,3.981,2D,[1.5-1.6),[0.2-0.3),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0)
HIXQAH,2008,1.395,0.187,16.880,0.088,1.050,4.190,3.990,3D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0)
DIYDIZ,2008,1.473,0.103,10.340,0.054,1.070,4.300,4.019,2D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.3-4.4),[4.0-5.0)
SIPYIA,2008,1.209,0.209,18.090,0.120,1.080,4.330,4.009,3D,[1.2-1.3),[0.2-0.3),[0-50),[0.1-0.2),[0.7-1.4),[4.3-4.4),[4.0-5.0)
XIQDOR,2008,1.645,0.126,9.980,0.059,1.080,4.330,4.009,1D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.3-4.4),[4.0-5.0)
DIYCOE,2008,1.454,0.114,13.370,0.057,1.090,4.360,4.000,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.3-4.4),[4.0-5.0)
XIQDIL,2008,1.501,0.130,10.480,0.065,1.090,4.360,4.000,2D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.3-4.4),[4.0-5.0)
NOBQEB,2008,1.201,0.200,95.590,0.126,1.090,4.370,4.009,2D,[1.2-1.3),[0.1-0.2),[50-100),[0.1-0.2),[0.7-1.4),[4.3-4.4),[4.0-5.0)
CIVVOT,2008,1.740,0.096,21.130,0.045,1.100,4.410,4.009,2D,[1.6-1.8),[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[4.4-4.5),[4.0-5.0)
JILWAD,2008,1.217,0.105,19.860,0.053,1.100,4.410,4.009,3D,[1.2-1.3),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.4-4.5),[4.0-5.0)
SIXTID,2008,1.310,0.170,24.460,0.083,1.100,4.410,4.009,3D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.4-4.5),[4.0-5.0)
EFECAU,2008,1.810,0.165,26.130,0.068,1.120,4.470,3.991,3D,[1.8-2.0),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.4-4.5),[3.0-4.0)
JITQEJ,2008,1.556,0.145,16.570,0.058,1.120,4.490,4.009,3D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.4-4.5),[4.0-5.0)
DITMID,2008,1.467,0.121,56.700,0.058,1.120,4.500,4.018,1D,[1.4-1.5),[0.1-0.2),[50-100),[0.0-0.1),[0.7-1.4),[4.5-4.6),[4.0-5.0)
SISWUN,2008,1.294,0.164,44.930,0.099,1.130,4.520,4.000,3D,[1.2-1.3),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.5-4.6),[4.0-5.0)
SIQSAN,2008,1.576,0.198,27.460,0.094,1.140,4.550,3.991,3D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.5-4.6),[3.0-4.0)
SIXYOO,2008,1.364,0.278,39.860,0.148,1.140,4.550,3.991,3D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[0.7-1.4),[4.5-4.6),[3.0-4.0)
VOBLAA,2008,1.415,0.171,28.780,0.089,1.140,4.550,3.991,3D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.5-4.6),[3.0-4.0)
BOGXOL,2008,1.197,0.312,409.810,0.225,1.160,6.560,5.655,1D,[1.1-1.2),[0.3-0.4),[400-500),[0.2-0.3),[0.7-1.4),[6.5-7.0),[5.0-12.0]
COCWAT,2008,1.568,0.249,59.500,0.123,1.170,4.670,3.991,3D,[1.5-1.6),[0.2-0.3),[50-100),[0.1-0.2),[0.7-1.4),[4.6-4.8),[3.0-4.0)
BOGXIF,2008,1.176,0.320,431.170,0.237,1.180,6.690,5.669,3D,[1.1-1.2),[0.3-0.4),[400-500),[0.2-0.3),[0.7-1.4),[6.5-7.0),[5.0-12.0]
LIMRUV,2008,1.208,0.151,67.780,0.088,1.190,4.780,4.017,3D,[1.2-1.3),[0.1-0.2),[50-100),[0.0-0.1),[0.7-1.4),[4.6-4.8),[4.0-5.0)
QIYJAK,2008,3.352,0.065,8.330,0.019,1.210,4.830,3.992,2D,[2.0-7.0],[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[4.8-5.0),[3.0-4.0)
JIVGIF,2008,1.351,0.192,62.460,0.101,1.220,4.890,4.008,1D,[1.3-1.4),[0.1-0.2),[50-100),[0.1-0.2),[0.7-1.4),[4.8-5.0),[4.0-5.0)
XOGRER,2008,1.419,0.133,63.170,0.071,1.220,4.900,4.016,3D,[1.4-1.5),[0.1-0.2),[50-100),[0.0-0.1),[0.7-1.4),[4.8-5.0),[4.0-5.0)
CIPMEU,2008,1.596,0.170,23.580,0.076,1.230,4.910,3.992,1D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.8-5.0),[3.0-4.0)
RIPRAK,2008,1.321,0.162,105.470,0.088,1.230,4.910,3.992,2D,[1.3-1.4),[0.1-0.2),[100-150),[0.0-0.1),[0.7-1.4),[4.8-5.0),[3.0-4.0)
NIVNIQ,2008,1.595,0.217,77.440,0.106,1.230,4.920,4.000,2D,[1.5-1.6),[0.2-0.3),[50-100),[0.1-0.2),[0.7-1.4),[4.8-5.0),[4.0-5.0)
MIXKAG,2008,1.451,0.193,0.720,0.095,1.240,4.060,3.274,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0)
TILKUV,2008,1.460,0.181,1.110,0.093,1.240,4.060,3.274,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0)
TIVXAY,2008,1.257,0.133,42.890,0.066,1.250,4.980,3.984,2D,[1.2-1.3),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.8-5.0),[3.0-4.0)
BOBTOC,2008,1.166,0.373,505.960,0.266,1.260,5.830,4.627,2D,[1.1-1.2),[0.3-0.4),[500-600),[0.2-0.3),[0.7-1.4),[5.6-6.0),[4.0-5.0)
TIYMEU,2008,1.803,0.124,8.940,0.036,1.270,4.160,3.276,2D,[1.8-2.0),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0)
VINLOU,2008,1.137,0.355,134.630,0.229,1.270,5.090,4.008,3D,[1.1-1.2),[0.3-0.4),[100-150),[0.2-0.3),[0.7-1.4),[5.0-5.3),[4.0-5.0)
XODBOI,2008,1.504,0.212,132.670,0.097,1.270,5.060,3.984,3D,[1.5-1.6),[0.2-0.3),[100-150),[0.0-0.1),[0.7-1.4),[5.0-5.3),[3.0-4.0)
SOBZIT,2008,1.181,0.167,55.200,0.107,1.270,5.090,4.008,1D,[1.1-1.2),[0.1-0.2),[50-100),[0.1-0.2),[0.7-1.4),[5.0-5.3),[4.0-5.0)
IFAQOW,2008,1.870,0.114,48.200,0.039,1.280,5.130,4.008,3D,[1.8-2.0),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[5.0-5.3),[4.0-5.0)
JIMGIW,2008,1.291,0.179,14.180,0.093,1.280,4.190,3.273,1D,[1.2-1.3),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[3.9-4.2),[3.0-4.0)
XIMLEL,2008,1.325,0.100,15.620,0.042,1.310,4.290,3.275,1D,[1.3-1.4),[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[4.2-4.3),[3.0-4.0)
XIZFOC,2008,1.609,0.103,4.690,0.032,1.310,4.270,3.260,3D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.2-4.3),[3.0-4.0)
BIZQUX,2008,1.588,0.171,18.160,0.082,1.320,4.290,3.250,1D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.2-4.3),[3.0-4.0)
NIYDUV,2008,1.082,0.244,23.290,0.155,1.320,4.320,3.273,2D,[1.0-1.1),[0.2-0.3),[0-50),[0.1-0.2),[0.7-1.4),[4.3-4.4),[3.0-4.0)
QIWSIZ,2008,1.220,0.136,21.090,0.075,1.320,4.320,3.273,1D,[1.2-1.3),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.3-4.4),[3.0-4.0)
SOBZAL,2008,1.428,0.148,49.880,0.087,1.320,5.290,4.008,3D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[5.0-5.3),[4.0-5.0)
GOBSAS,2008,1.152,0.280,64.170,0.174,1.320,4.310,3.265,1D,[1.1-1.2),[0.2-0.3),[50-100),[0.1-0.2),[0.7-1.4),[4.3-4.4),[3.0-4.0)
BIYKEA,2008,1.593,0.146,11.310,0.069,1.330,4.340,3.263,1D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.3-4.4),[3.0-4.0)
XIRWAX,2008,1.300,0.104,18.600,0.067,1.330,4.350,3.271,2D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.3-4.4),[3.0-4.0)
