DDEC code,MOF family,Ref code,Pressure (bar),Grav. Uptake (mol/kg),Vol. Uptake (cm3/cm3),Qst (kJ/mol),Grav. Working Capacity (mol/kg),Deliverable Capacity (Vol.),Density (g/cm3),Pore Limiting Diameter (A),Largest Cavity Diameter (A),Vol. Surface Area (m2/cm3),Grav. Surface Area (m2/g),Pore Volume (cm3/g),Void Fraction
JODGEP,None,core-mof-ddec-1188,1,0.046628746,2.261060533,14.61316,0.147839612,5.880698974,2.16342,2.85,4.14,0,0,0.087823908,0.19
JOGBIR,None,core-mof-ddec-1189,1,0.110344144,5.165773827,14.8279,1.296682271,62.87703112,2.08868,2.7,4.99,0,0,0.043089415,0.09
BACMOH,None,core-mof-ddec-119,1,0.106729808,3.496120404,20.99326,1.259692598,58.97265423,1.46145,3.23,3.81,0,0,0.11632283,0.17
JOHFIW,None,core-mof-ddec-1190,1,0.460784822,13.40713858,18.12126,3.006932055,98.49728658,1.29813,6.4,6.8,1418.68,1092.86,0.400576213,0.52
JOJLOK,None,core-mof-ddec-1191,1,0.102268648,4.823202071,17.80602,5.923053185,172.3389988,2.10414,2.87,3.68,0,0,0.057030426,0.12
JOSNAG01,None,core-mof-ddec-1192,1,0.292939034,9.759467367,19.09886,1.973807138,93.08884849,1.48639,3.49,4.34,0,0,0.141281898,0.21
JOSNAG,None,core-mof-ddec-1193,1,0.289143088,9.680303904,18.58014,3.521329008,117.3155217,1.49368,3.48,4.32,0,0,0.133897488,0.2
JOVDON,None,core-mof-ddec-1194,1,0.021209311,0.885776531,19.1167,3.512246901,117.5875156,1.86328,3.2,4.05,0,0,0.096603838,0.18
JUCXEK,None,core-mof-ddec-1195,1,0.042361675,2.450854173,15.35923,1.736369549,72.51698891,2.58085,6.26,7.07,1254.08,485.918,0.162737083,0.42
JUTCUW,None,core-mof-ddec-1196,1,0.133848306,3.168034454,13.01743,2.371120837,137.1822849,1.05599,5.61,6.93,2360.69,2235.52,0.482959119,0.51
KABXES,None,core-mof-ddec-1197,1,0.377335743,10.00371838,11.67491,7.934843108,187.8085502,1.18279,4.97,5.53,1674.24,1415.5,0.473456827,0.56
KABXIW,None,core-mof-ddec-1198,1,0.380891414,9.741033302,15.74064,6.253076113,165.7781264,1.141,4.95,5.62,1691.9,1482.82,0.490797546,0.56
KAFTUI,ZnO,core-mof-ddec-1199,1,0.493602579,16.80162101,15.11288,6.4463727,164.8615033,1.51856,3.12,5.18,0,0,0.131703719,0.2
ACALIB,None,core-mof-ddec-12,1,0.113583281,4.548603215,19.49924,1.928378357,65.63961317,1.78668,2.42,3.96,0,0,0.095148544,0.17
BAEDTA01,None,core-mof-ddec-120,1,0.318926342,15.31530204,18.19305,1.739821213,69.67360267,2.14248,4.27,5.35,266.126,124.214,0.084014787,0.18
KAFYAT,ZnO,core-mof-ddec-1200,1,0.197746545,7.237483686,16.98508,0.696292532,33.43696975,1.63276,2.81,3.69,0,0,0.085744384,0.14
KAHNOX,None,core-mof-ddec-1201,1,0.068366532,1.662901354,21.38141,2.72356621,99.68197428,1.08519,5.41,6.67,2311.53,2130.06,0.479178761,0.52
KALGAH,None,core-mof-ddec-1202,1,0.830757581,17.46239953,9.59601,5.855638633,142.428599,0.937811,4.79,6.33,1403.86,1496.95,0.543819597,0.51
KAMZUV,ZIF,core-mof-ddec-1203,1,0.201390125,4.076937755,18.85635,8.157754831,171.4747808,0.903126,3.75,11.32,1211.8,1341.78,0.465051388,0.42
